Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
E745.CHR.paired_dat1	E745.CHR.paired_dat1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	184330.0	0.0	150.0	38.0	96.79815408422074	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
E745.CHR.paired_dat2	E745.CHR.paired_dat2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	184330.0	0.0	150.0	38.0	96.99124351446874	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
E745.Pl1.paired_dat1	E745.Pl1.paired_dat1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14910.0	0.0	150.0	35.0	98.02146210596915	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
E745.Pl1.paired_dat2	E745.Pl1.paired_dat2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14910.0	0.0	150.0	35.0	98.01475519785379	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
E745.Pl2.paired_dat1	E745.Pl2.paired_dat1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2160.0	0.0	150.0	36.0	97.4074074074074	150.0	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
E745.Pl2.paired_dat2	E745.Pl2.paired_dat2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2160.0	0.0	150.0	36.0	97.96296296296296	150.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
E745.Pl3.paired_dat1	E745.Pl3.paired_dat1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	620.0	0.0	150.0	30.0	98.54838709677419	150.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass
E745.Pl3.paired_dat2	E745.Pl3.paired_dat2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	620.0	0.0	150.0	30.0	98.54838709677419	150.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass
E745.Pl4.paired_dat1	E745.Pl4.paired_dat1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1150.0	0.0	150.0	32.0	97.73913043478261	150.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
E745.Pl4.paired_dat2	E745.Pl4.paired_dat2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1150.0	0.0	150.0	32.0	98.43478260869564	150.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass
E745.Pl5.paired_dat1	E745.Pl5.paired_dat1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3670.0	0.0	150.0	35.0	98.44686648501363	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
E745.Pl5.paired_dat2	E745.Pl5.paired_dat2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3670.0	0.0	150.0	35.0	98.88283378746594	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
E745.Pl6.paired_dat1	E745.Pl6.paired_dat1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4370.0	0.0	150.0	32.0	98.74141876430205	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
E745.Pl6.paired_dat2	E745.Pl6.paired_dat2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4370.0	0.0	150.0	32.0	98.81006864988558	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
