Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
output69_forward_paired - illumina_universal_adapter	(1, 0.021631245502156886)	(2, 0.030366940801104858)	(3, 0.03743869413834845)	(4, 0.05449409924581831)	(5, 0.09151680789374067)	(6, 0.1701380655842724)	(7, 0.28536604643230046)	(8, 0.3818746802111542)	(9, 0.4259691421963202)	(10, 0.4885749585054473)	(12, 0.5526367240310658)	(14, 0.6194023952444538)	(16, 0.7059273772530814)	(18, 0.7845486349436132)	(20, 0.903312492460263)	(22, 1.0310200380210737)	(24, 1.1976222269367245)	(26, 1.4199664715694715)	(28, 1.7856177176540082)	(30, 2.286464248127025)	(32, 2.758815772505855)	(34, 3.306876656142234)	(36, 4.127408036007704)	(38, 4.983506175304606)	(40, 5.763478969853532)	(42, 6.612089370322764)	(44, 7.895612601032476)	(46, 9.131297500343187)	(48, 10.43042018694388)	(50, 11.709783562749331)	(52, 13.073384000366069)	(54, 14.44572013328175)	(56, 15.832407765617136)	(58, 17.30790830015849)	(60, 19.56234166552271)	(62, 23.66687049955698)	(64, 27.078575499286586)	(66, 28.891648259308717)	(68, 30.690993498146785)	(70, 32.36554308985703)	(72, 33.74619893258123)	(74, 35.10418356607721)	(76, 36.466952032713095)	(78, 37.7342518292962)	(80, 39.022974878636234)	(82, 40.37222381683327)	(84, 41.872059502564554)	(86, 43.30492152433723)	(88, 44.57700515406023)
output69_reverse_paired - illumina_universal_adapter	(1, 0.019967303540452508)	(2, 0.027039056877696106)	(3, 0.03327883923408752)	(4, 0.04659037492772252)	(5, 0.0823651271043666)	(6, 0.15682652989063742)	(7, 0.26997458328653495)	(8, 0.3668992025558149)	(9, 0.4122416210122591)	(10, 0.47110356790755137)	(12, 0.5322534350001872)	(14, 0.59797914248751)	(16, 0.6818002188083679)	(18, 0.7600054910084737)	(20, 0.8758574500921408)	(22, 1.0025250319268864)	(24, 1.1676712716260456)	(26, 1.3889755525327276)	(28, 1.7550427841076903)	(30, 2.2558893145807075)	(32, 2.7247049622909154)	(34, 3.2663180708256894)	(36, 4.086225472455521)	(38, 4.933795909198687)	(40, 5.7071129359007955)	(42, 6.554891365389175)	(44, 7.83175882825207)	(46, 9.05496416285)	(48, 10.328503741789486)	(50, 11.596427516608221)	(52, 12.953164193632926)	(54, 14.332156094395426)	(56, 15.726747451048908)	(58, 17.20827977520144)	(60, 19.44773766291032)	(62, 23.52460346183125)	(64, 26.916757143510836)	(66, 28.72317413568615)	(68, 30.51045579530186)	(70, 32.170237902101974)	(72, 33.5367502381517)	(74, 34.89494286439289)	(76, 36.264783084366016)	(78, 37.53416280840124)	(80, 38.82184589401522)	(82, 40.17754260731385)	(84, 41.687361944815365)	(86, 43.1241758287471)	(88, 44.4043711755334)
output70_forward_paired - illumina_universal_adapter	(1, 0.05025247817664557)	(2, 0.06322085964158636)	(3, 0.07781028878964474)	(4, 0.10334178979874693)	(5, 0.1527837441338337)	(6, 0.26139393890271284)	(7, 0.42187765953135514)	(8, 0.5357562592703664)	(9, 0.5904666185755854)	(10, 0.6628058714347083)	(12, 0.7485187676795513)	(14, 0.82369485398413)	(16, 0.9211603459315756)	(18, 1.0253126595718813)	(20, 1.1460807119641423)	(22, 1.2976486703356378)	(24, 1.5019006784084552)	(26, 1.778289308380006)	(28, 2.159235513912642)	(30, 2.6935733564602806)	(32, 3.2070402100877797)	(34, 3.808043638603629)	(36, 4.539946667531225)	(38, 5.32027849599196)	(40, 6.024218452385777)	(42, 6.787934542094556)	(44, 7.976567755740534)	(46, 9.123053729625457)	(48, 10.339650015805216)	(50, 11.485730727769358)	(52, 12.682671810791316)	(54, 13.842126166141178)	(56, 15.002998938213768)	(58, 16.261337202233804)	(60, 18.24874166173598)	(62, 22.0118012271331)	(64, 25.052481418740932)	(66, 26.536145310714314)	(68, 28.048582799063034)	(70, 29.44957325919742)	(72, 30.565461958063494)	(74, 31.711137408106858)	(76, 32.87606279938724)	(78, 33.95162793713577)	(80, 35.01321153861741)	(82, 36.18522901351143)	(84, 37.46626194509511)	(86, 38.6232847289203)	(88, 39.74423920179612)
output70_reverse_paired - illumina_universal_adapter	(1, 0.04538933512729277)	(2, 0.05673666890911596)	(3, 0.06848926461171856)	(4, 0.08632078912601214)	(5, 0.1284680288870697)	(6, 0.22208353258711105)	(7, 0.37324622903782717)	(8, 0.47942485228202986)	(9, 0.5288668066171166)	(10, 0.5969508093080558)	(12, 0.6786110863451049)	(14, 0.7511529701646174)	(16, 0.8461868905873866)	(18, 0.9501365732673026)	(20, 1.0696888398972257)	(22, 1.2196357505856035)	(24, 1.4240903896188106)	(26, 1.7037211149565965)	(28, 2.0954067613898864)	(30, 2.635013008907657)	(32, 3.146858814852039)	(34, 3.748672767209447)	(36, 4.481791581899381)	(38, 5.254423433865307)	(40, 5.955931818734449)	(42, 6.713568979631535)	(44, 7.8908548594956915)	(46, 9.022143511351388)	(48, 10.218071439571396)	(50, 11.356654806001119)	(52, 12.562106389359442)	(54, 13.709605518046313)	(56, 14.86642567091111)	(58, 16.118482375159065)	(60, 18.08602900054305)	(62, 21.824164957812236)	(64, 24.829182100391485)	(66, 26.293596051127842)	(68, 27.794280943773963)	(70, 29.182100391483015)	(72, 30.28643912560688)	(74, 31.41286463441322)	(76, 32.57961370433711)	(78, 33.657407782649926)	(80, 34.719396646052346)	(82, 35.90417987145092)	(84, 37.19757329161837)	(86, 38.357635539849404)	(88, 39.48649262018042)
output71_forward_paired - illumina_universal_adapter	(1, 0.06466885626268881)	(2, 0.08191388459940584)	(3, 0.1003347103227172)	(4, 0.1285538476009814)	(5, 0.209683867275991)	(6, 0.36802458200402904)	(7, 0.5675182052628691)	(8, 0.7168444733603505)	(9, 0.780337532236445)	(10, 0.8747932556261905)	(12, 0.979831155495285)	(14, 1.0717393178807428)	(16, 1.1908867863889694)	(18, 1.3145414782124745)	(20, 1.4579887593769842)	(22, 1.6576783488669231)	(24, 1.9022442052785464)	(26, 2.2116748841839575)	(28, 2.708449280020067)	(30, 3.348083058327389)	(32, 3.972039538146787)	(34, 4.689667876431534)	(36, 5.6336372116356905)	(38, 6.57309932352457)	(40, 7.406935636851058)	(42, 8.323077767239148)	(44, 9.759314274964138)	(46, 11.13244965627523)	(48, 12.510680159594898)	(50, 13.791319479827237)	(52, 15.180720058319551)	(54, 16.466454500560467)	(56, 17.735727779389055)	(58, 19.117093742406308)	(60, 21.404019659332302)	(62, 25.7278185823019)	(64, 29.149584943522534)	(66, 30.735147719345)	(68, 32.320710495167475)	(70, 33.80241116850744)	(72, 34.97095780455112)	(74, 36.124806973262366)	(76, 37.25768775524602)	(78, 38.334522195135335)	(80, 39.403126053318495)	(82, 40.58186293337932)	(84, 41.87112476778002)	(86, 43.05260517507623)	(88, 44.1590305158615)
output71_reverse_paired - illumina_universal_adapter	(1, 0.06349305887609447)	(2, 0.07799455997742469)	(3, 0.09445572338974548)	(4, 0.11797167112163232)	(5, 0.18969531170388718)	(6, 0.33941351226356675)	(7, 0.5318523512028407)	(8, 0.6788270245271335)	(9, 0.7368330289324544)	(10, 0.828545225086813)	(12, 0.931427496413818)	(14, 1.0182405367907001)	(16, 1.1362122079123327)	(18, 1.2596709335047385)	(20, 1.402334349744852)	(22, 1.601632006772593)	(24, 1.8495292891129003)	(26, 2.1599397991738067)	(28, 2.6665125065648687)	(30, 3.3100656094941723)	(32, 3.934218055544669)	(34, 4.650082697749523)	(36, 5.586605316171918)	(38, 6.526655326754094)	(40, 7.355396518072006)	(42, 8.261740336905145)	(44, 9.685630972070893)	(46, 11.05131963660022)	(48, 12.397019745557445)	(50, 13.66158983483966)	(52, 15.044719493936805)	(54, 16.32222335447156)	(56, 17.59384822807334)	(58, 18.963652183455746)	(60, 21.237644329129203)	(62, 25.50931623462645)	(64, 28.874840287521653)	(66, 30.4453136635495)	(68, 32.01970636419932)	(70, 33.48181041442939)	(72, 34.63017252866986)	(74, 35.77441935205725)	(76, 36.89926551856584)	(78, 37.97159273513988)	(80, 39.04000062709194)	(82, 40.2114867566021)	(84, 41.49624136768752)	(86, 42.67478228151725)	(88, 43.78983013647088)
output72_forward_paired - illumina_universal_adapter	(1, 0.0431254791719908)	(2, 0.055104778941988244)	(3, 0.06828200868898543)	(4, 0.08824750830564784)	(5, 0.13975849731663686)	(6, 0.24597495527728086)	(7, 0.3657679529772553)	(8, 0.4496230513672374)	(9, 0.4959430104778942)	(10, 0.5562388193202147)	(12, 0.6370990927676974)	(14, 0.7027855865065167)	(16, 0.7972223996933299)	(18, 0.8982478277536416)	(20, 1.0270253002811143)	(22, 1.2075134168157424)	(24, 1.4728549067211858)	(26, 1.8270428699207768)	(28, 2.2886452210580117)	(30, 2.8406912854587274)	(32, 3.459022808586762)	(34, 4.145037375415282)	(36, 4.9979635190391)	(38, 5.936541656018401)	(40, 6.898479427549195)	(42, 7.848637554306159)	(44, 9.078911640684897)	(46, 10.339932596473293)	(48, 11.62351456682852)	(50, 12.824639023766931)	(52, 14.240791911576796)	(54, 15.666328584206493)	(56, 17.107638001533353)	(58, 18.560327753641708)	(60, 20.156769102990033)	(62, 22.131756325070278)	(64, 23.95021403015589)	(66, 25.560431574239715)	(68, 27.15866981855354)	(70, 28.76309736774853)	(72, 30.360736647073857)	(74, 32.008489330437)	(76, 33.66263097367749)	(78, 35.244697163301815)	(80, 36.8629009072323)	(82, 38.563761819575774)	(84, 40.33270508561206)	(86, 41.89061302070023)	(88, 43.358476552517246)
output72_reverse_paired - illumina_universal_adapter	(1, 0.03913237924865832)	(2, 0.05031305903398927)	(3, 0.061094428826986964)	(4, 0.07746613851265013)	(5, 0.1185950677229747)	(6, 0.21043636595962179)	(7, 0.323441093789931)	(8, 0.40410171224124714)	(9, 0.45082098134423715)	(10, 0.5083216202402249)	(12, 0.5859874137490417)	(14, 0.6510749424993612)	(16, 0.7457114106823409)	(18, 0.8447402887809865)	(20, 0.971920521339126)	(22, 1.1498131229235882)	(24, 1.4155539228213647)	(26, 1.770141196013289)	(28, 2.248913876820853)	(30, 2.8067499361104016)	(32, 3.4236838742652695)	(34, 4.108700166112957)	(36, 4.960428379759776)	(38, 5.897808586762075)	(40, 6.857949463327371)	(42, 7.807708280092001)	(44, 9.027001341681576)	(46, 10.286824367492972)	(48, 11.561022553028367)	(50, 12.751165985177613)	(52, 14.16951507794531)	(54, 15.586266930743674)	(56, 17.018591873243036)	(58, 18.477670585228722)	(60, 20.06932021466905)	(62, 22.034923651929468)	(64, 23.847591362126245)	(66, 25.446827881420905)	(68, 27.02689752108357)	(70, 28.612357845642727)	(72, 30.184640940454894)	(74, 31.811030539228213)	(76, 33.453991502683365)	(78, 35.012298747763865)	(80, 36.61073664707385)	(82, 38.297222399693325)	(84, 40.06057532583695)	(86, 41.61089637107079)	(88, 43.06258784819831)
output73_forward_paired - illumina_universal_adapter	(1, 0.029248976285829995)	(2, 0.035098771542995996)	(3, 0.04319848805291815)	(4, 0.05849795257165999)	(5, 0.09404670836520722)	(6, 0.16874409395671153)	(7, 0.25154119605813796)	(8, 0.298339558115466)	(9, 0.33478828241011566)	(10, 0.37753678621248254)	(12, 0.43445979390721323)	(14, 0.48125815596454125)	(16, 0.5548305809296674)	(18, 0.6239031633892813)	(20, 0.718849840255591)	(22, 0.8484453044143454)	(24, 1.0450884219052332)	(26, 1.3177788777392792)	(28, 1.6935157269495567)	(30, 2.104576339828106)	(32, 2.5815596454124106)	(34, 3.127840525581605)	(36, 3.8329658461953833)	(38, 4.5866894658686945)	(40, 5.364712235071773)	(42, 6.1411600593979205)	(44, 7.151824686135985)	(46, 8.242811501597444)	(48, 9.346397876074338)	(50, 10.40026099086532)	(52, 11.59631912883049)	(54, 12.76740314089007)	(56, 14.005759798407055)	(58, 15.26009089681861)	(60, 16.66156684516042)	(62, 18.393781217657384)	(64, 19.918102866399675)	(66, 21.221932232371866)	(68, 22.55793547225847)	(70, 23.90338838140665)	(72, 25.264590739324124)	(74, 26.700940467083655)	(76, 28.21783737569185)	(78, 29.65778697745579)	(80, 31.088511902083425)	(82, 32.604058857939975)	(84, 34.1945281915133)	(86, 35.655627053053145)	(88, 37.033703820366284)
output73_reverse_paired - illumina_universal_adapter	(1, 0.028798992035278765)	(2, 0.03419880304189354)	(3, 0.04004859829905953)	(4, 0.0512982045628403)	(5, 0.0805471808486703)	(6, 0.14534491292804752)	(7, 0.22724204652837152)	(8, 0.2713405030823921)	(9, 0.30553930612428565)	(10, 0.34693785717499886)	(12, 0.4040858569950052)	(14, 0.4504342348017819)	(16, 0.5240066597669082)	(18, 0.5926292579759709)	(20, 0.6839760608378707)	(22, 0.8090716824911128)	(24, 1.003239886603969)	(26, 1.2788552400665978)	(28, 1.6593169239076633)	(30, 2.0721774737884173)	(32, 2.5500607478738244)	(34, 3.095441659541916)	(36, 3.79719209827656)	(38, 4.548665796697115)	(40, 5.321513747018854)	(42, 6.094136705215318)	(44, 7.09872654457094)	(46, 8.177563785267516)	(48, 9.264950726724564)	(50, 10.310039148629798)	(52, 11.495072672456462)	(54, 12.649732259370921)	(56, 13.879089231876884)	(58, 15.133195338163164)	(60, 16.533996310129147)	(62, 18.2533861314854)	(64, 19.771183008594697)	(66, 21.070287539936103)	(68, 22.398416055438062)	(70, 23.727669531566395)	(72, 25.064347747828826)	(74, 26.492822751203708)	(76, 27.992395266165687)	(78, 29.415020474283402)	(80, 30.827521036763713)	(82, 32.34419295324663)	(84, 33.937587184448546)	(86, 35.388111416100436)	(88, 36.75291364802232)
