Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
output69_forward_paired	(1, 32.38561438977008)	(2, 32.52798126401351)	(3, 32.60266729896461)	(4, 36.112831904423174)	(5, 36.16398564018087)	(6, 36.17834545931038)	(7, 36.16025425033175)	(8, 36.16574109895047)	(9, 37.90480172051599)	(10, 37.89107003947702)	(12, 37.90360160237611)	(14, 39.344941408443674)	(16, 39.3860698938821)	(18, 39.43134991451498)	(20, 39.46429804528418)	(22, 39.43448436518534)	(24, 39.42950917871985)	(26, 39.382105552158336)	(28, 39.375884489149016)	(30, 39.34781378825507)	(32, 39.35485226275308)	(34, 39.295940397598926)	(36, 39.315000852770254)	(38, 39.33031119874539)	(40, 39.29164534741028)	(42, 39.221967777763915)	(44, 39.05997886793709)	(46, 38.907120839625115)	(48, 38.684061099948835)	(50, 38.497962065250846)	(52, 38.321313668457336)	(54, 38.07645462374121)	(56, 37.817754563140745)	(58, 37.5764974006223)	(60, 37.274145502563336)	(62, 36.953930701511496)	(64, 36.68523169597434)	(66, 36.31358369395121)	(68, 35.852094623728206)	(70, 35.511263320655274)	(72, 35.15063096724532)	(74, 34.89109561411213)	(76, 34.64286584061804)	(78, 34.45049084097542)	(80, 34.31916526365359)	(82, 34.23406380808285)	(84, 34.151908165342576)	(86, 34.08068926688048)	(88, 34.04488520430789)	(90, 34.01082141046693)	(92, 33.95457241054794)	(94, 33.90786369411879)	(96, 33.930650741318686)	(98, 34.008770878777824)	(100, 34.07204649663276)
output69_reverse_paired	(1, 31.832952706609593)	(2, 32.041843980481964)	(3, 32.17140682133007)	(4, 35.73351553497814)	(5, 35.689820419063786)	(6, 35.96003211407986)	(7, 36.04889909439959)	(8, 36.12192534724389)	(9, 37.952078471502915)	(10, 37.95026893461956)	(12, 37.954285274529624)	(14, 39.36607555128477)	(16, 39.41576501811617)	(18, 39.40995370081492)	(20, 39.389472655193785)	(22, 39.34267844737576)	(24, 39.45008382107632)	(26, 39.418260931058725)	(28, 39.4004692316332)	(30, 39.42886440120968)	(32, 39.399541583989546)	(34, 39.30678305940688)	(36, 39.30413531176033)	(38, 39.351961163594616)	(40, 39.30614036182418)	(42, 39.22319493496067)	(44, 39.11288390260948)	(46, 38.71918275490551)	(48, 38.68997849355014)	(50, 38.65522724767425)	(52, 38.483289650390816)	(54, 38.222483374144986)	(56, 37.88105591031886)	(58, 37.56642907183192)	(60, 37.155532293361574)	(62, 36.90080126510998)	(64, 36.63252389908439)	(66, 36.400340197148765)	(68, 36.07089935099968)	(70, 35.67015736886475)	(72, 35.45125132936572)	(74, 35.205961929508135)	(76, 34.89610197252282)	(78, 34.65796300961614)	(80, 34.49156154842924)	(82, 34.384417688827625)	(84, 34.29108094309768)	(86, 34.16316818582124)	(88, 34.10162091550242)	(90, 34.06274729239556)	(92, 34.02476250507452)	(94, 34.024222904268285)	(96, 34.05492257945551)	(98, 34.076155075676475)	(100, 34.12965327928084)
output70_forward_paired	(1, 32.41626072930935)	(2, 32.55409030856643)	(3, 32.63171822949172)	(4, 36.12993102442108)	(5, 36.175214991448975)	(6, 36.19488640508361)	(7, 36.1824043379236)	(8, 36.185978748064876)	(9, 37.928487481459264)	(10, 37.90777657099784)	(12, 37.92074495246278)	(14, 39.378684844014685)	(16, 39.41828906522285)	(18, 39.459392755537905)	(20, 39.4948004895564)	(22, 39.46369866344618)	(24, 39.45503011096071)	(26, 39.41929614109599)	(28, 39.42063553174417)	(30, 39.389087917521096)	(32, 39.38755805377015)	(34, 39.33686181379025)	(36, 39.34444831694724)	(38, 39.36634056590775)	(40, 39.33609384245038)	(42, 39.26928236219068)	(44, 39.121063893594425)	(46, 38.9719214278188)	(48, 38.784092659085566)	(50, 38.60696541725533)	(52, 38.45520725660593)	(54, 38.214768545679036)	(56, 37.98292836541698)	(58, 37.73987297608556)	(60, 37.4382257868493)	(62, 37.121430190336014)	(64, 36.84370168127302)	(66, 36.475653797785405)	(68, 36.00882950540041)	(70, 35.662966294442484)	(72, 35.292764914347806)	(74, 35.01833902892421)	(76, 34.78036752448783)	(78, 34.58479020485781)	(80, 34.44910557260421)	(82, 34.35548003822106)	(84, 34.29206724102433)	(86, 34.21692639934036)	(88, 34.17593068094823)	(90, 34.13673642676635)	(92, 34.11255101570731)	(94, 34.11746430735456)	(96, 34.13762633215465)	(98, 34.166253893084544)	(100, 34.22342863094308)
output70_reverse_paired	(1, 31.882927936325245)	(2, 32.08033101793689)	(3, 32.14447587475786)	(4, 35.7418886826556)	(5, 35.761827569157944)	(6, 35.9560088184994)	(7, 36.04286050074163)	(8, 36.13255306904853)	(9, 37.947267318868185)	(10, 37.95786289178696)	(12, 37.965870867341565)	(14, 39.386263241933264)	(16, 39.43008826604635)	(18, 39.41589599358065)	(20, 39.41676730671033)	(22, 39.36726253677752)	(24, 39.45759744522885)	(26, 39.430592817137715)	(28, 39.40702683644439)	(30, 39.434063885489195)	(32, 39.40260745519829)	(34, 39.32587921573713)	(36, 39.319249130713175)	(38, 39.36106202938959)	(40, 39.31735453123353)	(42, 39.23749766974396)	(44, 39.131280546617276)	(46, 38.764725191891515)	(48, 38.73162947713107)	(50, 38.68970644731543)	(52, 38.5240968063399)	(54, 38.26440622908199)	(56, 37.94528576314103)	(58, 37.647090706141974)	(60, 37.262828516934164)	(62, 36.99830672826002)	(64, 36.73214896097243)	(66, 36.49400255520263)	(68, 36.1684819523466)	(70, 35.7592634925001)	(72, 35.54498790218918)	(74, 35.29445479103573)	(76, 34.98186118695507)	(78, 34.746022281322)	(80, 34.58383602704615)	(82, 34.465389256940185)	(84, 34.36635419581886)	(86, 34.23756842081462)	(88, 34.17816838900237)	(90, 34.129648647716095)	(92, 34.08516269971972)	(94, 34.08578422849789)	(96, 34.11537701128525)	(98, 34.12965872415792)	(100, 34.17005096388212)
output71_forward_paired	(1, 32.39850516958918)	(2, 32.55055536829894)	(3, 32.625520290343566)	(4, 36.123646853174264)	(5, 36.16964796626245)	(6, 36.1917843117274)	(7, 36.16952254787455)	(8, 36.18053976938694)	(9, 37.92562689597329)	(10, 37.901707257805334)	(12, 37.9146273114217)	(14, 39.36015457816309)	(16, 39.393517829007706)	(18, 39.450914378434305)	(20, 39.48017017707508)	(22, 39.444414178548755)	(24, 39.446614879323995)	(26, 39.393572699552415)	(28, 39.39921848667038)	(30, 39.367859970369906)	(32, 39.37379970683452)	(34, 39.319858042062194)	(36, 39.32899986674296)	(38, 39.35461461280992)	(40, 39.323146355420036)	(42, 39.26065272432254)	(44, 39.06654229343199)	(46, 38.924866546996626)	(48, 38.7222374640402)	(50, 38.528844666157084)	(52, 38.35962471572873)	(54, 38.105510556175034)	(56, 37.864846761549444)	(58, 37.62542990132111)	(60, 37.32726797754563)	(62, 37.0055562819213)	(64, 36.72538260322691)	(66, 36.34506993505542)	(68, 35.88851516855984)	(70, 35.55522173076858)	(72, 35.191543591079)	(74, 34.92465005495286)	(76, 34.70274077509716)	(78, 34.52638851586912)	(80, 34.40147395399233)	(82, 34.29715511234582)	(84, 34.23199407817761)	(86, 34.17262263102765)	(88, 34.14506903186352)	(90, 34.11088188970973)	(92, 34.08350333427033)	(94, 34.09354751901331)	(96, 34.11760421691512)	(98, 34.1191721860276)	(100, 34.14122405166002)
output71_reverse_paired	(1, 31.805487838335697)	(2, 31.91990076270057)	(3, 32.02328470757919)	(4, 35.68999709969978)	(5, 35.73338794258973)	(6, 35.953810759329954)	(7, 36.02506408095757)	(8, 36.10869071041678)	(9, 37.92139794470617)	(10, 37.9162851857368)	(12, 37.92335564735485)	(14, 39.325439160323896)	(16, 39.37139520117893)	(18, 39.360211408370105)	(20, 39.349991769418295)	(22, 39.2977667688304)	(24, 39.39415079993415)	(26, 39.365284974093264)	(28, 39.34588823653908)	(30, 39.3789673363486)	(32, 39.34337594945639)	(34, 39.26444663055662)	(36, 39.24509888456021)	(38, 39.2886739357074)	(40, 39.247746388342364)	(42, 39.16273231796697)	(44, 39.039859531405554)	(46, 38.64970840224812)	(48, 38.59600581627774)	(50, 38.55178879652155)	(52, 38.379580319329015)	(54, 38.11887138309925)	(56, 37.77338770872731)	(58, 37.45304631871733)	(60, 37.04070404164593)	(62, 36.782741429164304)	(64, 36.532531124215446)	(66, 36.29647363031324)	(68, 35.9779523435203)	(70, 35.58278881682979)	(72, 35.38177684341089)	(74, 35.13138714716271)	(76, 34.838100317394094)	(78, 34.606683922890724)	(80, 34.446165876056035)	(82, 34.34701005734816)	(84, 34.27142426178801)	(86, 34.15504536174595)	(88, 34.09129295682889)	(90, 34.04395050634421)	(92, 33.999732697886344)	(94, 34.010964552632686)	(96, 34.04604295654052)	(98, 34.070986029570086)	(100, 34.1158566796763)
output72_forward_paired	(1, 32.420537311525685)	(2, 32.56213662790697)	(3, 32.65749584717608)	(4, 36.15164994888832)	(5, 36.17778079478661)	(6, 36.19479539355993)	(7, 36.16689161129568)	(8, 36.16076220291337)	(9, 37.91834110656785)	(10, 37.93758185854843)	(12, 37.91668596664963)	(14, 39.32654772553028)	(16, 39.37240248849987)	(18, 39.417207066189626)	(20, 39.45594412854587)	(22, 39.43989785650396)	(24, 39.45233436621518)	(26, 39.44258121965244)	(28, 39.424394646051624)	(30, 39.38449559161768)	(32, 39.37375614937388)	(34, 39.372955532839256)	(36, 39.34947610529006)	(38, 39.32095738563761)	(40, 39.27945709813442)	(42, 39.21444743483261)	(44, 39.1359950006389)	(46, 39.068555536033735)	(48, 38.978557053411706)	(50, 38.8613285769774)	(52, 38.709120395350325)	(54, 38.533470025866684)	(56, 38.309846596812676)	(58, 38.045266209337825)	(60, 37.6763762190631)	(62, 37.336337182636775)	(64, 37.00579928175161)	(66, 36.61954402583514)	(68, 36.22072657512893)	(70, 35.83181747757827)	(72, 35.46874540334106)	(74, 35.148079971992374)	(76, 34.87632634188631)	(78, 34.660153523632616)	(80, 34.507729346585165)	(82, 34.376823735193014)	(84, 34.290105740372915)	(86, 34.21418627624326)	(88, 34.18467439177819)	(90, 34.165199524324514)	(92, 34.1421336567668)	(94, 34.130032126945196)	(96, 34.134812435675286)	(98, 34.15499983374477)	(100, 34.21589720156982)
output72_reverse_paired	(1, 31.83066461155124)	(2, 32.05755254919499)	(3, 31.989054913110145)	(4, 35.54589269741886)	(5, 35.63088183618707)	(6, 35.90988372093023)	(7, 36.01294962305137)	(8, 36.12495208280092)	(9, 37.9340260030667)	(10, 37.93460100945566)	(12, 37.92338439177102)	(14, 39.36700781050345)	(16, 39.36438634040378)	(18, 39.37432915921288)	(20, 39.405672997061075)	(22, 39.36581986327626)	(24, 39.392929018655764)	(26, 39.34568665346282)	(28, 39.313140892537696)	(30, 39.31429889151546)	(32, 39.279696684129824)	(34, 39.21534588231536)	(36, 39.20791472335804)	(38, 39.212424929721436)	(40, 39.177243722846924)	(42, 39.13163453552262)	(44, 39.0931510350115)	(46, 38.983314831970354)	(48, 38.9471613052645)	(50, 38.86138534999347)	(52, 38.7592152768722)	(54, 38.55344515853969)	(56, 38.37932523820141)	(58, 38.19602011013822)	(60, 37.89606703822147)	(62, 37.6216882852729)	(64, 37.28810717718507)	(66, 36.90875666030351)	(68, 36.53451935137149)	(70, 36.11997718509381)	(72, 35.742799136211985)	(74, 35.41748748135975)	(76, 35.08416884801848)	(78, 34.808435886191624)	(80, 34.59088125627174)	(82, 34.40363769497709)	(84, 34.26916629558663)	(86, 34.15955457774966)	(88, 34.10447111032188)	(90, 34.05633827312215)	(92, 34.03265023561782)	(94, 34.01245112224439)	(96, 34.01066832595963)	(98, 34.01494574212037)	(100, 34.06314259923824)
output73_forward_paired	(1, 32.45580254691086)	(2, 32.596656617018404)	(3, 32.69131530396436)	(4, 36.17385141520047)	(5, 36.20530981415651)	(6, 36.218728344507944)	(7, 36.19392521261756)	(8, 36.18246411375602)	(9, 37.95054673086442)	(10, 37.97059577914773)	(12, 37.94704585339513)	(14, 39.360518381856636)	(16, 39.40496557620483)	(18, 39.444087206947756)	(20, 39.48626648067318)	(22, 39.46881834135805)	(24, 39.48291859784908)	(26, 39.47491112811052)	(28, 39.460214642487514)	(30, 39.423873914412994)	(32, 39.40948341808037)	(34, 39.40248841290555)	(36, 39.383973810916615)	(38, 39.355838545650904)	(40, 39.3168541601044)	(42, 39.27005804796832)	(44, 39.19768258110966)	(46, 39.12867524636638)	(48, 39.03923862664807)	(50, 38.929762918722744)	(52, 38.785266849600156)	(54, 38.61768421185633)	(56, 38.39270700160327)	(58, 38.13479449790333)	(60, 37.771553306376205)	(62, 37.43842270816123)	(64, 37.106733748312166)	(66, 36.72021899243167)	(68, 36.31596753611427)	(70, 35.929986661367124)	(72, 35.56926373437042)	(74, 35.244253715882785)	(76, 34.96859777821669)	(78, 34.753738940564276)	(80, 34.59174066071914)	(82, 34.45893362209296)	(84, 34.36698180777266)	(86, 34.278711859747915)	(88, 34.24633858018643)	(90, 34.2208907860791)	(92, 34.20441165871223)	(94, 34.19388181545)	(96, 34.196433685854544)	(98, 34.215065162720904)	(100, 34.26532536040068)
output73_reverse_paired	(1, 31.62347117850875)	(2, 31.79275975340863)	(3, 31.979638212662557)	(4, 35.56131485398011)	(5, 35.66986005489808)	(6, 35.913081042163526)	(7, 36.026076587319444)	(8, 36.15137470188544)	(9, 37.97081852135175)	(10, 37.97023354182603)	(12, 37.964244251451206)	(14, 39.41461773837916)	(16, 39.41547495837646)	(18, 39.436363227287046)	(20, 39.461807586734466)	(22, 39.41561445349413)	(24, 39.44488817891374)	(26, 39.40689375871844)	(28, 39.375203617873375)	(30, 39.37219097331594)	(32, 39.34138730144445)	(34, 39.27886423975161)	(36, 39.275750348737795)	(38, 39.28718669846555)	(40, 39.25428385006525)	(42, 39.195158169464065)	(44, 39.16264905728299)	(46, 39.064482743103994)	(48, 39.032713855015075)	(50, 38.9624457761623)	(52, 38.86978734042438)	(54, 38.672611298209404)	(56, 38.51187878046477)	(58, 38.3308520016362)	(60, 38.050705682900826)	(62, 37.77892946364932)	(64, 37.44884407861322)	(66, 37.07158680635135)	(68, 36.70004583927448)	(70, 36.28404005115038)	(72, 35.90757960224708)	(74, 35.584307061605074)	(76, 35.24162355012863)	(78, 34.93714959936433)	(80, 34.7097854435482)	(82, 34.511480014748734)	(84, 34.372989163736435)	(86, 34.25406229185047)	(88, 34.18900728222297)	(90, 34.13132726987148)	(92, 34.10231845422229)	(94, 34.08040336069285)	(96, 34.081595486961106)	(98, 34.08072251951937)	(100, 34.121226334432635)
