Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
output69_forward_paired	(0.0, 1.0)	(1.0, 0.5)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 1.5)	(17.0, 3.0)	(18.0, 4.5)	(19.0, 14.0)	(20.0, 25.5)	(21.0, 25.0)	(22.0, 26.0)	(23.0, 38.0)	(24.0, 76.0)	(25.0, 132.0)	(26.0, 185.5)	(27.0, 261.5)	(28.0, 438.0)	(29.0, 631.5)	(30.0, 784.0)	(31.0, 1098.5)	(32.0, 1601.0)	(33.0, 2194.5)	(34.0, 2802.5)	(35.0, 3688.5)	(36.0, 4594.5)	(37.0, 5528.5)	(38.0, 6831.0)	(39.0, 8387.5)	(40.0, 10018.5)	(41.0, 11156.0)	(42.0, 12664.5)	(43.0, 13852.5)	(44.0, 13846.5)	(45.0, 13659.0)	(46.0, 13695.5)	(47.0, 13668.5)	(48.0, 14373.5)	(49.0, 15565.5)	(50.0, 14732.5)	(51.0, 17796.5)	(52.0, 18473.0)	(53.0, 11530.0)	(54.0, 5670.5)	(55.0, 2231.0)	(56.0, 916.5)	(57.0, 533.0)	(58.0, 391.0)	(59.0, 263.5)	(60.0, 146.0)	(61.0, 53.5)	(62.0, 21.5)	(63.0, 13.5)	(64.0, 9.5)	(65.0, 5.0)	(66.0, 2.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
output69_reverse_paired	(0.0, 1.0)	(1.0, 0.5)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.5)	(14.0, 0.5)	(15.0, 0.5)	(16.0, 2.5)	(17.0, 3.5)	(18.0, 6.0)	(19.0, 17.5)	(20.0, 34.0)	(21.0, 45.5)	(22.0, 62.0)	(23.0, 81.5)	(24.0, 117.0)	(25.0, 175.5)	(26.0, 244.5)	(27.0, 345.0)	(28.0, 502.0)	(29.0, 690.0)	(30.0, 954.5)	(31.0, 1349.5)	(32.0, 1858.0)	(33.0, 2485.0)	(34.0, 3212.0)	(35.0, 4033.0)	(36.0, 4898.5)	(37.0, 5870.0)	(38.0, 6935.5)	(39.0, 8389.0)	(40.0, 10614.5)	(41.0, 13202.5)	(42.0, 14153.5)	(43.0, 13175.5)	(44.0, 12459.0)	(45.0, 12622.0)	(46.0, 12633.0)	(47.0, 13771.0)	(48.0, 16810.0)	(49.0, 17556.5)	(50.0, 15640.5)	(51.0, 14948.0)	(52.0, 14305.5)	(53.0, 10221.5)	(54.0, 5200.5)	(55.0, 2671.0)	(56.0, 1447.0)	(57.0, 729.0)	(58.0, 521.0)	(59.0, 380.5)	(60.0, 236.5)	(61.0, 112.5)	(62.0, 42.5)	(63.0, 19.0)	(64.0, 9.0)	(65.0, 6.0)	(66.0, 2.0)	(67.0, 1.0)	(68.0, 1.0)	(69.0, 0.5)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.5)
output70_forward_paired	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 2.0)	(17.0, 4.0)	(18.0, 7.0)	(19.0, 16.0)	(20.0, 26.0)	(21.0, 24.0)	(22.0, 29.5)	(23.0, 60.5)	(24.0, 107.0)	(25.0, 152.5)	(26.0, 206.5)	(27.0, 317.0)	(28.0, 523.0)	(29.0, 753.5)	(30.0, 966.0)	(31.0, 1228.0)	(32.0, 1776.5)	(33.0, 2501.5)	(34.0, 3177.0)	(35.0, 4200.5)	(36.0, 5283.5)	(37.0, 6251.5)	(38.0, 7657.5)	(39.0, 9279.5)	(40.0, 10593.5)	(41.0, 11729.0)	(42.0, 13179.5)	(43.0, 14398.5)	(44.0, 14561.5)	(45.0, 14128.5)	(46.0, 14026.0)	(47.0, 13931.0)	(48.0, 14390.5)	(49.0, 15299.0)	(50.0, 13723.0)	(51.0, 15615.5)	(52.0, 16199.5)	(53.0, 11624.0)	(54.0, 7191.5)	(55.0, 2852.5)	(56.0, 1086.0)	(57.0, 654.0)	(58.0, 495.5)	(59.0, 309.5)	(60.0, 171.0)	(61.0, 72.5)	(62.0, 31.0)	(63.0, 11.0)	(64.0, 7.0)	(65.0, 4.5)	(66.0, 2.5)	(67.0, 1.0)	(68.0, 1.0)	(69.0, 0.5)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
output70_reverse_paired	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.5)	(11.0, 0.5)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 3.5)	(18.0, 7.0)	(19.0, 19.0)	(20.0, 38.0)	(21.0, 55.5)	(22.0, 82.0)	(23.0, 112.0)	(24.0, 133.0)	(25.0, 187.5)	(26.0, 320.5)	(27.0, 429.0)	(28.0, 572.0)	(29.0, 805.0)	(30.0, 1111.0)	(31.0, 1531.5)	(32.0, 2138.0)	(33.0, 2906.0)	(34.0, 3716.5)	(35.0, 4605.0)	(36.0, 5539.5)	(37.0, 6579.0)	(38.0, 7782.0)	(39.0, 9395.0)	(40.0, 11834.0)	(41.0, 14628.5)	(42.0, 15184.5)	(43.0, 13697.5)	(44.0, 12705.0)	(45.0, 12804.5)	(46.0, 12939.0)	(47.0, 13995.0)	(48.0, 16909.0)	(49.0, 17250.5)	(50.0, 14971.0)	(51.0, 13980.5)	(52.0, 13034.5)	(53.0, 9114.0)	(54.0, 4709.0)	(55.0, 2564.0)	(56.0, 1410.5)	(57.0, 810.5)	(58.0, 632.0)	(59.0, 512.5)	(60.0, 311.5)	(61.0, 138.5)	(62.0, 60.5)	(63.0, 22.5)	(64.0, 10.5)	(65.0, 6.5)	(66.0, 3.0)	(67.0, 3.5)	(68.0, 2.5)	(69.0, 0.5)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.5)
output71_forward_paired	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.5)	(16.0, 1.5)	(17.0, 1.0)	(18.0, 4.0)	(19.0, 21.0)	(20.0, 33.0)	(21.0, 30.5)	(22.0, 39.0)	(23.0, 48.5)	(24.0, 81.5)	(25.0, 141.0)	(26.0, 186.5)	(27.0, 256.0)	(28.0, 441.5)	(29.0, 642.5)	(30.0, 835.0)	(31.0, 1143.5)	(32.0, 1631.0)	(33.0, 2239.0)	(34.0, 2890.0)	(35.0, 3785.5)	(36.0, 4775.5)	(37.0, 5701.0)	(38.0, 6999.5)	(39.0, 8719.5)	(40.0, 10326.0)	(41.0, 11479.5)	(42.0, 12960.0)	(43.0, 14406.0)	(44.0, 14783.5)	(45.0, 14542.0)	(46.0, 14503.0)	(47.0, 14603.0)	(48.0, 15410.0)	(49.0, 16603.5)	(50.0, 15178.5)	(51.0, 17530.0)	(52.0, 19190.0)	(53.0, 13807.0)	(54.0, 7542.5)	(55.0, 2958.0)	(56.0, 1263.5)	(57.0, 731.5)	(58.0, 557.0)	(59.0, 387.5)	(60.0, 201.5)	(61.0, 76.0)	(62.0, 31.0)	(63.0, 15.5)	(64.0, 8.0)	(65.0, 5.0)	(66.0, 2.0)	(67.0, 1.0)	(68.0, 0.5)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
output71_reverse_paired	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.5)	(13.0, 1.0)	(14.0, 1.5)	(15.0, 2.0)	(16.0, 1.0)	(17.0, 1.0)	(18.0, 7.5)	(19.0, 22.0)	(20.0, 42.0)	(21.0, 60.5)	(22.0, 81.5)	(23.0, 111.5)	(24.0, 138.0)	(25.0, 180.0)	(26.0, 275.0)	(27.0, 377.5)	(28.0, 512.5)	(29.0, 707.5)	(30.0, 1026.5)	(31.0, 1439.0)	(32.0, 1981.0)	(33.0, 2668.5)	(34.0, 3372.5)	(35.0, 4283.5)	(36.0, 5198.5)	(37.0, 6065.5)	(38.0, 7181.0)	(39.0, 8787.5)	(40.0, 11447.5)	(41.0, 14390.0)	(42.0, 15048.0)	(43.0, 13830.0)	(44.0, 12910.5)	(45.0, 13013.0)	(46.0, 13288.5)	(47.0, 14604.0)	(48.0, 17959.0)	(49.0, 18615.0)	(50.0, 16550.5)	(51.0, 16069.0)	(52.0, 15193.5)	(53.0, 10706.5)	(54.0, 5716.0)	(55.0, 3152.0)	(56.0, 1742.5)	(57.0, 1004.0)	(58.0, 783.5)	(59.0, 623.5)	(60.0, 374.0)	(61.0, 173.0)	(62.0, 81.5)	(63.0, 39.0)	(64.0, 18.5)	(65.0, 9.0)	(66.0, 5.0)	(67.0, 3.5)	(68.0, 1.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.5)	(73.0, 0.5)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
output72_forward_paired	(0.0, 1.0)	(1.0, 0.5)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.5)	(18.0, 3.5)	(19.0, 9.0)	(20.0, 13.5)	(21.0, 16.0)	(22.0, 25.0)	(23.0, 49.5)	(24.0, 93.5)	(25.0, 165.5)	(26.0, 227.5)	(27.0, 352.5)	(28.0, 524.0)	(29.0, 707.0)	(30.0, 975.0)	(31.0, 1329.5)	(32.0, 1836.0)	(33.0, 2757.0)	(34.0, 3782.5)	(35.0, 5001.0)	(36.0, 6106.5)	(37.0, 7636.5)	(38.0, 10202.0)	(39.0, 12522.5)	(40.0, 14511.5)	(41.0, 16318.0)	(42.0, 17909.5)	(43.0, 19235.0)	(44.0, 19909.5)	(45.0, 19943.5)	(46.0, 18821.5)	(47.0, 16539.5)	(48.0, 14107.0)	(49.0, 11939.5)	(50.0, 9104.0)	(51.0, 6922.0)	(52.0, 5595.0)	(53.0, 3681.5)	(54.0, 2189.0)	(55.0, 1235.0)	(56.0, 757.0)	(57.0, 556.0)	(58.0, 351.5)	(59.0, 214.5)	(60.0, 127.5)	(61.0, 70.0)	(62.0, 46.5)	(63.0, 24.5)	(64.0, 11.0)	(65.0, 5.0)	(66.0, 2.0)	(67.0, 1.5)	(68.0, 0.5)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
output72_reverse_paired	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.5)	(11.0, 0.5)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.5)	(16.0, 1.5)	(17.0, 4.0)	(18.0, 6.5)	(19.0, 11.0)	(20.0, 16.0)	(21.0, 19.0)	(22.0, 41.0)	(23.0, 83.0)	(24.0, 153.5)	(25.0, 290.5)	(26.0, 425.0)	(27.0, 511.0)	(28.0, 603.5)	(29.0, 816.0)	(30.0, 1166.5)	(31.0, 1599.0)	(32.0, 2257.0)	(33.0, 3126.5)	(34.0, 4065.5)	(35.0, 5097.5)	(36.0, 6446.5)	(37.0, 8044.0)	(38.0, 9944.5)	(39.0, 12651.5)	(40.0, 15482.0)	(41.0, 17209.0)	(42.0, 18080.5)	(43.0, 18692.5)	(44.0, 18902.5)	(45.0, 18299.5)	(46.0, 16734.0)	(47.0, 14929.5)	(48.0, 13530.5)	(49.0, 11966.0)	(50.0, 9774.5)	(51.0, 7686.5)	(52.0, 5914.5)	(53.0, 4084.5)	(54.0, 2539.5)	(55.0, 1607.0)	(56.0, 1078.5)	(57.0, 778.0)	(58.0, 615.5)	(59.0, 499.5)	(60.0, 337.0)	(61.0, 158.5)	(62.0, 74.5)	(63.0, 35.5)	(64.0, 12.0)	(65.0, 6.0)	(66.0, 4.5)	(67.0, 2.5)	(68.0, 1.5)	(69.0, 0.5)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
output73_forward_paired	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 1.0)	(19.0, 6.0)	(20.0, 14.0)	(21.0, 22.5)	(22.0, 27.5)	(23.0, 52.5)	(24.0, 111.5)	(25.0, 158.0)	(26.0, 205.0)	(27.0, 388.0)	(28.0, 548.5)	(29.0, 719.0)	(30.0, 970.5)	(31.0, 1312.0)	(32.0, 1889.0)	(33.0, 2849.5)	(34.0, 3922.0)	(35.0, 5060.0)	(36.0, 5966.0)	(37.0, 7476.5)	(38.0, 10090.0)	(39.0, 12191.5)	(40.0, 13793.5)	(41.0, 15120.5)	(42.0, 16280.5)	(43.0, 17148.5)	(44.0, 17187.5)	(45.0, 16639.5)	(46.0, 15430.5)	(47.0, 13667.5)	(48.0, 11639.0)	(49.0, 9906.0)	(50.0, 7512.0)	(51.0, 5320.0)	(52.0, 4295.0)	(53.0, 3032.0)	(54.0, 1815.5)	(55.0, 988.5)	(56.0, 594.5)	(57.0, 415.0)	(58.0, 268.5)	(59.0, 157.0)	(60.0, 114.0)	(61.0, 65.0)	(62.0, 32.0)	(63.0, 21.5)	(64.0, 12.5)	(65.0, 4.0)	(66.0, 0.5)	(67.0, 0.5)	(68.0, 1.0)	(69.0, 1.0)	(70.0, 0.5)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
output73_reverse_paired	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.5)	(13.0, 0.5)	(14.0, 0.0)	(15.0, 0.5)	(16.0, 0.5)	(17.0, 1.5)	(18.0, 5.0)	(19.0, 9.5)	(20.0, 15.5)	(21.0, 22.5)	(22.0, 46.0)	(23.0, 91.0)	(24.0, 165.0)	(25.0, 292.0)	(26.0, 416.5)	(27.0, 523.5)	(28.0, 635.0)	(29.0, 833.5)	(30.0, 1171.5)	(31.0, 1619.5)	(32.0, 2222.0)	(33.0, 3067.5)	(34.0, 4062.0)	(35.0, 5163.0)	(36.0, 6484.0)	(37.0, 7828.0)	(38.0, 9540.5)	(39.0, 12206.0)	(40.0, 14822.5)	(41.0, 16343.5)	(42.0, 16614.0)	(43.0, 16643.0)	(44.0, 16648.0)	(45.0, 15859.0)	(46.0, 14166.0)	(47.0, 12178.0)	(48.0, 10751.0)	(49.0, 9306.5)	(50.0, 7570.0)	(51.0, 6001.5)	(52.0, 4577.0)	(53.0, 3091.5)	(54.0, 1922.5)	(55.0, 1250.5)	(56.0, 845.0)	(57.0, 638.5)	(58.0, 481.5)	(59.0, 340.0)	(60.0, 222.5)	(61.0, 105.0)	(62.0, 45.5)	(63.0, 19.5)	(64.0, 9.5)	(65.0, 5.0)	(66.0, 2.5)	(67.0, 2.0)	(68.0, 1.0)	(69.0, 1.0)	(70.0, 0.5)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
