Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
output69_forward_paired	(25.0, 1.0)	(26.0, 4.0)	(27.0, 13.0)	(28.0, 153.0)	(29.0, 599.0)	(30.0, 1678.0)	(31.0, 3461.0)	(32.0, 5683.0)	(33.0, 8618.0)	(34.0, 12291.0)	(35.0, 18813.0)	(36.0, 37981.0)	(37.0, 75836.0)	(38.0, 69842.0)	(39.0, 5409.0)	(40.0, 11.0)	
output69_reverse_paired	(25.0, 1.0)	(26.0, 25.0)	(27.0, 123.0)	(28.0, 342.0)	(29.0, 933.0)	(30.0, 1863.0)	(31.0, 3736.0)	(32.0, 6040.0)	(33.0, 8948.0)	(34.0, 12633.0)	(35.0, 18087.0)	(36.0, 33261.0)	(37.0, 76599.0)	(38.0, 65835.0)	(39.0, 11941.0)	(40.0, 26.0)	
output70_forward_paired	(26.0, 1.0)	(27.0, 21.0)	(28.0, 136.0)	(29.0, 585.0)	(30.0, 1596.0)	(31.0, 3157.0)	(32.0, 5462.0)	(33.0, 8319.0)	(34.0, 12055.0)	(35.0, 17898.0)	(36.0, 35109.0)	(37.0, 78690.0)	(38.0, 77410.0)	(39.0, 6308.0)	(40.0, 7.0)		
output70_reverse_paired	(25.0, 3.0)	(26.0, 28.0)	(27.0, 127.0)	(28.0, 340.0)	(29.0, 948.0)	(30.0, 1981.0)	(31.0, 3635.0)	(32.0, 6029.0)	(33.0, 8935.0)	(34.0, 12581.0)	(35.0, 18065.0)	(36.0, 32810.0)	(37.0, 77491.0)	(38.0, 70448.0)	(39.0, 13295.0)	(40.0, 38.0)	
output71_forward_paired	(26.0, 1.0)	(27.0, 24.0)	(28.0, 144.0)	(29.0, 617.0)	(30.0, 1697.0)	(31.0, 3436.0)	(32.0, 5908.0)	(33.0, 8612.0)	(34.0, 12908.0)	(35.0, 19125.0)	(36.0, 37577.0)	(37.0, 82655.0)	(38.0, 76560.0)	(39.0, 5868.0)	(40.0, 14.0)		
output71_reverse_paired	(25.0, 4.0)	(26.0, 25.0)	(27.0, 148.0)	(28.0, 430.0)	(29.0, 1042.0)	(30.0, 2219.0)	(31.0, 4185.0)	(32.0, 6817.0)	(33.0, 10052.0)	(34.0, 13695.0)	(35.0, 19490.0)	(36.0, 36470.0)	(37.0, 80911.0)	(38.0, 67612.0)	(39.0, 12022.0)	(40.0, 24.0)	
output72_forward_paired	(26.0, 1.0)	(27.0, 23.0)	(28.0, 138.0)	(29.0, 521.0)	(30.0, 1525.0)	(31.0, 3152.0)	(32.0, 5411.0)	(33.0, 8227.0)	(34.0, 11964.0)	(35.0, 17502.0)	(36.0, 33094.0)	(37.0, 78900.0)	(38.0, 82818.0)	(39.0, 7148.0)	(40.0, 8.0)		
output72_reverse_paired	(25.0, 3.0)	(26.0, 35.0)	(27.0, 118.0)	(28.0, 369.0)	(29.0, 941.0)	(30.0, 2042.0)	(31.0, 3862.0)	(32.0, 6196.0)	(33.0, 9229.0)	(34.0, 12577.0)	(35.0, 17773.0)	(36.0, 30436.0)	(37.0, 69132.0)	(38.0, 83658.0)	(39.0, 14040.0)	(40.0, 21.0)	
output73_forward_paired	(26.0, 3.0)	(27.0, 12.0)	(28.0, 111.0)	(29.0, 472.0)	(30.0, 1290.0)	(31.0, 2749.0)	(32.0, 4494.0)	(33.0, 7138.0)	(34.0, 9974.0)	(35.0, 15155.0)	(36.0, 27905.0)	(37.0, 68570.0)	(38.0, 77121.0)	(39.0, 7227.0)	(40.0, 9.0)		
output73_reverse_paired	(24.0, 2.0)	(25.0, 2.0)	(26.0, 18.0)	(27.0, 125.0)	(28.0, 288.0)	(29.0, 761.0)	(30.0, 1645.0)	(31.0, 3144.0)	(32.0, 4985.0)	(33.0, 7555.0)	(34.0, 10630.0)	(35.0, 14992.0)	(36.0, 26180.0)	(37.0, 60467.0)	(38.0, 77907.0)	(39.0, 13512.0)	(40.0, 17.0)
output74_forward_paired	(26.0, 1.0)	(27.0, 5.0)	(28.0, 56.0)	(29.0, 218.0)	(30.0, 563.0)	(31.0, 1181.0)	(32.0, 2118.0)	(33.0, 3209.0)	(34.0, 4782.0)	(35.0, 7541.0)	(36.0, 14118.0)	(37.0, 35511.0)	(38.0, 45565.0)	(39.0, 5328.0)	(40.0, 12.0)		
output74_reverse_paired	(25.0, 1.0)	(26.0, 14.0)	(27.0, 82.0)	(28.0, 201.0)	(29.0, 455.0)	(30.0, 962.0)	(31.0, 1675.0)	(32.0, 2645.0)	(33.0, 3622.0)	(34.0, 4903.0)	(35.0, 7338.0)	(36.0, 12418.0)	(37.0, 31016.0)	(38.0, 45900.0)	(39.0, 8963.0)	(40.0, 13.0)	
