Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
output69_forward_paired	(1.0, 37.518566550996646)	(2.0, 9.906523852631729)	(3.0, 5.0460897356392325)	(4.0, 3.0412483045963405)	(5.0, 2.3394691569955346)	(6.0, 1.6177010009061747)	(7.0, 1.3274662635525976)	(8.0, 1.145221906788099)	(9.0, 0.932816707355404)	('>10', 10.841960803427757)	('>50', 3.0396717818158154)	('>100', 7.5754755920207915)	('>500', 4.585535443332544)	('>1k', 5.06193660179756)	('>5k', 0.0)	('>10k+', 6.02031629814377)
output69_reverse_paired	(1.0, 38.85962450110282)	(2.0, 9.688535969530516)	(3.0, 4.557260935894992)	(4.0, 2.8212992770820313)	(5.0, 2.0115661348884526)	(6.0, 1.5665758350342796)	(7.0, 1.0653920115700035)	(8.0, 1.0026587886891238)	(9.0, 0.7378588642326916)	('>10', 7.650456180425424)	('>50', 2.165987994174766)	('>100', 7.042641407206923)	('>500', 4.480395874833119)	('>1k', 16.349746225334865)	('>5k', 0.0)	('>10k+', 0.0)
output70_forward_paired	(1.0, 36.599561252299026)	(2.0, 9.767871930893977)	(3.0, 5.17075104885834)	(4.0, 3.2736367904754484)	(5.0, 2.2765022437019318)	(6.0, 1.727728512340499)	(7.0, 1.5298611328796596)	(8.0, 1.2081231388193445)	(9.0, 1.0101150412938176)	('>10', 11.348510179377786)	('>50', 3.0923937443041987)	('>100', 8.580046732868803)	('>500', 3.346975583979876)	('>1k', 5.335268876644039)	('>5k', 0.0)	('>10k+', 5.732653791263242)
output70_reverse_paired	(1.0, 38.47136831245857)	(2.0, 10.073100135360052)	(3.0, 4.7527459551987725)	(4.0, 2.892300507069296)	(5.0, 2.178904661714294)	(6.0, 1.5508305461302203)	(7.0, 1.2298321868741418)	(8.0, 0.9582003949685409)	(9.0, 0.7862514565561249)	('>10', 7.998723001882204)	('>50', 2.2338183556636384)	('>100', 7.177714909851077)	('>500', 5.1359974178263)	('>1k', 14.560212158446761)	('>5k', 0.0)	('>10k+', 0.0)
output71_forward_paired	(1.0, 35.32547360156405)	(2.0, 9.502082903663968)	(3.0, 4.9179043555020545)	(4.0, 3.171829252687798)	(5.0, 2.2257262060972614)	(6.0, 1.8215328758949187)	(7.0, 1.5564620704882575)	(8.0, 1.1893237362765423)	(9.0, 0.9647815323578628)	('>10', 11.365188211310297)	('>50', 3.515033950538386)	('>100', 8.199981309313193)	('>500', 4.268507593550379)	('>1k', 5.281373802189453)	('>5k', 0.0)	('>10k+', 6.694798598565581)
output71_reverse_paired	(1.0, 36.896920963554955)	(2.0, 9.634844762968214)	(3.0, 4.848243502918273)	(4.0, 2.9139421825859704)	(5.0, 2.15418069923029)	(6.0, 1.49014950076743)	(7.0, 1.218664977751096)	(8.0, 0.9006636918684008)	(9.0, 0.7324316185832327)	('>10', 8.557694862063844)	('>50', 2.359153201090931)	('>100', 7.456786842773615)	('>500', 5.2554229224762326)	('>1k', 15.58090027136751)	('>5k', 0.0)	('>10k+', 0.0)
output72_forward_paired	(1.0, 49.524181773324145)	(2.0, 10.576702853047191)	(3.0, 5.4085603131520426)	(4.0, 3.6851140470319295)	(5.0, 2.7180257286319556)	(6.0, 2.0174248799954206)	(7.0, 1.5652787379560589)	(8.0, 1.4955846081652981)	(9.0, 1.1586911645603926)	('>10', 13.44576763151785)	('>50', 3.31110004506105)	('>100', 3.9077958022429375)	('>500', 0.48120625579184456)	('>1k', 0.7045661595218924)	('>5k', 0.0)	('>10k+', 0.0)
output72_reverse_paired	(1.0, 54.64954303744107)	(2.0, 10.797778996269443)	(3.0, 5.370307669451676)	(4.0, 3.4698833295956133)	(5.0, 2.596688110967023)	(6.0, 1.8286720123617868)	(7.0, 1.6090248966742708)	(8.0, 1.1086606331474755)	(9.0, 1.084302085832598)	('>10', 11.302264975431807)	('>50', 2.7939950683756267)	('>100', 2.551960844955344)	('>500', 0.8369183394962503)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
output73_forward_paired	(1.0, 41.20467765332134)	(2.0, 12.305106528518275)	(3.0, 6.191226185311493)	(4.0, 4.065502633494612)	(5.0, 2.9694535197579324)	(6.0, 2.3871861929166056)	(7.0, 2.0457865451310635)	(8.0, 1.536148860682356)	(9.0, 1.3645357461776986)	('>10', 15.749082314592277)	('>50', 3.8323466458393267)	('>100', 4.668065770660962)	('>500', 0.9385445789742033)	('>1k', 0.7423368246218545)	('>5k', 0.0)	('>10k+', 0.0)
output73_reverse_paired	(1.0, 44.23054706010697)	(2.0, 13.509177174371553)	(3.0, 6.6760635904098535)	(4.0, 4.278731898374373)	(5.0, 3.009943138218357)	(6.0, 2.252411716178416)	(7.0, 1.788893432534707)	(8.0, 1.526022082324823)	(9.0, 1.2547750479207107)	('>10', 13.889031942637034)	('>50', 3.334103745333715)	('>100', 4.250299171589492)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
