Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
output69_forward_paired	(50, 259.0)	(52, 285.0)	(54, 277.0)	(56, 325.0)	(58, 293.0)	(60, 475.0)	(62, 362.0)	(64, 395.0)	(66, 451.0)	(68, 403.0)	(70, 447.0)	(72, 469.0)	(74, 578.0)	(76, 673.0)	(78, 803.0)	(80, 878.0)	(82, 742.0)	(84, 753.0)	(86, 758.0)	(88, 746.0)	(90, 824.0)	(92, 993.0)	(94, 1090.0)	(96, 1244.0)	(98, 2542.0)	(100, 223328.0)
output69_reverse_paired	(50, 381.0)	(52, 344.0)	(54, 368.0)	(56, 395.0)	(58, 455.0)	(60, 438.0)	(62, 470.0)	(64, 409.0)	(66, 506.0)	(68, 549.0)	(70, 689.0)	(72, 803.0)	(74, 898.0)	(76, 825.0)	(78, 852.0)	(80, 815.0)	(82, 732.0)	(84, 789.0)	(86, 818.0)	(88, 934.0)	(90, 1042.0)	(92, 1247.0)	(94, 1543.0)	(96, 1868.0)	(98, 2190.0)	(100, 220033.0)
output70_forward_paired	(50, 263.0)	(52, 254.0)	(54, 268.0)	(56, 275.0)	(58, 301.0)	(60, 502.0)	(62, 372.0)	(64, 376.0)	(66, 435.0)	(68, 376.0)	(70, 415.0)	(72, 442.0)	(74, 596.0)	(76, 585.0)	(78, 889.0)	(80, 803.0)	(82, 697.0)	(84, 706.0)	(86, 735.0)	(88, 705.0)	(90, 770.0)	(92, 854.0)	(94, 1001.0)	(96, 1247.0)	(98, 2451.0)	(100, 230436.0)
output70_reverse_paired	(50, 389.0)	(52, 355.0)	(54, 370.0)	(56, 382.0)	(58, 477.0)	(60, 420.0)	(62, 465.0)	(64, 488.0)	(66, 531.0)	(68, 563.0)	(70, 746.0)	(72, 917.0)	(74, 982.0)	(76, 884.0)	(78, 833.0)	(80, 872.0)	(82, 758.0)	(84, 792.0)	(86, 826.0)	(88, 968.0)	(90, 1077.0)	(92, 1331.0)	(94, 1601.0)	(96, 1880.0)	(98, 2197.0)	(100, 225650.0)
output71_forward_paired	(50, 279.0)	(52, 274.0)	(54, 292.0)	(56, 325.0)	(58, 287.0)	(60, 467.0)	(62, 383.0)	(64, 393.0)	(66, 461.0)	(68, 425.0)	(70, 408.0)	(72, 566.0)	(74, 704.0)	(76, 824.0)	(78, 1133.0)	(80, 1032.0)	(82, 802.0)	(84, 826.0)	(86, 782.0)	(88, 829.0)	(90, 903.0)	(92, 972.0)	(94, 1188.0)	(96, 1337.0)	(98, 2630.0)	(100, 236624.0)
output71_reverse_paired	(50, 456.0)	(52, 421.0)	(54, 448.0)	(56, 471.0)	(58, 564.0)	(60, 506.0)	(62, 552.0)	(64, 537.0)	(66, 562.0)	(68, 722.0)	(70, 904.0)	(72, 1180.0)	(74, 1191.0)	(76, 1002.0)	(78, 1065.0)	(80, 984.0)	(82, 916.0)	(84, 960.0)	(86, 956.0)	(88, 1150.0)	(90, 1350.0)	(92, 1621.0)	(94, 1837.0)	(96, 2209.0)	(98, 2496.0)	(100, 230086.0)
output72_forward_paired	(50, 266.0)	(52, 242.0)	(54, 263.0)	(56, 265.0)	(58, 303.0)	(60, 441.0)	(62, 372.0)	(64, 378.0)	(66, 442.0)	(68, 364.0)	(70, 396.0)	(72, 416.0)	(74, 558.0)	(76, 596.0)	(78, 807.0)	(80, 773.0)	(82, 690.0)	(84, 666.0)	(86, 646.0)	(88, 728.0)	(90, 854.0)	(92, 925.0)	(94, 1117.0)	(96, 1385.0)	(98, 2372.0)	(100, 234167.0)
output72_reverse_paired	(50, 388.0)	(52, 402.0)	(54, 394.0)	(56, 420.0)	(58, 473.0)	(60, 443.0)	(62, 532.0)	(64, 527.0)	(66, 534.0)	(68, 628.0)	(70, 787.0)	(72, 932.0)	(74, 900.0)	(76, 849.0)	(78, 856.0)	(80, 915.0)	(82, 882.0)	(84, 942.0)	(86, 930.0)	(88, 1186.0)	(90, 1389.0)	(92, 1609.0)	(94, 1820.0)	(96, 2113.0)	(98, 2476.0)	(100, 227105.0)
output73_forward_paired	(50, 226.0)	(52, 226.0)	(54, 232.0)	(56, 271.0)	(58, 262.0)	(60, 358.0)	(62, 306.0)	(64, 327.0)	(66, 385.0)	(68, 299.0)	(70, 294.0)	(72, 346.0)	(74, 407.0)	(76, 455.0)	(78, 577.0)	(80, 539.0)	(82, 475.0)	(84, 468.0)	(86, 494.0)	(88, 504.0)	(90, 583.0)	(92, 660.0)	(94, 761.0)	(96, 933.0)	(98, 1798.0)	(100, 210044.0)
output73_reverse_paired	(50, 302.0)	(52, 295.0)	(54, 353.0)	(56, 312.0)	(58, 357.0)	(60, 424.0)	(62, 382.0)	(64, 407.0)	(66, 466.0)	(68, 474.0)	(70, 580.0)	(72, 634.0)	(74, 620.0)	(76, 626.0)	(78, 622.0)	(80, 695.0)	(82, 643.0)	(84, 711.0)	(86, 672.0)	(88, 888.0)	(90, 1008.0)	(92, 1199.0)	(94, 1413.0)	(96, 1530.0)	(98, 1942.0)	(100, 204675.0)
