Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
output69_forward_paired	output69_forward_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	240393.0	0.0	50-100	44.0	46.7718119671405	99.20260781303948	100	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
output69_reverse_paired	output69_reverse_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	240393.0	0.0	50-100	44.0	47.45020253201411	98.89775700623562	100	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
output70_forward_paired	output70_forward_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	246754.0	0.0	50-100	44.0	45.95498162420738	99.28427097433071	100	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
output70_reverse_paired	output70_reverse_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	246754.0	0.0	50-100	44.0	47.42776154342271	98.8730192823622	100	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
output71_forward_paired	output71_forward_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	255146.0	0.0	50-100	45.0	44.45214057390853	99.17382596630948	100	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
output71_reverse_paired	output71_reverse_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	255146.0	0.0	50-100	44.0	45.660008594325966	98.62098955108056	100	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
output72_forward_paired	output72_forward_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	250432.0	0.0	50-100	43.0	59.755020235332104	99.33083631484794	100	pass	pass	warn	pass	warn	pass	pass	warn	warn	warn	fail
output72_reverse_paired	output72_reverse_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	250432.0	0.0	50-100	42.0	64.70676682787784	98.78206459238436	100	pass	pass	pass	pass	fail	pass	pass	warn	warn	warn	fail
output73_forward_paired	output73_forward_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	222230.0	0.0	50-100	42.0	53.00773415467581	99.45776447824326	100	pass	pass	warn	pass	warn	pass	pass	warn	warn	warn	fail
output73_reverse_paired	output73_reverse_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	222230.0	0.0	50-100	42.0	56.69703237689245	99.03121540746073	100	pass	pass	pass	pass	fail	pass	pass	warn	warn	warn	fail
output74_forward_paired	output74_forward_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	120208.0	0.0	50-100	41.0	64.9590709436976	99.61049181418873	100	pass	pass	warn	pass	warn	pass	pass	warn	warn	warn	pass
output74_reverse_paired	output74_reverse_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	120208.0	0.0	50-100	40.0	70.84220684147478	99.3970950352722	100	pass	pass	pass	pass	fail	pass	pass	warn	pass	warn	pass
