Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
output69_forward_paired	53.2281880328595	44.0	99.20260781303948	100	45.45454545454545	0.240393
output69_reverse_paired	52.54979746798589	44.0	98.89775700623562	100	45.45454545454545	0.240393
output70_forward_paired	54.04501837579262	44.0	99.28427097433071	100	45.45454545454545	0.246754
output70_reverse_paired	52.57223845657729	44.0	98.8730192823622	100	45.45454545454545	0.246754
output71_forward_paired	55.54785942609147	45.0	99.17382596630948	100	45.45454545454545	0.255146
output71_reverse_paired	54.339991405674034	44.0	98.62098955108056	100	45.45454545454545	0.255146
output72_forward_paired	40.244979764667896	43.0	99.33083631484794	100	9.090909090909092	0.250432
output72_reverse_paired	35.29323317212216	42.0	98.78206459238436	100	18.181818181818183	0.250432
output73_forward_paired	46.99226584532419	42.0	99.45776447824326	100	9.090909090909092	0.22222999999999998
output73_reverse_paired	43.30296762310755	42.0	99.03121540746073	100	18.181818181818183	0.22222999999999998
output74_forward_paired	35.0409290563024	41.0	99.61049181418873	100	0.0	0.120208
output74_reverse_paired	29.157793158525223	40.0	99.3970950352722	100	9.090909090909092	0.120208
