Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
output69_forward_paired - illumina_universal_adapter	(1, 0.0004812134277794888)	(2, 0.0014436402833384663)	(3, 0.0019248537111179551)	(4, 0.004812134277794888)	(5, 0.007218201416692331)	(6, 0.012030335694487219)	(7, 0.017323683400061594)	(8, 0.02213581767785648)	(9, 0.02598552510009239)	(10, 0.032963119802894986)	(12, 0.042106174930705266)	(14, 0.0514898367724053)	(16, 0.06255774561133354)	(18, 0.07146019402525408)	(20, 0.09022751770865414)	(22, 0.10658877425315676)	(24, 0.12391245765321836)	(26, 0.1453264551894056)	(28, 0.1881544502617801)	(30, 0.25552433015090853)	(32, 0.31447297505389593)	(34, 0.39291076378195255)	(36, 0.5064771327379118)	(38, 0.6106598398521712)	(40, 0.7170080073914382)	(42, 0.8568005081613796)	(44, 1.0658877425315676)	(46, 1.5899291653834309)	(48, 3.064848321527564)	(50, 4.526052894979982)	(52, 6.087109254696643)	(54, 7.659714736680012)	(56, 9.25156875577456)	(58, 10.940146673852787)	(60, 13.519931860178627)	(62, 18.224755543578688)	(64, 22.132930397289805)	(66, 24.20888512473052)	(68, 26.267997382198953)	(70, 28.182745611333537)	(72, 29.74500500461965)	(74, 31.205006544502616)	(76, 31.631842854943024)	(78, 31.690069679704344)	(80, 31.741078303048965)	(82, 31.7778911302741)	(84, 31.800989374807514)	(86, 31.801951801663073)	(88, 31.801951801663073)
output69_reverse_paired - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0004812134277794888)	(6, 0.0004812134277794888)	(7, 0.0004812134277794888)	(8, 0.0004812134277794888)	(9, 0.0004812134277794888)	(10, 0.0004812134277794888)	(12, 0.0004812134277794888)	(14, 0.0004812134277794888)	(16, 0.0004812134277794888)	(18, 0.0009624268555589776)	(20, 0.0009624268555589776)	(22, 0.0009624268555589776)	(24, 0.0009624268555589776)	(26, 0.0009624268555589776)	(28, 0.0009624268555589776)	(30, 0.0009624268555589776)	(32, 0.0009624268555589776)	(34, 0.0009624268555589776)	(36, 0.003127887280566677)	(38, 0.00938366184170003)	(40, 0.01612064983061287)	(42, 0.02646673852787188)	(44, 0.04138435478903603)	(46, 0.05533954419464121)	(48, 0.06712927317523867)	(50, 0.07964082229750538)	(52, 0.09118994456421312)	(54, 0.1068293809670465)	(56, 0.12295003079765937)	(58, 0.14003310748383124)	(60, 0.15807861102556203)	(62, 0.19970357252848783)	(64, 0.24662188173698799)	(66, 0.26875769941484445)	(68, 0.2928183708038189)	(70, 0.3248190637511549)	(72, 0.35297004927625497)	(74, 0.3799180012319064)	(76, 0.4027756390514321)	(78, 0.4140841546042501)	(80, 0.42322720973206035)	(82, 0.4256332768709578)	(84, 0.426355097012627)	(86, 0.42683631044040654)	(88, 0.4270769171542963)
output70_forward_paired - illumina_universal_adapter	(1, 0.0013767657020128314)	(2, 0.0036713752053675504)	(3, 0.007342750410735101)	(4, 0.013767657020128315)	(5, 0.022487173132876247)	(6, 0.038549439656359284)	(7, 0.04910464337179099)	(8, 0.059659847087222696)	(9, 0.06837936319997064)	(10, 0.07824618406439593)	(12, 0.08948977063083405)	(14, 0.09660306009123368)	(16, 0.10578149810465254)	(18, 0.1209259208267937)	(20, 0.13423465594625106)	(22, 0.1486906958173858)	(24, 0.16888325944690732)	(26, 0.19205881543079)	(28, 0.23405016934218137)	(30, 0.29141540692604934)	(32, 0.3460271131058916)	(34, 0.40981725729915286)	(36, 0.49701241842663213)	(38, 0.5780121338950537)	(40, 0.6516690989527403)	(42, 0.7535497609016897)	(44, 1.2246330919404136)	(46, 2.5043368119613403)	(48, 3.8691705445567273)	(50, 5.15415186643537)	(52, 6.498104652550229)	(54, 7.797312553349671)	(56, 9.100421290304816)	(58, 10.509770447265286)	(60, 12.73714789217171)	(62, 16.964277519251773)	(64, 20.37590292883957)	(66, 22.02893961505631)	(68, 23.722820350432762)	(70, 25.285678883167662)	(72, 26.52683316353223)	(74, 27.746877036465932)	(76, 28.123651916916778)	(78, 28.1794109278483)	(80, 28.22966287597177)	(82, 28.262705252820076)	(84, 28.281521050747585)	(86, 28.282438894548925)	(88, 28.28266835549926)
output70_reverse_paired - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0004589219006709438)	(10, 0.0004589219006709438)	(12, 0.0004589219006709438)	(14, 0.0006883828510064157)	(16, 0.0009178438013418876)	(18, 0.0011473047516773595)	(20, 0.0013767657020128314)	(22, 0.0013767657020128314)	(24, 0.0013767657020128314)	(26, 0.0013767657020128314)	(28, 0.0013767657020128314)	(30, 0.0013767657020128314)	(32, 0.0013767657020128314)	(34, 0.002524070453690191)	(36, 0.004589219006709438)	(38, 0.007801672311406044)	(40, 0.013538196069792844)	(42, 0.018586336977173226)	(44, 0.029141540692604932)	(46, 0.03717267395434645)	(48, 0.04681003386843627)	(50, 0.05621793283219062)	(52, 0.06470798799460309)	(54, 0.07709887931271855)	(56, 0.08834246587915669)	(58, 0.10027443529660122)	(60, 0.12551513983350313)	(62, 0.16635918899321714)	(64, 0.20169617534487982)	(66, 0.21959412947104662)	(68, 0.24001615405090362)	(70, 0.2629622490844508)	(72, 0.28820295362135273)	(74, 0.30770713439986785)	(76, 0.3242283228240218)	(78, 0.3359308312911309)	(80, 0.34763333975823996)	(82, 0.3519930978146139)	(84, 0.3529109416159558)	(86, 0.35405824636763317)	(88, 0.3547466292186396)
output71_forward_paired - illumina_universal_adapter	(1, 0.0008877210425395924)	(2, 0.002219302606348981)	(3, 0.0035508841701583694)	(4, 0.0066579078190469425)	(5, 0.01864214189333144)	(6, 0.03240181805269512)	(7, 0.04127902847809104)	(8, 0.04882465733967758)	(9, 0.05459484411618493)	(10, 0.06546942688729493)	(12, 0.07767559122221433)	(14, 0.09054754633903841)	(16, 0.1063045948441162)	(18, 0.11939848022157518)	(20, 0.13426780768411334)	(22, 0.15446346140188907)	(24, 0.174215254598395)	(26, 0.20351004900220154)	(28, 0.2527785668631489)	(30, 0.30959271358568285)	(32, 0.3779472338612314)	(34, 0.46161494212058807)	(36, 0.5634809317520062)	(38, 0.6593548043462822)	(40, 0.7436883033875434)	(42, 0.8459981535402314)	(44, 1.0264274554364037)	(46, 2.177801647610255)	(48, 3.7268748668418437)	(50, 5.162763653149634)	(52, 6.719604431503445)	(54, 8.159487962502663)	(56, 9.585389887081885)	(58, 11.136904339180456)	(60, 13.707522548114481)	(62, 18.566241744194308)	(64, 22.41184930047582)	(66, 24.18529401320929)	(68, 25.960736098288475)	(70, 27.617667424188625)	(72, 28.920398054115473)	(74, 30.1390171152617)	(76, 30.506755557133726)	(78, 30.565123215680703)	(80, 30.603295220509906)	(82, 30.642576876642284)	(84, 30.662550600099426)	(86, 30.66410411192387)	(88, 30.66410411192387)
output71_reverse_paired - illumina_universal_adapter	(1, 0.0)	(2, 0.0004438605212697962)	(3, 0.0004438605212697962)	(4, 0.0004438605212697962)	(5, 0.0004438605212697962)	(6, 0.0008877210425395924)	(7, 0.0008877210425395924)	(8, 0.0013315815638093886)	(9, 0.0013315815638093886)	(10, 0.0013315815638093886)	(12, 0.0013315815638093886)	(14, 0.0013315815638093886)	(16, 0.0013315815638093886)	(18, 0.0013315815638093886)	(20, 0.0013315815638093886)	(22, 0.0013315815638093886)	(24, 0.0013315815638093886)	(26, 0.0013315815638093886)	(28, 0.0013315815638093886)	(30, 0.0013315815638093886)	(32, 0.0013315815638093886)	(34, 0.002219302606348981)	(36, 0.007101768340316739)	(38, 0.013093885377458987)	(40, 0.024856189191108588)	(42, 0.03573077196221859)	(44, 0.05526063489808962)	(46, 0.07412470705205595)	(48, 0.09099140686030821)	(50, 0.10697038562602088)	(52, 0.12294936439173354)	(54, 0.13582131950855764)	(56, 0.1518002982742703)	(58, 0.16445032313045949)	(60, 0.19130388466728215)	(62, 0.23724344861870605)	(64, 0.2820733612669555)	(66, 0.2980523400326681)	(68, 0.31736027270790423)	(70, 0.3439919039840921)	(72, 0.3619682550955188)	(74, 0.38815602585043674)	(76, 0.41123677295646616)	(78, 0.4216674952063064)	(80, 0.42699382146154397)	(82, 0.4309885661529721)	(84, 0.43165435693487675)	(86, 0.4318762871955117)	(88, 0.4318762871955117)
output72_forward_paired - illumina_universal_adapter	(1, 0.0023631834917454)	(2, 0.00378109358679264)	(3, 0.00614427707853804)	(4, 0.010870644062028841)	(5, 0.02457710831415216)	(6, 0.04064675605802088)	(7, 0.05104476342170064)	(8, 0.05955222399198408)	(9, 0.06333331757877672)	(10, 0.07160445979988561)	(12, 0.082711422211089)	(14, 0.09027360938467427)	(16, 0.09972634335165588)	(18, 0.11036066906451018)	(20, 0.12194026817406264)	(22, 0.13824623426710592)	(24, 0.1599875223911636)	(26, 0.19023627108550473)	(28, 0.23064670879435106)	(30, 0.28216410891440075)	(32, 0.34289792465225755)	(34, 0.41450238445214316)	(36, 0.5061939039318647)	(38, 0.6035570637917752)	(40, 0.7073008190793982)	(42, 0.8167162147472102)	(44, 1.29715141861905)	(46, 2.7642157302945947)	(48, 4.270981524631462)	(50, 5.678020975616673)	(52, 7.341938472154609)	(54, 9.01507238431035)	(56, 10.705457535955837)	(58, 12.408367560107571)	(60, 14.281899432363325)	(62, 16.602309302908132)	(64, 18.734373449160834)	(66, 20.61735805538357)	(68, 22.493253111131068)	(70, 24.375528762306278)	(72, 26.237481035452475)	(74, 28.05476914060469)	(76, 28.60893566941899)	(78, 28.699445597152838)	(80, 28.777194334031257)	(82, 28.83320178278563)	(84, 28.867231625066758)	(86, 28.869122171860155)	(88, 28.86935849020933)
output72_reverse_paired - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.00047263669834908)	(24, 0.0007089550475236201)	(26, 0.0014179100950472401)	(28, 0.0014179100950472401)	(30, 0.0014179100950472401)	(32, 0.0014179100950472401)	(34, 0.0023631834917454)	(36, 0.0059079587293635)	(38, 0.015597011045519641)	(40, 0.02670397345672302)	(42, 0.03733829916957732)	(44, 0.0519900368183988)	(46, 0.06829600291144206)	(48, 0.08412933230613624)	(50, 0.0980721149074341)	(52, 0.11414176265130282)	(54, 0.13422882233113873)	(56, 0.15620642880437094)	(58, 0.17062184810401787)	(60, 0.18621885914953754)	(62, 0.20725119222607158)	(64, 0.2268656152075584)	(66, 0.2469526748873943)	(68, 0.27058450980484827)	(70, 0.29634320986487317)	(72, 0.333917827383625)	(74, 0.37078348985485327)	(76, 0.40575860553268517)	(78, 0.42206457162572847)	(80, 0.4360073542270263)	(82, 0.4395521294646444)	(84, 0.4407337212105171)	(86, 0.44097003955969166)	(88, 0.44097003955969166)
output73_forward_paired - illumina_universal_adapter	(1, 0.0005240540823813018)	(2, 0.0010481081647626036)	(3, 0.002096216329525207)	(4, 0.006288648988575621)	(5, 0.01205324389476994)	(6, 0.02096216329525207)	(7, 0.025154595954302483)	(8, 0.028822974530971598)	(9, 0.03301540719002201)	(10, 0.03904202913740698)	(12, 0.04664081333193586)	(14, 0.05030919190860497)	(16, 0.05738392202075254)	(18, 0.06367257100932816)	(20, 0.07493973378052615)	(22, 0.08515878838696153)	(24, 0.10428676239387905)	(26, 0.12603500681270308)	(28, 0.15590608950843726)	(30, 0.1899696048632219)	(32, 0.22743947175348495)	(34, 0.2706739335499424)	(36, 0.33225028822974534)	(38, 0.4016874541452678)	(40, 0.4692904307724557)	(42, 0.5389896237291689)	(44, 0.9241693742794257)	(46, 2.172466198511686)	(48, 3.4459176186982496)	(50, 4.661723089822869)	(52, 6.044177759144744)	(54, 7.3988575621004085)	(56, 8.832145477413269)	(58, 10.277224609579708)	(60, 11.893145372602453)	(62, 13.890577507598785)	(64, 15.646682737658526)	(66, 17.149407818886907)	(68, 18.68698249659365)	(70, 20.23320406665968)	(72, 21.786762393879048)	(74, 23.356566397652237)	(76, 23.84865318100828)	(78, 23.928047374489047)	(80, 23.99407818886909)	(82, 24.039932921077455)	(84, 24.064563462949376)	(86, 24.06561157111414)	(88, 24.06561157111414)
output73_reverse_paired - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0005240540823813018)	(30, 0.0010481081647626036)	(32, 0.0018341892883345563)	(34, 0.002096216329525207)	(36, 0.005764594906194319)	(38, 0.009695000524054084)	(40, 0.0159836495126297)	(42, 0.023844460748349228)	(44, 0.037993920972644375)	(46, 0.046378786290745204)	(48, 0.0602662194738497)	(50, 0.07310554449219159)	(52, 0.08908919400482129)	(54, 0.10088041085840058)	(56, 0.11136149250602662)	(58, 0.12760716905984698)	(60, 0.1451629808196206)	(62, 0.1669112252384446)	(64, 0.1813227125039304)	(66, 0.1973063620165601)	(68, 0.21197987632323656)	(70, 0.23241798553610732)	(72, 0.2654333927261293)	(74, 0.2908500157216225)	(76, 0.3105020438109213)	(78, 0.3285819096530762)	(80, 0.33801488313593964)	(82, 0.34220731579499003)	(84, 0.34273136987737135)	(86, 0.34325542395975267)	(88, 0.34325542395975267)
