Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
output69_forward_paired	(1, 32.4122747921158)	(2, 32.553842970434246)	(3, 32.626337773329226)	(4, 36.13947971204188)	(5, 36.18759233327078)	(6, 36.202065556887035)	(7, 36.187865222623344)	(8, 36.19434358416242)	(9, 37.933856772414856)	(10, 37.916675337502156)	(12, 37.933634183911835)	(14, 39.391450843996324)	(16, 39.430674188918246)	(18, 39.47900529909077)	(20, 39.50894236877606)	(22, 39.47351413759487)	(24, 39.47059473944813)	(26, 39.42130213561644)	(28, 39.41531230223717)	(30, 39.391070730536526)	(32, 39.39598258068159)	(34, 39.33116176748567)	(36, 39.35806886131233)	(38, 39.38432853652387)	(40, 39.349758850738894)	(42, 39.27902250303169)	(44, 39.09776014159539)	(46, 38.95075240697176)	(48, 38.72806764082054)	(50, 38.54547800676497)	(52, 38.36526806532993)	(54, 38.10827211684364)	(56, 37.86459235100864)	(58, 37.642747908753385)	(60, 37.37565371416301)	(62, 37.08358526911715)	(64, 36.82344850026736)	(66, 36.43796226979738)	(68, 35.957191494347505)	(70, 35.63141206518621)	(72, 35.25196631087316)	(74, 35.00315181646599)	(76, 34.77733326532533)	(78, 34.5989603551982)	(80, 34.43408539424064)	(82, 34.35061094155475)	(84, 34.28897861824403)	(86, 34.25362114903524)	(88, 34.14331685718036)	(90, 34.04557473055918)	(92, 33.963491051431056)	(94, 33.89738770780819)	(96, 33.93330262141484)	(98, 34.03180436499077)	(100, 34.08828270234144)
output69_reverse_paired	(1, 31.837167000307975)	(2, 32.046172428395444)	(3, 32.185212813059465)	(4, 35.74968472327849)	(5, 35.700308196089765)	(6, 35.972825641643574)	(7, 36.06046361227612)	(8, 36.13038793624104)	(9, 37.964487372858414)	(10, 37.962773976433695)	(12, 37.96980435045775)	(14, 39.38180068692431)	(16, 39.43599820846227)	(18, 39.43405935572348)	(20, 39.40748518063184)	(22, 39.362306731701835)	(24, 39.481552676577095)	(26, 39.4510509788381)	(28, 39.436793161200285)	(30, 39.4728818691781)	(32, 39.451981896013166)	(34, 39.36527173301571)	(36, 39.37091743004518)	(38, 39.432548420065)	(40, 39.38822623394391)	(42, 39.30294744222465)	(44, 39.18685503890777)	(46, 38.76557967014243)	(48, 38.7431381501618)	(50, 38.74395696235334)	(52, 38.6032745140306)	(54, 38.39179983404795)	(56, 38.08460835267806)	(58, 37.810157786867734)	(60, 37.4478028939058)	(62, 37.35833251866195)	(64, 37.220953273588734)	(66, 37.04104219914555)	(68, 36.73398366694457)	(70, 36.27597825305591)	(72, 36.10092283652436)	(74, 35.8675525725416)	(76, 35.513151592657096)	(78, 35.27327615334346)	(80, 35.10466479812141)	(82, 34.929615311765176)	(84, 34.79000220252861)	(86, 34.63306386890001)	(88, 34.53788442114851)	(90, 34.487166789174594)	(92, 34.499066226283354)	(94, 34.468698396811384)	(96, 34.39444620660206)	(98, 34.36247997006411)	(100, 34.39273029159285)
output70_forward_paired	(1, 32.44107442795385)	(2, 32.578209470312345)	(3, 32.65390704953167)	(4, 36.15071064382449)	(5, 36.196938962826984)	(6, 36.21582855988837)	(7, 36.20221835560718)	(8, 36.206577406242104)	(9, 37.95284910241318)	(10, 37.93316980171985)	(12, 37.95077797355943)	(14, 39.4200284063713)	(16, 39.45969089891425)	(18, 39.502318100256176)	(20, 39.53510604745273)	(22, 39.504259083978965)	(24, 39.49313027872893)	(26, 39.45490848965183)	(28, 39.45921592315003)	(30, 39.42887336167193)	(32, 39.42710718122445)	(34, 39.367914524005926)	(36, 39.384619050619534)	(38, 39.41531694926937)	(40, 39.38613172895248)	(42, 39.32154905412344)	(44, 39.15404473578311)	(46, 39.01307649126461)	(48, 38.827615782821994)	(50, 38.65653075951069)	(52, 38.498335049747965)	(54, 38.251871314120834)	(56, 38.03216616899006)	(58, 37.807389768897785)	(60, 37.52892566997397)	(62, 37.22867038937022)	(64, 36.954421535964855)	(66, 36.57901799477122)	(68, 36.09231219647144)	(70, 35.755327183833195)	(72, 35.37128702315998)	(74, 35.09946305499189)	(76, 34.86783363823952)	(78, 34.68766164831528)	(80, 34.55070098065465)	(82, 34.468203117618486)	(84, 34.40888085030308)	(86, 34.3280100424068)	(88, 34.23800878853864)	(90, 34.19131978184034)	(92, 34.15356753266496)	(94, 34.16501327409023)	(96, 34.19346523362131)	(98, 34.2175937313408)	(100, 34.27495116343621)
output70_reverse_paired	(1, 31.88880322346743)	(2, 32.085029049756315)	(3, 32.15589643317774)	(4, 35.7531263772587)	(5, 35.774928918877954)	(6, 35.96826426061843)	(7, 36.05565715707185)	(8, 36.14041528683572)	(9, 37.95961418649191)	(10, 37.97326284123003)	(12, 37.98019164336648)	(14, 39.40307651006556)	(16, 39.44819958132566)	(18, 39.43822106797502)	(20, 39.43755842412501)	(22, 39.3902689381933)	(24, 39.493644893703134)	(26, 39.47224348734021)	(28, 39.4463945903288)	(30, 39.48385532852896)	(32, 39.45916721567569)	(34, 39.390838921784635)	(36, 39.393860662761185)	(38, 39.44902837036407)	(40, 39.407575211433)	(42, 39.32611360430097)	(44, 39.217897476923525)	(46, 38.82861316422464)	(48, 38.81373527322324)	(50, 38.813592781327)	(52, 38.676033550793676)	(54, 38.46327622254098)	(56, 38.171926913042896)	(58, 37.91534709253598)	(60, 37.58561743432304)	(62, 37.477875449531325)	(64, 37.334800987490055)	(66, 37.133803989295075)	(68, 36.81925040716763)	(70, 36.35232216455171)	(72, 36.1682112587325)	(74, 35.92394469067485)	(76, 35.56485851834492)	(78, 35.32074187003214)	(80, 35.15364206506848)	(82, 34.96030271429703)	(84, 34.796873722840814)	(86, 34.647804252791744)	(88, 34.55428149772044)	(90, 34.495494287146016)	(92, 34.50406375516141)	(94, 34.473893128465136)	(96, 34.41018012815228)	(98, 34.38319624404804)	(100, 34.40609722107135)
output71_forward_paired	(1, 32.41884010368582)	(2, 32.57042734890988)	(3, 32.64290089482281)	(4, 36.14081475037284)	(5, 36.18483650034844)	(6, 36.210559728659454)	(7, 36.18893522157534)	(8, 36.20257963581089)	(9, 37.94507588405255)	(10, 37.923405198560104)	(12, 37.93857690578369)	(14, 39.398788861324846)	(16, 39.431981558815664)	(18, 39.49115916826158)	(20, 39.51850563127161)	(22, 39.476173531485074)	(24, 39.4815022988446)	(26, 39.427082847223836)	(28, 39.43249442931348)	(30, 39.40667942222896)	(32, 39.41074143979823)	(34, 39.34770549408853)	(36, 39.365162650373264)	(38, 39.39853217243399)	(40, 39.36768897053701)	(42, 39.30976808552525)	(44, 39.098888214517274)	(46, 38.96915878731558)	(48, 38.761968830852595)	(50, 38.57181709153534)	(52, 38.40140181441272)	(54, 38.13178607462585)	(56, 37.896056644485185)	(58, 37.68014755037374)	(60, 37.4157422933326)	(62, 37.12101857542278)	(64, 36.851879467810875)	(66, 36.47491409812122)	(68, 35.99352304494188)	(70, 35.664355378599254)	(72, 35.286161167930324)	(74, 35.03498926026418)	(76, 34.81385172886098)	(78, 34.64477129934731)	(80, 34.51337035615607)	(82, 34.42478456472993)	(84, 34.34571283690379)	(86, 34.30649452871407)	(88, 34.20749568105231)	(90, 34.16328550606059)	(92, 34.117933998050475)	(94, 34.12805591003783)	(96, 34.16926426539808)	(98, 34.172641475528266)	(100, 34.18220975448917)
output71_reverse_paired	(1, 31.81093761096513)	(2, 31.922652865563524)	(3, 32.03128509973319)	(4, 35.70061994297946)	(5, 35.747359812253315)	(6, 35.96643082006047)	(7, 36.037352064404416)	(8, 36.118105906859896)	(9, 37.93189951331234)	(10, 37.93069191003451)	(12, 37.937240784137025)	(14, 39.3390491938851)	(16, 39.39067053133412)	(18, 39.38378826347697)	(20, 39.374381292721786)	(22, 39.323792277741816)	(24, 39.43351026812024)	(26, 39.412313872643296)	(28, 39.38835942784107)	(30, 39.43490963080873)	(32, 39.40604156637336)	(34, 39.336450021874576)	(36, 39.333910064760396)	(38, 39.39140800293877)	(40, 39.35284631570235)	(42, 39.26731934484049)	(44, 39.142547096592025)	(46, 38.72543272935805)	(48, 38.689464386597066)	(50, 38.69017724226493)	(52, 38.561888033125825)	(54, 38.35441181607196)	(56, 38.04305441595288)	(58, 37.774000714933436)	(60, 37.420404639768705)	(62, 37.34711396827133)	(64, 37.237343069889235)	(66, 37.04743426891015)	(68, 36.75319259335308)	(70, 36.28032628805591)	(72, 36.10882599024056)	(74, 35.87040799747382)	(76, 35.522612263978274)	(78, 35.277419334346256)	(80, 35.108081023741846)	(82, 34.92133245845817)	(84, 34.77051718097851)	(86, 34.62168043399102)	(88, 34.527924987103916)	(90, 34.47167642413336)	(92, 34.48359920803041)	(94, 34.45519844565628)	(96, 34.37924214788698)	(98, 34.350501989239135)	(100, 34.37399695518412)
output72_forward_paired	(1, 32.4396230249694)	(2, 32.58389537714045)	(3, 32.676494359081005)	(4, 36.16924647531182)	(5, 36.19405609278847)	(6, 36.20789037055245)	(7, 36.18148507127491)	(8, 36.17621960161021)	(9, 37.93518215958439)	(10, 37.95341946107912)	(12, 37.941787586294296)	(14, 39.35806720502302)	(16, 39.40274925640425)	(18, 39.449567924001144)	(20, 39.48374838623063)	(22, 39.46780791752066)	(24, 39.481977478729576)	(26, 39.4771662123494)	(28, 39.46014931349424)	(30, 39.42164576932524)	(32, 39.40845632182694)	(34, 39.4084679886611)	(36, 39.38740801906465)	(38, 39.36179654113125)	(40, 39.31385604923423)	(42, 39.249658387049905)	(44, 39.168222473354334)	(46, 39.1083735369549)	(48, 39.022272489539745)	(50, 38.90224309712707)	(52, 38.74712889362329)	(54, 38.566626816327734)	(56, 38.34461723504617)	(58, 38.08994179139096)	(60, 37.73805885511134)	(62, 37.40034449169127)	(64, 37.074718310501815)	(66, 36.684831273925184)	(68, 36.28359793373298)	(70, 35.89904830010158)	(72, 35.53620025868953)	(74, 35.22185533766424)	(76, 34.96103300274885)	(78, 34.758203043618295)	(80, 34.606225241164736)	(82, 34.4880925440216)	(84, 34.41289213067063)	(86, 34.321885921033925)	(88, 34.25622852898906)	(90, 34.2283070609563)	(92, 34.19890291580914)	(94, 34.18692940219234)	(96, 34.19991649587977)	(98, 34.20611352888472)	(100, 34.27286913710493)
output72_reverse_paired	(1, 31.832738598821244)	(2, 32.06076217393976)	(3, 31.996279856866664)	(4, 35.54953263958167)	(5, 35.63370594106711)	(6, 35.91306056917693)	(7, 36.01839591770921)	(8, 36.13119267797125)	(9, 37.939667128987516)	(10, 37.94285224801517)	(12, 37.931262379469345)	(14, 39.376888167541765)	(16, 39.37790585448643)	(18, 39.38760989258989)	(20, 39.422915288508)	(22, 39.38513900140865)	(24, 39.417377373830874)	(26, 39.37719415702681)	(28, 39.34453645306962)	(30, 39.34724952466591)	(32, 39.31896497778015)	(34, 39.26183812241019)	(36, 39.264711299594)	(38, 39.28525861369516)	(40, 39.25633814915385)	(42, 39.21499374760241)	(44, 39.18471417840293)	(46, 39.08677330182)	(48, 39.06886661684152)	(50, 39.02464544155447)	(52, 38.95799072096813)	(54, 38.797448916375046)	(56, 38.67230877264967)	(58, 38.531819482894306)	(60, 38.2746326126358)	(62, 38.06576551670619)	(64, 37.79288915548105)	(66, 37.43951148351867)	(68, 37.101347381422684)	(70, 36.6862609627085)	(72, 36.324139278826465)	(74, 36.00217451352226)	(76, 35.64411573542718)	(78, 35.34768866078858)	(80, 35.09894426701497)	(82, 34.87600660292479)	(84, 34.71549216150257)	(86, 34.59077888107351)	(88, 34.507769523094254)	(90, 34.44260068638201)	(92, 34.40220039872084)	(94, 34.36840505798642)	(96, 34.344023018376724)	(98, 34.34776464011289)	(100, 34.3838135914805)
output73_forward_paired	(1, 32.478760088041085)	(2, 32.621087936275025)	(3, 32.713012262865526)	(4, 36.19194004821298)	(5, 36.219239174296064)	(6, 36.232248799815515)	(7, 36.207433732224196)	(8, 36.19954800719413)	(9, 37.96705903344476)	(10, 37.9880173913344)	(12, 37.968184030072905)	(14, 39.39262445363746)	(16, 39.43554187392129)	(18, 39.47571485782551)	(20, 39.51144460007447)	(22, 39.494039212177455)	(24, 39.51214315708451)	(26, 39.50654726210128)	(28, 39.49229315617042)	(30, 39.457258429039655)	(32, 39.44730447980743)	(34, 39.438141328536716)	(36, 39.419654786573396)	(38, 39.39421901910279)	(40, 39.34888478529555)	(42, 39.30434777107838)	(44, 39.232692199998255)	(46, 39.16997010015886)	(48, 39.08769354582758)	(50, 38.979590318906546)	(52, 38.83371056429617)	(54, 38.65469478262497)	(56, 38.43356098563267)	(58, 38.18721562486884)	(60, 37.83394362187592)	(62, 37.49947889889761)	(64, 37.16894381477028)	(66, 36.77825083907667)	(68, 36.37248953474426)	(70, 35.984990487914686)	(72, 35.61914478757467)	(74, 35.29966284534616)	(76, 35.03297779869136)	(78, 34.83112596794572)	(80, 34.667486333489904)	(82, 34.5434695293739)	(84, 34.459841855207294)	(86, 34.36833526281849)	(88, 34.32289360345038)	(90, 34.2905885852445)	(92, 34.26767149484411)	(94, 34.262178084195014)	(96, 34.26574815965276)	(98, 34.27533330845627)	(100, 34.32495198699956)
output73_reverse_paired	(1, 31.617975055025678)	(2, 31.79009013730217)	(3, 31.98821291181434)	(4, 35.56664587450269)	(5, 35.67514236872188)	(6, 35.92086025116899)	(7, 36.031765459855855)	(8, 36.15544109531443)	(9, 37.97563950889923)	(10, 37.977260650106146)	(12, 37.972135732390484)	(14, 39.42479220413237)	(16, 39.4258977446888)	(18, 39.445601162948535)	(20, 39.47306086647736)	(22, 39.43138767764049)	(24, 39.46621447428262)	(26, 39.429155153658954)	(28, 39.401115250526274)	(30, 39.400433229711645)	(32, 39.37415693074644)	(34, 39.31238309178548)	(36, 39.321581732863834)	(38, 39.34171935882439)	(40, 39.317177729580905)	(42, 39.2603315959854)	(44, 39.23683790985247)	(46, 39.15191363809858)	(48, 39.13827131261983)	(50, 39.094441605061036)	(52, 39.03389584835023)	(54, 38.86944485578526)	(56, 38.75109623141175)	(58, 38.60264188808193)	(60, 38.3590477757165)	(62, 38.14336423202376)	(64, 37.863872601469545)	(66, 37.51475916095206)	(68, 37.16905753046902)	(70, 36.743535295881614)	(72, 36.38048218685987)	(74, 36.06242449597521)	(76, 35.70097114078062)	(78, 35.38793636199804)	(80, 35.1388448090612)	(82, 34.89264224335676)	(84, 34.74467657119773)	(86, 34.614189195921526)	(88, 34.5260721193456)	(90, 34.46272025311845)	(92, 34.418754848076496)	(94, 34.38434675959917)	(96, 34.36766083236492)	(98, 34.363124669108366)	(100, 34.39904906229203)
