Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
output69_forward_paired	(25.0, 1.0)	(26.0, 5.0)	(27.0, 15.0)	(28.0, 110.0)	(29.0, 443.0)	(30.0, 1228.0)	(31.0, 2645.0)	(32.0, 4443.0)	(33.0, 6835.0)	(34.0, 9868.0)	(35.0, 15261.0)	(36.0, 30399.0)	(37.0, 61345.0)	(38.0, 63437.0)	(39.0, 11763.0)	(40.0, 10.0)						
output69_reverse_paired	(19.0, 1.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 1.0)	(23.0, 2.0)	(24.0, 1.0)	(25.0, 3.0)	(26.0, 24.0)	(27.0, 108.0)	(28.0, 260.0)	(29.0, 701.0)	(30.0, 1238.0)	(31.0, 2380.0)	(32.0, 3628.0)	(33.0, 5403.0)	(34.0, 8073.0)	(35.0, 11561.0)	(36.0, 19691.0)	(37.0, 46199.0)	(38.0, 65128.0)	(39.0, 41054.0)	(40.0, 2352.0)
output70_forward_paired	(24.0, 1.0)	(25.0, 2.0)	(26.0, 1.0)	(27.0, 19.0)	(28.0, 112.0)	(29.0, 439.0)	(30.0, 1212.0)	(31.0, 2473.0)	(32.0, 4328.0)	(33.0, 6837.0)	(34.0, 10109.0)	(35.0, 15221.0)	(36.0, 29642.0)	(37.0, 65782.0)	(38.0, 70483.0)	(39.0, 11236.0)	(40.0, 5.0)					
output70_reverse_paired	(21.0, 1.0)	(22.0, 2.0)	(23.0, 3.0)	(24.0, 5.0)	(25.0, 8.0)	(26.0, 27.0)	(27.0, 109.0)	(28.0, 290.0)	(29.0, 712.0)	(30.0, 1345.0)	(31.0, 2452.0)	(32.0, 3865.0)	(33.0, 5742.0)	(34.0, 8464.0)	(35.0, 12415.0)	(36.0, 20694.0)	(37.0, 49409.0)	(38.0, 69899.0)	(39.0, 40385.0)	(40.0, 2075.0)		
output71_forward_paired	(24.0, 2.0)	(25.0, 1.0)	(26.0, 1.0)	(27.0, 23.0)	(28.0, 110.0)	(29.0, 472.0)	(30.0, 1300.0)	(31.0, 2736.0)	(32.0, 4712.0)	(33.0, 7033.0)	(34.0, 10623.0)	(35.0, 16163.0)	(36.0, 31202.0)	(37.0, 67608.0)	(38.0, 70040.0)	(39.0, 13259.0)	(40.0, 11.0)					
output71_reverse_paired	(20.0, 1.0)	(21.0, 0.0)	(22.0, 2.0)	(23.0, 0.0)	(24.0, 7.0)	(25.0, 15.0)	(26.0, 39.0)	(27.0, 141.0)	(28.0, 335.0)	(29.0, 794.0)	(30.0, 1496.0)	(31.0, 2654.0)	(32.0, 4245.0)	(33.0, 6356.0)	(34.0, 8993.0)	(35.0, 13058.0)	(36.0, 21874.0)	(37.0, 49875.0)	(38.0, 70643.0)	(39.0, 42734.0)	(40.0, 2034.0)	
output72_forward_paired	(27.0, 20.0)	(28.0, 106.0)	(29.0, 389.0)	(30.0, 1124.0)	(31.0, 2427.0)	(32.0, 4150.0)	(33.0, 6414.0)	(34.0, 9454.0)	(35.0, 14209.0)	(36.0, 26630.0)	(37.0, 62662.0)	(38.0, 71018.0)	(39.0, 12972.0)	(40.0, 4.0)								
output72_reverse_paired	(20.0, 2.0)	(21.0, 0.0)	(22.0, 1.0)	(23.0, 3.0)	(24.0, 1.0)	(25.0, 11.0)	(26.0, 36.0)	(27.0, 111.0)	(28.0, 305.0)	(29.0, 728.0)	(30.0, 1390.0)	(31.0, 2469.0)	(32.0, 3850.0)	(33.0, 5707.0)	(34.0, 8136.0)	(35.0, 11597.0)	(36.0, 18782.0)	(37.0, 42007.0)	(38.0, 69513.0)	(39.0, 44125.0)	(40.0, 2805.0)	
output73_forward_paired	(25.0, 1.0)	(26.0, 3.0)	(27.0, 11.0)	(28.0, 94.0)	(29.0, 367.0)	(30.0, 987.0)	(31.0, 2131.0)	(32.0, 3545.0)	(33.0, 5599.0)	(34.0, 8086.0)	(35.0, 12562.0)	(36.0, 23180.0)	(37.0, 56242.0)	(38.0, 66766.0)	(39.0, 11239.0)	(40.0, 7.0)						
output73_reverse_paired	(20.0, 1.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 2.0)	(24.0, 6.0)	(25.0, 10.0)	(26.0, 16.0)	(27.0, 111.0)	(28.0, 248.0)	(29.0, 579.0)	(30.0, 1193.0)	(31.0, 2182.0)	(32.0, 3288.0)	(33.0, 4969.0)	(34.0, 7014.0)	(35.0, 10244.0)	(36.0, 17394.0)	(37.0, 39618.0)	(38.0, 65768.0)	(39.0, 36103.0)	(40.0, 2074.0)	
output74_forward_paired	(26.0, 2.0)	(27.0, 8.0)	(28.0, 73.0)	(29.0, 350.0)	(30.0, 901.0)	(31.0, 1974.0)	(32.0, 3537.0)	(33.0, 5428.0)	(34.0, 7969.0)	(35.0, 12462.0)	(36.0, 22481.0)	(37.0, 53186.0)	(38.0, 63086.0)	(39.0, 10935.0)	(40.0, 13.0)							
output74_reverse_paired	(20.0, 1.0)	(21.0, 1.0)	(22.0, 0.0)	(23.0, 2.0)	(24.0, 5.0)	(25.0, 8.0)	(26.0, 24.0)	(27.0, 119.0)	(28.0, 276.0)	(29.0, 628.0)	(30.0, 1292.0)	(31.0, 2318.0)	(32.0, 3674.0)	(33.0, 5143.0)	(34.0, 7240.0)	(35.0, 10473.0)	(36.0, 16749.0)	(37.0, 37604.0)	(38.0, 60229.0)	(39.0, 34746.0)	(40.0, 1873.0)	
