Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
output69_forward_paired	(1.0, 42.096194101533385)	(2.0, 9.119804604783344)	(3.0, 4.471619307480256)	(4.0, 2.7646199564972553)	(5.0, 2.001172173856302)	(6.0, 1.415438655966876)	(7.0, 1.12912485376275)	(8.0, 1.0041146020961598)	(9.0, 0.8211358869551427)	('>10', 9.569333135639306)	('>50', 2.837934342269769)	('>100', 6.902783815815669)	('>500', 4.177257885326745)	('>1k', 5.215145418316702)	('>5k', 0.0)	('>10k+', 6.47432125970034)
output69_reverse_paired	(1.0, 47.14732572983637)	(2.0, 8.663070191785122)	(3.0, 4.0747889561895825)	(4.0, 2.4758155687512042)	(5.0, 1.6633939902084172)	(6.0, 1.3060738248290844)	(7.0, 1.079509371919839)	(8.0, 0.8312331536566137)	(9.0, 0.7874840403062655)	('>10', 8.533264558985392)	('>50', 3.6765661131798772)	('>100', 7.911480285493572)	('>500', 4.258976184656386)	('>1k', 7.591018030202272)	('>5k', 0.0)	('>10k+', 0.0)
output70_forward_paired	(1.0, 40.56176243553287)	(2.0, 9.196614988395929)	(3.0, 4.6749224512303735)	(4.0, 3.063954049375748)	(5.0, 2.045588817111487)	(6.0, 1.6029638418459102)	(7.0, 1.326963327410432)	(8.0, 1.0489983965021032)	(9.0, 0.8795674757187578)	('>10', 10.139335624617239)	('>50', 2.920105086892091)	('>100', 8.264791205399764)	('>500', 2.669641986603667)	('>1k', 5.483177479843625)	('>5k', 0.0)	('>10k+', 6.121612833519998)
output70_reverse_paired	(1.0, 45.41312294841624)	(2.0, 9.25374275044738)	(3.0, 4.169726226118539)	(4.0, 2.739071505771666)	(5.0, 1.9570682102252077)	(6.0, 1.5013136294420215)	(7.0, 1.0454501152493185)	(8.0, 0.8960274179165358)	(9.0, 0.8256252636516652)	('>10', 8.593862967195918)	('>50', 3.444372062443446)	('>100', 8.046112873029083)	('>500', 3.480106489229403)	('>1k', 8.63439754086357)	('>5k', 0.0)	('>10k+', 0.0)
output71_forward_paired	(1.0, 39.24513968605097)	(2.0, 8.835298373199842)	(3.0, 4.498212866988357)	(4.0, 2.9070341965642164)	(5.0, 2.0822932010626145)	(6.0, 1.6685494906311868)	(7.0, 1.331036630702941)	(8.0, 1.0724352281663696)	(9.0, 0.8128830851792961)	('>10', 10.302223521640764)	('>50', 3.302872325044298)	('>100', 7.504669746038332)	('>500', 3.8813978891748264)	('>1k', 5.388796873445907)	('>5k', 0.0)	('>10k+', 7.167156886110086)
output71_reverse_paired	(1.0, 43.61359611748243)	(2.0, 9.126235006272049)	(3.0, 4.37976782945192)	(4.0, 2.551079616126743)	(5.0, 1.7381250951809615)	(6.0, 1.4808553207502277)	(7.0, 1.0817629243459093)	(8.0, 1.005429525253628)	(9.0, 0.8112456466570002)	('>10', 9.705588393624035)	('>50', 3.186778930709117)	('>100', 8.699643791769354)	('>500', 3.9310646192293492)	('>1k', 8.68882718314726)	('>5k', 0.0)	('>10k+', 0.0)
output72_forward_paired	(1.0, 44.227419058019194)	(2.0, 12.311793364424005)	(3.0, 6.227289359190128)	(4.0, 4.201360510248031)	(5.0, 2.927136571225919)	(6.0, 2.1483836097140276)	(7.0, 1.8540390060515357)	(8.0, 1.6045541874000602)	(9.0, 1.2366191806969926)	('>10', 14.64163758435458)	('>50', 3.346406743463188)	('>100', 3.9392304546396133)	('>500', 0.36566696203405696)	('>1k', 0.9684634085386841)	('>5k', 0.0)	('>10k+', 0.0)
output72_reverse_paired	(1.0, 53.28336749870067)	(2.0, 13.246543373826414)	(3.0, 6.163508459775056)	(4.0, 3.808337248366558)	(5.0, 2.6186800499031513)	(6.0, 1.9882179743754014)	(7.0, 1.6307666004910053)	(8.0, 1.2702941073488725)	(9.0, 1.0384467017339054)	('>10', 10.677263254439948)	('>50', 2.0891689232661212)	('>100', 2.1854058077728893)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
output73_forward_paired	(1.0, 46.936209032986234)	(2.0, 11.683881478832534)	(3.0, 5.912433802024298)	(4.0, 3.6856999686614276)	(5.0, 2.7856072019830322)	(6.0, 2.1703598171815535)	(7.0, 1.8767549789380684)	(8.0, 1.3497843690884632)	(9.0, 1.2584890222066234)	('>10', 13.774041006134752)	('>50', 2.8607801418480223)	('>100', 4.183407034332394)	('>500', 0.7095613036132845)	('>1k', 0.8129908421692925)	('>5k', 0.0)	('>10k+', 0.0)
output73_reverse_paired	(1.0, 55.18806458009398)	(2.0, 12.333743365099135)	(3.0, 5.747278088917633)	(4.0, 3.6287652575559832)	(5.0, 2.5344149209405766)	(6.0, 1.8558478681138155)	(7.0, 1.4486884801950817)	(8.0, 1.3200806323203058)	(9.0, 1.1490829567092375)	('>10', 10.241570147490538)	('>50', 2.3891759025823407)	('>100', 2.1632877999813798)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
