Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
output69_forward_paired	(4, 19.0)	(6, 131.0)	(8, 456.0)	(10, 326.0)	(12, 175.0)	(14, 121.0)	(16, 160.0)	(18, 186.0)	(20, 192.0)	(22, 262.0)	(24, 287.0)	(26, 430.0)	(28, 514.0)	(30, 947.0)	(32, 1048.0)	(34, 1153.0)	(36, 1162.0)	(38, 2053.0)	(40, 1731.0)	(42, 1626.0)	(44, 1872.0)	(46, 2899.0)	(48, 1170.0)	(50, 143.0)	(52, 178.0)	(54, 163.0)	(56, 184.0)	(58, 179.0)	(60, 243.0)	(62, 225.0)	(64, 239.0)	(66, 284.0)	(68, 248.0)	(70, 285.0)	(72, 297.0)	(74, 372.0)	(76, 378.0)	(78, 346.0)	(80, 412.0)	(82, 435.0)	(84, 514.0)	(86, 507.0)	(88, 502.0)	(90, 572.0)	(92, 646.0)	(94, 701.0)	(96, 816.0)	(98, 1966.0)	(100, 178053.0)	
output69_reverse_paired	(2, 54.0)	(4, 279.0)	(6, 508.0)	(8, 215.0)	(10, 159.0)	(12, 154.0)	(14, 203.0)	(16, 177.0)	(18, 274.0)	(20, 309.0)	(22, 353.0)	(24, 541.0)	(26, 786.0)	(28, 1268.0)	(30, 1029.0)	(32, 1373.0)	(34, 1710.0)	(36, 2196.0)	(38, 1915.0)	(40, 1981.0)	(42, 2832.0)	(44, 2998.0)	(46, 3164.0)	(48, 2883.0)	(50, 3660.0)	(52, 3492.0)	(54, 3734.0)	(56, 3654.0)	(58, 4457.0)	(60, 9711.0)	(62, 9749.0)	(64, 4642.0)	(66, 4200.0)	(68, 4679.0)	(70, 3529.0)	(72, 3248.0)	(74, 1795.0)	(76, 347.0)	(78, 336.0)	(80, 234.0)	(82, 224.0)	(84, 220.0)	(86, 166.0)	(88, 183.0)	(90, 153.0)	(92, 147.0)	(94, 191.0)	(96, 305.0)	(98, 550.0)	(100, 116841.0)
output70_forward_paired	(2, 1.0)	(4, 29.0)	(6, 157.0)	(8, 611.0)	(10, 377.0)	(12, 204.0)	(14, 187.0)	(16, 170.0)	(18, 226.0)	(20, 249.0)	(22, 286.0)	(24, 388.0)	(26, 541.0)	(28, 683.0)	(30, 1005.0)	(32, 1198.0)	(34, 1327.0)	(36, 1295.0)	(38, 1936.0)	(40, 1621.0)	(42, 1611.0)	(44, 1741.0)	(46, 1465.0)	(48, 2.0)	(50, 175.0)	(52, 169.0)	(54, 180.0)	(56, 182.0)	(58, 174.0)	(60, 304.0)	(62, 235.0)	(64, 238.0)	(66, 289.0)	(68, 258.0)	(70, 257.0)	(72, 244.0)	(74, 344.0)	(76, 266.0)	(78, 337.0)	(80, 310.0)	(82, 379.0)	(84, 435.0)	(86, 473.0)	(88, 418.0)	(90, 461.0)	(92, 470.0)	(94, 567.0)	(96, 686.0)	(98, 1798.0)	(100, 190943.0)
output70_reverse_paired	(2, 78.0)	(4, 372.0)	(6, 638.0)	(8, 246.0)	(10, 213.0)	(12, 187.0)	(14, 233.0)	(16, 238.0)	(18, 296.0)	(20, 341.0)	(22, 477.0)	(24, 678.0)	(26, 903.0)	(28, 1401.0)	(30, 1153.0)	(32, 1569.0)	(34, 1561.0)	(36, 2127.0)	(38, 1768.0)	(40, 1831.0)	(42, 2706.0)	(44, 2863.0)	(46, 3068.0)	(48, 2700.0)	(50, 3352.0)	(52, 3137.0)	(54, 3174.0)	(56, 3211.0)	(58, 3976.0)	(60, 9206.0)	(62, 9023.0)	(64, 4023.0)	(66, 3586.0)	(68, 4106.0)	(70, 2990.0)	(72, 2820.0)	(74, 1684.0)	(76, 383.0)	(78, 291.0)	(80, 279.0)	(82, 212.0)	(84, 210.0)	(86, 192.0)	(88, 164.0)	(90, 150.0)	(92, 183.0)	(94, 214.0)	(96, 371.0)	(98, 569.0)	(100, 132749.0)
output71_forward_paired	(4, 44.0)	(6, 259.0)	(8, 879.0)	(10, 511.0)	(12, 291.0)	(14, 226.0)	(16, 215.0)	(18, 287.0)	(20, 323.0)	(22, 339.0)	(24, 525.0)	(26, 642.0)	(28, 772.0)	(30, 1416.0)	(32, 1461.0)	(34, 1675.0)	(36, 1588.0)	(38, 2560.0)	(40, 1964.0)	(42, 1946.0)	(44, 2269.0)	(46, 3573.0)	(48, 1.0)	(50, 173.0)	(52, 159.0)	(54, 186.0)	(56, 202.0)	(58, 184.0)	(60, 278.0)	(62, 236.0)	(64, 259.0)	(66, 326.0)	(68, 286.0)	(70, 276.0)	(72, 334.0)	(74, 375.0)	(76, 370.0)	(78, 372.0)	(80, 379.0)	(82, 420.0)	(84, 479.0)	(86, 462.0)	(88, 494.0)	(90, 517.0)	(92, 499.0)	(94, 601.0)	(96, 713.0)	(98, 1879.0)	(100, 191071.0)	
output71_reverse_paired	(2, 114.0)	(4, 601.0)	(6, 875.0)	(8, 321.0)	(10, 290.0)	(12, 227.0)	(14, 290.0)	(16, 297.0)	(18, 372.0)	(20, 461.0)	(22, 617.0)	(24, 796.0)	(26, 1146.0)	(28, 1764.0)	(30, 1438.0)	(32, 1957.0)	(34, 2071.0)	(36, 2683.0)	(38, 2151.0)	(40, 2271.0)	(42, 3258.0)	(44, 3608.0)	(46, 3609.0)	(48, 3070.0)	(50, 3989.0)	(52, 3576.0)	(54, 3670.0)	(56, 3609.0)	(58, 4580.0)	(60, 11134.0)	(62, 10450.0)	(64, 4431.0)	(66, 3848.0)	(68, 4511.0)	(70, 3199.0)	(72, 2977.0)	(74, 1676.0)	(76, 383.0)	(78, 335.0)	(80, 281.0)	(82, 243.0)	(84, 240.0)	(86, 150.0)	(88, 175.0)	(90, 166.0)	(92, 149.0)	(94, 206.0)	(96, 338.0)	(98, 577.0)	(100, 126116.0)
output72_forward_paired	(4, 30.0)	(6, 148.0)	(8, 531.0)	(10, 300.0)	(12, 182.0)	(14, 172.0)	(16, 166.0)	(18, 236.0)	(20, 254.0)	(22, 330.0)	(24, 483.0)	(26, 696.0)	(28, 871.0)	(30, 1256.0)	(32, 1308.0)	(34, 1590.0)	(36, 1524.0)	(38, 2238.0)	(40, 2124.0)	(42, 2196.0)	(44, 2254.0)	(46, 1490.0)	(48, 0.0)	(50, 173.0)	(52, 143.0)	(54, 149.0)	(56, 154.0)	(58, 173.0)	(60, 274.0)	(62, 239.0)	(64, 244.0)	(66, 281.0)	(68, 255.0)	(70, 268.0)	(72, 230.0)	(74, 330.0)	(76, 307.0)	(78, 334.0)	(80, 349.0)	(82, 383.0)	(84, 390.0)	(86, 382.0)	(88, 405.0)	(90, 478.0)	(92, 487.0)	(94, 589.0)	(96, 662.0)	(98, 1529.0)	(100, 181992.0)	
output72_reverse_paired	(2, 72.0)	(4, 360.0)	(6, 495.0)	(8, 216.0)	(10, 212.0)	(12, 152.0)	(14, 237.0)	(16, 240.0)	(18, 307.0)	(20, 409.0)	(22, 630.0)	(24, 876.0)	(26, 1124.0)	(28, 1458.0)	(30, 1447.0)	(32, 1838.0)	(34, 1898.0)	(36, 2455.0)	(38, 2436.0)	(40, 2349.0)	(42, 2899.0)	(44, 3189.0)	(46, 3199.0)	(48, 2923.0)	(50, 3780.0)	(52, 3867.0)	(54, 3834.0)	(56, 3964.0)	(58, 3939.0)	(60, 5144.0)	(62, 5178.0)	(64, 4247.0)	(66, 4133.0)	(68, 4335.0)	(70, 4154.0)	(72, 4031.0)	(74, 2223.0)	(76, 392.0)	(78, 334.0)	(80, 330.0)	(82, 249.0)	(84, 247.0)	(86, 180.0)	(88, 222.0)	(90, 214.0)	(92, 197.0)	(94, 228.0)	(96, 339.0)	(98, 540.0)	(100, 123857.0)
output73_forward_paired	(4, 16.0)	(6, 93.0)	(8, 335.0)	(10, 172.0)	(12, 116.0)	(14, 113.0)	(16, 105.0)	(18, 168.0)	(20, 151.0)	(22, 196.0)	(24, 314.0)	(26, 448.0)	(28, 622.0)	(30, 869.0)	(32, 871.0)	(34, 1104.0)	(36, 1143.0)	(38, 1663.0)	(40, 1516.0)	(42, 1591.0)	(44, 1658.0)	(46, 1112.0)	(48, 0.0)	(50, 144.0)	(52, 157.0)	(54, 157.0)	(56, 181.0)	(58, 174.0)	(60, 241.0)	(62, 208.0)	(64, 229.0)	(66, 260.0)	(68, 212.0)	(70, 199.0)	(72, 214.0)	(74, 252.0)	(76, 255.0)	(78, 259.0)	(80, 258.0)	(82, 262.0)	(84, 279.0)	(86, 299.0)	(88, 296.0)	(90, 330.0)	(92, 360.0)	(94, 397.0)	(96, 476.0)	(98, 1120.0)	(100, 169225.0)	
output73_reverse_paired	(2, 43.0)	(4, 228.0)	(6, 284.0)	(8, 140.0)	(10, 130.0)	(12, 108.0)	(14, 155.0)	(16, 156.0)	(18, 195.0)	(20, 248.0)	(22, 433.0)	(24, 562.0)	(26, 832.0)	(28, 942.0)	(30, 1010.0)	(32, 1251.0)	(34, 1410.0)	(36, 1748.0)	(38, 1758.0)	(40, 1704.0)	(42, 2056.0)	(44, 2454.0)	(46, 2421.0)	(48, 2330.0)	(50, 2830.0)	(52, 2846.0)	(54, 2971.0)	(56, 2975.0)	(58, 3088.0)	(60, 4120.0)	(62, 3884.0)	(64, 3083.0)	(66, 3162.0)	(68, 3312.0)	(70, 3092.0)	(72, 3117.0)	(74, 1808.0)	(76, 297.0)	(78, 259.0)	(80, 296.0)	(82, 214.0)	(84, 245.0)	(86, 179.0)	(88, 209.0)	(90, 195.0)	(92, 176.0)	(94, 269.0)	(96, 324.0)	(98, 552.0)	(100, 124719.0)
