Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
output69_forward_paired	output69_forward_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	207808.0	0.0	4-100	44.0	50.45485925634825	93.81952571604558	100	pass	pass	pass	pass	fail	fail	pass	warn	warn	fail	fail
output69_reverse_paired	output69_reverse_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	207808.0	0.0	2-100	43.0	54.9196982133483	80.74417731752386	100	pass	pass	pass	pass	fail	fail	pass	warn	warn	fail	pass
output70_forward_paired	output70_forward_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	217902.0	0.0	2-100	44.0	49.215044871350614	94.4400097291443	100	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
output70_reverse_paired	output70_reverse_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	217902.0	0.0	2-100	42.0	53.676877137864366	82.5423401345559	100	pass	pass	pass	pass	fail	fail	pass	warn	warn	fail	pass
output71_forward_paired	output71_forward_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	225296.0	0.0	4-100	44.0	47.64547901598329	92.74308465307861	100	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
output71_reverse_paired	output71_reverse_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	225296.0	0.0	2-100	43.0	51.86192264076228	79.84250053263263	100	pass	pass	pass	pass	fail	fail	pass	warn	warn	fail	pass
output72_forward_paired	output72_forward_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	211579.0	0.0	4-100	42.0	55.91838596237398	93.39965450257351	100	pass	pass	pass	pass	warn	warn	pass	warn	warn	warn	fail
output72_reverse_paired	output72_reverse_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	211579.0	0.0	2-100	41.0	64.91408017089958	81.21570429957605	100	pass	pass	pass	pass	fail	fail	pass	warn	warn	warn	pass
output73_forward_paired	output73_forward_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	190820.0	0.0	4-100	42.0	57.98293269507876	94.85415574887328	100	pass	pass	warn	pass	warn	warn	pass	warn	warn	warn	fail
output73_reverse_paired	output73_reverse_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	190820.0	0.0	2-100	40.0	66.12817029415487	84.70649827062152	100	pass	pass	pass	pass	fail	fail	pass	warn	warn	warn	pass
output74_forward_paired	output74_forward_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	182405.0	0.0	4-100	42.0	61.01593270349092	93.99651599462734	100	pass	pass	warn	pass	warn	warn	pass	warn	warn	warn	fail
output74_reverse_paired	output74_reverse_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	182405.0	0.0	2-100	40.0	69.89595310699114	82.64147638496752	100	pass	pass	pass	pass	fail	fail	pass	warn	warn	warn	pass
