Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
output69_forward_paired	49.54514074365175	44.0	93.81952571604558	100	36.36363636363637	0.207808
output69_reverse_paired	45.0803017866517	43.0	80.74417731752386	100	27.27272727272727	0.207808
output70_forward_paired	50.784955128649386	44.0	94.4400097291443	100	45.45454545454545	0.21790199999999998
output70_reverse_paired	46.323122862135634	42.0	82.5423401345559	100	27.27272727272727	0.21790199999999998
output71_forward_paired	52.35452098401671	44.0	92.74308465307861	100	45.45454545454545	0.225296
output71_reverse_paired	48.13807735923772	43.0	79.84250053263263	100	27.27272727272727	0.225296
output72_forward_paired	44.08161403762602	42.0	93.39965450257351	100	9.090909090909092	0.211579
output72_reverse_paired	35.08591982910042	41.0	81.21570429957605	100	18.181818181818183	0.211579
output73_forward_paired	42.01706730492124	42.0	94.85415574887328	100	9.090909090909092	0.19082
output73_reverse_paired	33.87182970584513	40.0	84.70649827062152	100	18.181818181818183	0.19082
output74_forward_paired	38.98406729650908	42.0	93.99651599462734	100	9.090909090909092	0.18240499999999998
output74_reverse_paired	30.104046893008857	40.0	82.64147638496752	100	18.181818181818183	0.18240499999999998
