Module	Section	Sample Name	Source
FastQC	all_sections	output69_forward_paired	/mnt/c/Users/Admin/Documents/bioinfo/NGS_Project/check_quality/transcriptome/FastQC-MultiQC/trimmed/FASTQC_TruSeq2-PE/output69_forward_paired_fastqc.zip
FastQC	all_sections	output69_reverse_paired	/mnt/c/Users/Admin/Documents/bioinfo/NGS_Project/check_quality/transcriptome/FastQC-MultiQC/trimmed/FASTQC_TruSeq2-PE/output69_reverse_paired_fastqc.zip
FastQC	all_sections	output70_forward_paired	/mnt/c/Users/Admin/Documents/bioinfo/NGS_Project/check_quality/transcriptome/FastQC-MultiQC/trimmed/FASTQC_TruSeq2-PE/output70_forward_paired_fastqc.zip
FastQC	all_sections	output70_reverse_paired	/mnt/c/Users/Admin/Documents/bioinfo/NGS_Project/check_quality/transcriptome/FastQC-MultiQC/trimmed/FASTQC_TruSeq2-PE/output70_reverse_paired_fastqc.zip
FastQC	all_sections	output71_forward_paired	/mnt/c/Users/Admin/Documents/bioinfo/NGS_Project/check_quality/transcriptome/FastQC-MultiQC/trimmed/FASTQC_TruSeq2-PE/output71_forward_paired_fastqc.zip
FastQC	all_sections	output71_reverse_paired	/mnt/c/Users/Admin/Documents/bioinfo/NGS_Project/check_quality/transcriptome/FastQC-MultiQC/trimmed/FASTQC_TruSeq2-PE/output71_reverse_paired_fastqc.zip
FastQC	all_sections	output72_forward_paired	/mnt/c/Users/Admin/Documents/bioinfo/NGS_Project/check_quality/transcriptome/FastQC-MultiQC/trimmed/FASTQC_TruSeq2-PE/output72_forward_paired_fastqc.zip
FastQC	all_sections	output72_reverse_paired	/mnt/c/Users/Admin/Documents/bioinfo/NGS_Project/check_quality/transcriptome/FastQC-MultiQC/trimmed/FASTQC_TruSeq2-PE/output72_reverse_paired_fastqc.zip
FastQC	all_sections	output73_forward_paired	/mnt/c/Users/Admin/Documents/bioinfo/NGS_Project/check_quality/transcriptome/FastQC-MultiQC/trimmed/FASTQC_TruSeq2-PE/output73_forward_paired_fastqc.zip
FastQC	all_sections	output73_reverse_paired	/mnt/c/Users/Admin/Documents/bioinfo/NGS_Project/check_quality/transcriptome/FastQC-MultiQC/trimmed/FASTQC_TruSeq2-PE/output73_reverse_paired_fastqc.zip
FastQC	all_sections	output74_forward_paired	/mnt/c/Users/Admin/Documents/bioinfo/NGS_Project/check_quality/transcriptome/FastQC-MultiQC/trimmed/FASTQC_TruSeq2-PE/output74_forward_paired_fastqc.zip
FastQC	all_sections	output74_reverse_paired	/mnt/c/Users/Admin/Documents/bioinfo/NGS_Project/check_quality/transcriptome/FastQC-MultiQC/trimmed/FASTQC_TruSeq2-PE/output74_reverse_paired_fastqc.zip
