Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
output69_forward_paired	(1, 32.46846276755628)	(2, 32.612377592507634)	(3, 32.668021926736856)	(4, 36.17572324755358)	(5, 36.20924841772152)	(6, 36.22784459566387)	(7, 36.22536147581852)	(8, 36.22867477699243)	(9, 37.97202608998512)	(10, 37.972257717583645)	(12, 37.97823633784664)	(14, 39.42208736562202)	(16, 39.45476975021671)	(18, 39.50981412265195)	(20, 39.56517931095141)	(22, 39.51050416950822)	(24, 39.515109837252986)	(26, 39.44308462442642)	(28, 39.44335405553103)	(30, 39.433039645709215)	(32, 39.44224057438119)	(34, 39.396403615659594)	(36, 39.428163438153945)	(38, 39.431875270450504)	(40, 39.40160874854983)	(42, 39.36608198752372)	(44, 39.29939467799605)	(46, 39.18652376095477)	(48, 39.13226566400153)	(50, 39.02636311143119)	(52, 38.93920734152944)	(54, 38.81991475401305)	(56, 38.63676805346239)	(58, 38.463803332785794)	(60, 38.17947059044546)	(62, 37.836519939773495)	(64, 37.512160690661815)	(66, 37.06222895353531)	(68, 36.50261628186368)	(70, 36.139970980501566)	(72, 35.654747609564204)	(74, 35.33502021012744)	(76, 35.047185525906755)	(78, 34.86454750678556)	(80, 34.71233161659731)	(82, 34.584999787310124)	(84, 34.48857128891812)	(86, 34.43748456614273)	(88, 34.36340970139688)	(90, 34.31888729652029)	(92, 34.27982911029632)	(94, 34.27669311585016)	(96, 34.30967277433791)	(98, 34.34718516308007)	(100, 34.36476622608009)
output69_reverse_paired	(1, 31.838453750138424)	(2, 32.07558810966446)	(3, 32.19913779465274)	(4, 35.73726219198671)	(5, 35.684363751433885)	(6, 35.97790120819388)	(7, 36.072088753837875)	(8, 36.16190355591082)	(9, 37.99026459716803)	(10, 37.980955506317734)	(12, 37.986264785039126)	(14, 39.42667175052213)	(16, 39.463601927181934)	(18, 39.48011973816644)	(20, 39.46198675747161)	(22, 39.39719396658303)	(24, 39.49308188671196)	(26, 39.46239233138975)	(28, 39.44238930466032)	(30, 39.477438261849855)	(32, 39.45720752054398)	(34, 39.37760543542724)	(36, 39.37556108489617)	(38, 39.43315048996728)	(40, 39.382920933002694)	(42, 39.30571210651172)	(44, 39.239357041844315)	(46, 38.9352015329964)	(48, 38.89240107253868)	(50, 38.86139499711531)	(52, 38.75910087823708)	(54, 38.577508341065545)	(56, 38.31352941452049)	(58, 38.10293469892915)	(60, 37.783224854589605)	(62, 37.56764459777107)	(64, 37.311015126779)	(66, 37.101209191953615)	(68, 36.7795928691841)	(70, 36.29062638134119)	(72, 36.121400216364215)	(74, 35.89478634145763)	(76, 35.539886324469904)	(78, 35.29106691538382)	(80, 35.11909506931028)	(82, 34.941055084607214)	(84, 34.79698214159503)	(86, 34.63820405262465)	(88, 34.542246500005426)	(90, 34.490270178931226)	(92, 34.50108863894436)	(94, 34.470920206651165)	(96, 34.39672573139092)	(98, 34.36441525978887)	(100, 34.39460763274906)
output70_forward_paired	(1, 32.50293368603228)	(2, 32.64626922373401)	(3, 32.708468471003734)	(4, 36.189954196539766)	(5, 36.224022684416425)	(6, 36.24539786641146)	(7, 36.23668818142786)	(8, 36.237661121709806)	(9, 38.001668591061424)	(10, 37.995736840525936)	(12, 37.993475660429276)	(14, 39.45585957169517)	(16, 39.49401124651186)	(18, 39.53598097282996)	(20, 39.59662639736351)	(22, 39.54797496313563)	(24, 39.54239966222261)	(26, 39.48193679172957)	(28, 39.49400208962874)	(30, 39.48155436080423)	(32, 39.480109214846)	(34, 39.439407982877995)	(36, 39.45067114824313)	(38, 39.45752816546603)	(40, 39.431101489115875)	(42, 39.393918538905226)	(44, 39.338542475036675)	(46, 39.21773414571644)	(48, 39.177305503871814)	(50, 39.072951314251775)	(52, 38.987943893274036)	(54, 38.862798764871094)	(56, 38.690291404244974)	(58, 38.49506503730807)	(60, 38.20266108191322)	(62, 37.86832978596097)	(64, 37.54469402543678)	(66, 37.12397835983927)	(68, 36.572751903081)	(70, 36.20198138999882)	(72, 35.72421027919388)	(74, 35.38970979524094)	(76, 35.10502048666346)	(78, 34.90460419673943)	(80, 34.750339620229894)	(82, 34.62692015577844)	(84, 34.528144889481055)	(86, 34.46615489117757)	(88, 34.3875367294896)	(90, 34.34386901201735)	(92, 34.31667299597511)	(94, 34.31130688377401)	(96, 34.335267163006534)	(98, 34.37585976882457)	(100, 34.40460876056614)
output70_reverse_paired	(1, 31.900409449705226)	(2, 32.11488511488511)	(3, 32.16560079360054)	(4, 35.744596724264085)	(5, 35.77268281699654)	(6, 35.976235045742435)	(7, 36.07182021016773)	(8, 36.180576086497446)	(9, 37.99396712540917)	(10, 38.00014472335735)	(12, 38.00249954228278)	(14, 39.45516385058974)	(16, 39.48222162570673)	(18, 39.48849424508876)	(20, 39.49339134238046)	(22, 39.42860856510906)	(24, 39.5090648445794)	(26, 39.491248489526456)	(28, 39.45789196677202)	(30, 39.50526433661077)	(32, 39.475718492174366)	(34, 39.4101493118415)	(36, 39.40547498038518)	(38, 39.45378378460819)	(40, 39.4092681743609)	(42, 39.33444613625792)	(44, 39.271739593356784)	(46, 38.990625769775406)	(48, 38.94600763793396)	(50, 38.926040856029445)	(52, 38.82611692841466)	(54, 38.63755608267034)	(56, 38.38587159210961)	(58, 38.18656601235003)	(60, 37.89664368266415)	(62, 37.66394713969436)	(64, 37.409612636503084)	(66, 37.18825605803276)	(68, 36.858111346140944)	(70, 36.36367619153619)	(72, 36.18287023428037)	(74, 35.94303543230241)	(76, 35.582525603729366)	(78, 35.333064815137504)	(80, 35.16296684064446)	(82, 34.96659877558849)	(84, 34.801656326281304)	(86, 34.65061491925575)	(88, 34.55678230135795)	(90, 34.497103558377816)	(92, 34.5053461421557)	(94, 34.475571595323075)	(96, 34.411344348348706)	(98, 34.38385374555866)	(100, 34.40719480970687)
output71_forward_paired	(1, 32.479067069095926)	(2, 32.63098411579388)	(3, 32.692377175589336)	(4, 36.17879700352526)	(5, 36.21252809566482)	(6, 36.23877603497043)	(7, 36.22732083014874)	(8, 36.23589988606711)	(9, 37.991023906842706)	(10, 37.988148755667936)	(12, 37.98213487973187)	(14, 39.43479732137434)	(16, 39.46577273969716)	(18, 39.52445084104609)	(20, 39.592816603589554)	(22, 39.52670528853862)	(24, 39.53177367413842)	(26, 39.455784286367276)	(28, 39.46657337998385)	(30, 39.457099193891594)	(32, 39.461016422348415)	(34, 39.42588099941994)	(36, 39.440698871292426)	(38, 39.4472079900016)	(40, 39.418774271265654)	(42, 39.39271366324988)	(44, 39.30729705573595)	(46, 39.20749814611252)	(48, 39.16975451889368)	(50, 39.05603009811702)	(52, 38.968945979678395)	(54, 38.84606357889942)	(56, 38.669062991761606)	(58, 38.49382834764984)	(60, 38.2130003301368)	(62, 37.86260877750049)	(64, 37.536224165330395)	(66, 37.098118886033255)	(68, 36.548812698753295)	(70, 36.18162061973227)	(72, 35.68639821244207)	(74, 35.36718576521024)	(76, 35.07908486005482)	(78, 34.8899551313682)	(80, 34.739662613105764)	(82, 34.60619010449689)	(84, 34.50600847055803)	(86, 34.45311939766354)	(88, 34.38176722875538)	(90, 34.343208273027116)	(92, 34.30455946266689)	(94, 34.298925628385)	(96, 34.32887097753668)	(98, 34.38210379173948)	(100, 34.4)
output71_reverse_paired	(1, 31.80115000771078)	(2, 31.925198093601523)	(3, 32.01771341284296)	(4, 35.69207323790568)	(5, 35.74922871246401)	(6, 35.98569465772246)	(7, 36.05576866549089)	(8, 36.16797989004204)	(9, 37.980476043458445)	(10, 37.96516696846079)	(12, 37.977690987249986)	(14, 39.40628009476703)	(16, 39.438684953387394)	(18, 39.44293265083715)	(20, 39.44642480691435)	(22, 39.368143272884616)	(24, 39.4562802201619)	(26, 39.445524408194956)	(28, 39.41249931371436)	(30, 39.46637636948775)	(32, 39.43332815547245)	(34, 39.36986218596996)	(36, 39.36132890656156)	(38, 39.4103920208781)	(40, 39.36684327574334)	(42, 39.28900860829998)	(44, 39.22048641083062)	(46, 38.926175392786476)	(48, 38.866538670402434)	(50, 38.835461747321176)	(52, 38.739954765673104)	(54, 38.55899466052064)	(56, 38.30950885787966)	(58, 38.111658660041904)	(60, 37.801528024403225)	(62, 37.57937208460535)	(64, 37.33253632149096)	(66, 37.1120082177204)	(68, 36.80068244604895)	(70, 36.29792202542915)	(72, 36.131680199391646)	(74, 35.89745462232868)	(76, 35.54486519835196)	(78, 35.29175623955703)	(80, 35.12002430552498)	(82, 34.93101333822601)	(84, 34.77620976039737)	(86, 34.62668990329436)	(88, 34.53128104365517)	(90, 34.47287305657963)	(92, 34.48509220694477)	(94, 34.45710362488175)	(96, 34.380986789292564)	(98, 34.35185720613012)	(100, 34.375608204802035)
output72_forward_paired	(1, 32.541195936182795)	(2, 32.67520158120522)	(3, 32.763437076523395)	(4, 36.227889042788156)	(5, 36.24319407008086)	(6, 36.25950499868948)	(7, 36.23711687689127)	(8, 36.231978725794974)	(9, 37.993497347996765)	(10, 38.017052729450086)	(12, 37.99952460591801)	(14, 39.44573650356786)	(16, 39.49014050417557)	(18, 39.532286514288835)	(20, 39.56910294622611)	(22, 39.54752915188705)	(24, 39.56493363692074)	(26, 39.55719796605939)	(28, 39.54209822862579)	(30, 39.508418670426366)	(32, 39.49361038369317)	(34, 39.500928656935194)	(36, 39.48158538898956)	(38, 39.445682678432775)	(40, 39.39970872991114)	(42, 39.3427762623196)	(44, 39.2841200891617)	(46, 39.22828074689916)	(48, 39.16095395772294)	(50, 39.04837890380436)	(52, 38.89979189447229)	(54, 38.73780854553948)	(56, 38.528667780741564)	(58, 38.28430852300979)	(60, 37.93419278066422)	(62, 37.61404742625275)	(64, 37.31077925561268)	(66, 36.93710529871328)	(68, 36.550016002146606)	(70, 36.176871570347856)	(72, 35.80171412996776)	(74, 35.472925662552484)	(76, 35.19604866670065)	(78, 34.974919523003834)	(80, 34.797525346048474)	(82, 34.64515679749029)	(84, 34.546229940695994)	(86, 34.46452305801017)	(88, 34.426666015507664)	(90, 34.39776853023194)	(92, 34.36787126944103)	(94, 34.35698404258916)	(96, 34.361502039686066)	(98, 34.38429869828214)	(100, 34.431739130434785)
output72_reverse_paired	(1, 31.83987302442932)	(2, 32.08532668508411)	(3, 31.992251137997126)	(4, 35.53704535585403)	(5, 35.62730710194302)	(6, 35.920590702132756)	(7, 36.031509096219956)	(8, 36.152966292134835)	(9, 37.96712788511241)	(10, 37.964323582567886)	(12, 37.95639674587689)	(14, 39.41558024306707)	(16, 39.40610625292133)	(18, 39.42296368194972)	(20, 39.446855065191556)	(22, 39.41094809870899)	(24, 39.44110247951788)	(26, 39.41110558241385)	(28, 39.371904304470405)	(30, 39.37145371794154)	(32, 39.34401413915755)	(34, 39.28831062961656)	(36, 39.28516873842709)	(38, 39.307597116751836)	(40, 39.27850996787765)	(42, 39.22699393815347)	(44, 39.20838483547646)	(46, 39.13487883280466)	(48, 39.117076659257755)	(50, 39.07499262559248)	(52, 39.008805472046284)	(54, 38.858688052442886)	(56, 38.73911510596553)	(58, 38.60448588465915)	(60, 38.35455704880654)	(62, 38.13007656156546)	(64, 37.83447537049348)	(66, 37.475962074915074)	(68, 37.13446584316782)	(70, 36.70580026338574)	(72, 36.34170642974415)	(74, 36.02540450262634)	(76, 35.66731299214331)	(78, 35.36493745496621)	(80, 35.1143654555666)	(82, 34.88760700814274)	(84, 34.72413400888979)	(86, 34.59816467166663)	(88, 34.51277624147225)	(90, 34.446011750578776)	(92, 34.405213642911725)	(94, 34.37141832912466)	(96, 34.346574268042644)	(98, 34.35043823259956)	(100, 34.38567039808052)
output73_forward_paired	(1, 32.56160837898032)	(2, 32.70277794498284)	(3, 32.78716808499432)	(4, 36.2458220780882)	(5, 36.264795069940334)	(6, 36.278760695660026)	(7, 36.25569002890173)	(8, 36.246552658517494)	(9, 38.014497335380725)	(10, 38.04001319539459)	(12, 38.014427347596325)	(14, 39.46198816180872)	(16, 39.51541415567617)	(18, 39.544873321616606)	(20, 39.58144343031624)	(22, 39.564664446007896)	(24, 39.57971952369259)	(26, 39.576155597787555)	(28, 39.56455266670781)	(30, 39.53557552711128)	(32, 39.52318619141787)	(34, 39.523066609514316)	(36, 39.49581635898764)	(38, 39.45798702546442)	(40, 39.41505671358992)	(42, 39.37710857140057)	(44, 39.32932070237432)	(46, 39.26856667276898)	(48, 39.203590796859984)	(50, 39.09532052185058)	(52, 38.95377912760247)	(54, 38.79972963489578)	(56, 38.58452002773407)	(58, 38.35117210572551)	(60, 37.99768845554755)	(62, 37.68264659734666)	(64, 37.363900025903106)	(66, 36.981975613402234)	(68, 36.594829798170736)	(70, 36.21219150207837)	(72, 35.838041899917926)	(74, 35.507513219977525)	(76, 35.22674448951135)	(78, 35.00782261818591)	(80, 34.825867188320075)	(82, 34.67607674917562)	(84, 34.562889809002115)	(86, 34.469616243955116)	(88, 34.433878954044566)	(90, 34.401830230623546)	(92, 34.375758820842506)	(94, 34.36044815757094)	(96, 34.35674714377632)	(98, 34.387032921800454)	(100, 34.43148795291521)
output73_reverse_paired	(1, 31.58378227893818)	(2, 31.752919400469512)	(3, 31.982137348291612)	(4, 35.56269046418709)	(5, 35.68072057971451)	(6, 35.92737917851929)	(7, 36.04770291425819)	(8, 36.17532252480092)	(9, 37.99719995483798)	(10, 37.99677815448803)	(12, 37.99454610477336)	(14, 39.45708201083873)	(16, 39.448720617897266)	(18, 39.478783093765315)	(20, 39.4956178696891)	(22, 39.450512181679116)	(24, 39.486663626565)	(26, 39.45307149426942)	(28, 39.42350126962503)	(30, 39.41852470839757)	(32, 39.39500713463789)	(34, 39.33195615620278)	(36, 39.34185321733676)	(38, 39.364607682078656)	(40, 39.32990000268933)	(42, 39.26300191697181)	(44, 39.2477914707447)	(46, 39.18223551085863)	(48, 39.16757125718483)	(50, 39.128692895237364)	(52, 39.06354193679539)	(54, 38.90917674333633)	(56, 38.80175610948338)	(58, 38.65867750549477)	(60, 38.42006421750632)	(62, 38.19046246374625)	(64, 37.89144032669356)	(66, 37.53567330905129)	(68, 37.18851185744015)	(70, 36.75726618810111)	(72, 36.39257397325531)	(74, 36.074859105366805)	(76, 35.71452525395925)	(78, 35.40027154077107)	(80, 35.150118586912775)	(82, 34.9017200103581)	(84, 34.75058631081811)	(86, 34.61947677727391)	(88, 34.529764220783505)	(90, 34.46470368746583)	(92, 34.421230695393206)	(94, 34.386482415938175)	(96, 34.369149543679285)	(98, 34.36429144499447)	(100, 34.39994050777419)
