Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
output69_forward_paired	(25.0, 1.0)	(26.0, 4.0)	(27.0, 9.0)	(28.0, 74.0)	(29.0, 273.0)	(30.0, 695.0)	(31.0, 1427.0)	(32.0, 2376.0)	(33.0, 3684.0)	(34.0, 5144.0)	(35.0, 7841.0)	(36.0, 13830.0)	(37.0, 34971.0)	(38.0, 50391.0)	(39.0, 5647.0)	(40.0, 55.0)			
output69_reverse_paired	(25.0, 1.0)	(26.0, 18.0)	(27.0, 79.0)	(28.0, 186.0)	(29.0, 505.0)	(30.0, 885.0)	(31.0, 1661.0)	(32.0, 2524.0)	(33.0, 3638.0)	(34.0, 5236.0)	(35.0, 7498.0)	(36.0, 13573.0)	(37.0, 36235.0)	(38.0, 43369.0)	(39.0, 10897.0)	(40.0, 117.0)			
output70_forward_paired	(26.0, 1.0)	(27.0, 16.0)	(28.0, 66.0)	(29.0, 280.0)	(30.0, 751.0)	(31.0, 1470.0)	(32.0, 2504.0)	(33.0, 3881.0)	(34.0, 5713.0)	(35.0, 8718.0)	(36.0, 15676.0)	(37.0, 39738.0)	(38.0, 56890.0)	(39.0, 6396.0)	(40.0, 42.0)				
output70_reverse_paired	(24.0, 1.0)	(25.0, 0.0)	(26.0, 15.0)	(27.0, 79.0)	(28.0, 219.0)	(29.0, 527.0)	(30.0, 990.0)	(31.0, 1734.0)	(32.0, 2752.0)	(33.0, 4025.0)	(34.0, 5717.0)	(35.0, 8438.0)	(36.0, 14944.0)	(37.0, 40187.0)	(38.0, 50127.0)	(39.0, 12262.0)	(40.0, 125.0)		
output71_forward_paired	(25.0, 1.0)	(26.0, 0.0)	(27.0, 12.0)	(28.0, 74.0)	(29.0, 286.0)	(30.0, 722.0)	(31.0, 1475.0)	(32.0, 2553.0)	(33.0, 3690.0)	(34.0, 5615.0)	(35.0, 8329.0)	(36.0, 14767.0)	(37.0, 37892.0)	(38.0, 54666.0)	(39.0, 6030.0)	(40.0, 61.0)			
output71_reverse_paired	(22.0, 1.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 6.0)	(26.0, 16.0)	(27.0, 90.0)	(28.0, 230.0)	(29.0, 556.0)	(30.0, 1023.0)	(31.0, 1782.0)	(32.0, 2757.0)	(33.0, 4026.0)	(34.0, 5667.0)	(35.0, 8104.0)	(36.0, 14786.0)	(37.0, 38850.0)	(38.0, 46935.0)	(39.0, 11246.0)	(40.0, 98.0)
output72_forward_paired	(22.0, 1.0)	(23.0, 0.0)	(24.0, 1.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 15.0)	(28.0, 69.0)	(29.0, 246.0)	(30.0, 669.0)	(31.0, 1439.0)	(32.0, 2358.0)	(33.0, 3719.0)	(34.0, 5327.0)	(35.0, 8109.0)	(36.0, 15497.0)	(37.0, 39259.0)	(38.0, 49698.0)	(39.0, 7097.0)	(40.0, 65.0)
output72_reverse_paired	(25.0, 5.0)	(26.0, 21.0)	(27.0, 70.0)	(28.0, 209.0)	(29.0, 526.0)	(30.0, 1024.0)	(31.0, 1765.0)	(32.0, 2696.0)	(33.0, 3913.0)	(34.0, 5352.0)	(35.0, 7591.0)	(36.0, 13119.0)	(37.0, 32788.0)	(38.0, 52122.0)	(39.0, 12233.0)	(40.0, 135.0)			
output73_forward_paired	(26.0, 2.0)	(27.0, 5.0)	(28.0, 74.0)	(29.0, 259.0)	(30.0, 682.0)	(31.0, 1399.0)	(32.0, 2214.0)	(33.0, 3567.0)	(34.0, 5195.0)	(35.0, 8055.0)	(36.0, 15170.0)	(37.0, 38902.0)	(38.0, 50350.0)	(39.0, 6969.0)	(40.0, 61.0)				
output73_reverse_paired	(24.0, 1.0)	(25.0, 3.0)	(26.0, 11.0)	(27.0, 76.0)	(28.0, 189.0)	(29.0, 451.0)	(30.0, 955.0)	(31.0, 1713.0)	(32.0, 2505.0)	(33.0, 3661.0)	(34.0, 5134.0)	(35.0, 7437.0)	(36.0, 13183.0)	(37.0, 32926.0)	(38.0, 52711.0)	(39.0, 11838.0)	(40.0, 110.0)		
output74_forward_paired	(26.0, 3.0)	(27.0, 5.0)	(28.0, 54.0)	(29.0, 219.0)	(30.0, 546.0)	(31.0, 1149.0)	(32.0, 2048.0)	(33.0, 3165.0)	(34.0, 4715.0)	(35.0, 7417.0)	(36.0, 13818.0)	(37.0, 34740.0)	(38.0, 45646.0)	(39.0, 6542.0)	(40.0, 54.0)				
output74_reverse_paired	(25.0, 2.0)	(26.0, 15.0)	(27.0, 83.0)	(28.0, 198.0)	(29.0, 445.0)	(30.0, 956.0)	(31.0, 1649.0)	(32.0, 2590.0)	(33.0, 3538.0)	(34.0, 4792.0)	(35.0, 7145.0)	(36.0, 12000.0)	(37.0, 30225.0)	(38.0, 46111.0)	(39.0, 10299.0)	(40.0, 73.0)			
