Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
output69_forward_paired	(1.0, 49.13068927876477)	(2.0, 9.624907057315973)	(3.0, 4.622613152774043)	(4.0, 2.5691730869627123)	(5.0, 2.005188970274161)	(6.0, 1.2861685466137223)	(7.0, 1.0077359953172706)	(8.0, 0.8036575912420306)	(9.0, 0.7332584518517347)	('>10', 8.013636867000997)	('>50', 2.7582224612804733)	('>100', 6.666561199791175)	('>500', 2.7028523516476564)	('>1k', 8.075334989163279)	('>5k', 0.0)	('>10k+', 0.0)
output69_reverse_paired	(1.0, 52.2701744949455)	(2.0, 8.83074148486814)	(3.0, 3.974782870070083)	(4.0, 2.3128885795193876)	(5.0, 1.4396228504532438)	(6.0, 1.181756339877553)	(7.0, 0.8084036006391293)	(8.0, 0.6328012529464808)	(9.0, 0.548164085364889)	('>10', 5.2490863931910585)	('>50', 2.456059862998529)	('>100', 7.808767461359574)	('>500', 3.3601746531458128)	('>1k', 9.126576070620619)	('>5k', 0.0)	('>10k+', 0.0)
output70_forward_paired	(1.0, 48.020289569585344)	(2.0, 9.441262962389722)	(3.0, 4.698118782625825)	(4.0, 2.9266508139747573)	(5.0, 2.015590043759058)	(6.0, 1.4309634027943887)	(7.0, 1.2459371614301191)	(8.0, 0.9399051652572779)	(9.0, 0.8547790237931082)	('>10', 8.612514246317064)	('>50', 2.6902674789998735)	('>100', 7.159038144953637)	('>500', 2.2512698569036598)	('>1k', 7.7134133472161635)	('>5k', 0.0)	('>10k+', 0.0)
output70_reverse_paired	(1.0, 52.007851303625955)	(2.0, 9.057140043055536)	(3.0, 3.940425771411687)	(4.0, 2.5495631129433947)	(5.0, 1.6321706462551533)	(6.0, 1.270560425490003)	(7.0, 0.8470402836600021)	(8.0, 0.6922654809978753)	(9.0, 0.6078428613639881)	('>10', 5.632395773240844)	('>50', 2.363833349748843)	('>100', 7.439743355236312)	('>500', 2.2386064639585768)	('>1k', 9.720561129011832)	('>5k', 0.0)	('>10k+', 0.0)
output71_forward_paired	(1.0, 47.71724203770204)	(2.0, 9.249998164100079)	(3.0, 4.485470688021855)	(4.0, 2.884565956540577)	(5.0, 1.9533975163945863)	(6.0, 1.4540327377673987)	(7.0, 1.1617574702767803)	(8.0, 0.9341058800202683)	(9.0, 0.6741424511467031)	('>10', 8.661775829275994)	('>50', 2.6973041645553817)	('>100', 7.100526536097464)	('>500', 2.8441761582692604)	('>1k', 8.18150440983161)	('>5k', 0.0)	('>10k+', 0.0)
output71_reverse_paired	(1.0, 50.982940817930135)	(2.0, 9.019409133969289)	(3.0, 4.093322464805799)	(4.0, 2.3646390987934467)	(5.0, 1.4944225360387153)	(6.0, 1.2337247471965807)	(7.0, 0.8841694021575496)	(8.0, 0.7519846078150588)	(9.0, 0.6278777731268314)	('>10', 6.116484178214477)	('>50', 1.7690731642836683)	('>100', 8.171223370271639)	('>500', 2.341139579799226)	('>1k', 10.149589125597586)	('>5k', 0.0)	('>10k+', 0.0)
output72_forward_paired	(1.0, 52.837110407355006)	(2.0, 11.03399740957857)	(3.0, 5.601599173460907)	(4.0, 3.6385688295936935)	(5.0, 2.5754478958440954)	(6.0, 1.9315859218830715)	(7.0, 1.4936100442467939)	(8.0, 1.4194910495698851)	(9.0, 0.9365945690991173)	('>10', 12.115086584461963)	('>50', 2.474376539466493)	('>100', 3.942531575440409)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
output72_reverse_paired	(1.0, 58.714971288248016)	(2.0, 11.060949771279265)	(3.0, 5.354535857871213)	(4.0, 3.3361034371747937)	(5.0, 2.358331648810727)	(6.0, 1.7069829077106216)	(7.0, 1.467406359260008)	(8.0, 1.1260097777178837)	(9.0, 0.9433326595242908)	('>10', 10.057722974642319)	('>50', 1.8147923545133975)	('>100', 2.05886096324746)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
output73_forward_paired	(1.0, 51.81258652862216)	(2.0, 11.087702401733582)	(3.0, 5.64768554746283)	(4.0, 3.343766929513032)	(5.0, 2.60714500692229)	(6.0, 2.0947450791548787)	(7.0, 1.6169566002528142)	(8.0, 1.3423222777343045)	(9.0, 1.0767170288328418)	('>10', 12.089929573225787)	('>50', 2.4822428218864743)	('>100', 4.324173839764041)	('>500', 0.47402636489496175)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
output73_reverse_paired	(1.0, 58.088545115271174)	(2.0, 11.083187864925058)	(3.0, 5.340697044483236)	(4.0, 3.36784445915849)	(5.0, 2.392704508517426)	(6.0, 1.7155239872389094)	(7.0, 1.369409498585445)	(8.0, 1.2941672184433877)	(9.0, 1.042858002768916)	('>10', 9.82739420935412)	('>50', 2.331005838800939)	('>100', 2.146662252452898)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
output74_forward_paired	(1.0, 55.210995579457375)	(2.0, 11.067173932950942)	(3.0, 5.52942449696556)	(4.0, 3.623013461426395)	(5.0, 2.5224565230059692)	(6.0, 1.9730105476977382)	(7.0, 1.49765652966592)	(8.0, 1.318670340739754)	(9.0, 1.1613289932651243)	('>10', 10.730846396550145)	('>50', 2.0745748037395626)	('>100', 3.29084839453551)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
output74_reverse_paired	(1.0, 61.72942283197776)	(2.0, 10.952289774477402)	(3.0, 5.062395417953564)	(4.0, 3.106867242197451)	(5.0, 2.097884632995063)	(6.0, 1.7632220843982318)	(7.0, 1.4335544992132931)	(8.0, 1.0589322433213177)	(9.0, 0.7492445117839512)	('>10', 8.998426586525254)	('>50', 1.5342862613531356)	('>100', 1.5134739138035813)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
