Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
output69_forward_paired	output69_forward_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	126422.0	0.0	2-100	42.0	57.584123016563574	97.70287608169464	100	pass	pass	warn	pass	warn	warn	pass	warn	warn	fail	pass
output69_reverse_paired	output69_reverse_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	126422.0	0.0	2-100	42.0	59.705589217066645	97.61972599705747	100	pass	pass	pass	pass	fail	fail	pass	warn	warn	fail	pass
output70_forward_paired	output70_forward_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	142142.0	0.0	2-100	42.0	56.61662281380592	98.14562198365016	100	pass	pass	warn	pass	warn	warn	pass	warn	warn	fail	pass
output70_reverse_paired	output70_reverse_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	142142.0	0.0	2-100	41.0	59.702973083254776	98.04491986886353	100	pass	pass	pass	pass	fail	fail	pass	warn	warn	fail	pass
output71_forward_paired	output71_forward_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	136173.0	0.0	2-100	42.0	56.09041439933027	97.76696187937404	100	pass	pass	warn	pass	warn	warn	pass	warn	warn	fail	pass
output71_reverse_paired	output71_reverse_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	136173.0	0.0	2-100	42.0	58.65700248948029	97.64611560294625	100	pass	pass	pass	pass	fail	fail	pass	warn	warn	fail	pass
output72_forward_paired	output72_forward_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	133569.0	0.0	2-100	41.0	63.172592442857244	97.91940120836422	100	pass	pass	warn	pass	warn	warn	pass	warn	warn	warn	pass
output72_reverse_paired	output72_reverse_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	133569.0	0.0	2-100	40.0	68.67087422979883	97.73068975585652	100	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
output73_forward_paired	output73_forward_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	132904.0	0.0	2-100	41.0	62.18623969180762	98.47495936916873	100	pass	pass	pass	pass	warn	warn	pass	warn	warn	warn	pass
output73_reverse_paired	output73_reverse_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	132904.0	0.0	2-100	40.0	68.0987780653705	98.3462950701258	100	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
output74_forward_paired	output74_forward_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	120121.0	0.0	2-100	40.0	65.46399047626976	98.20639605064893	100	pass	pass	warn	pass	warn	warn	pass	warn	warn	warn	pass
output74_reverse_paired	output74_reverse_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	120121.0	0.0	2-100	40.0	71.34722488157774	98.0313725326962	100	pass	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass
