Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
output69_forward_paired	42.415876983436426	42.0	97.70287608169464	100	9.090909090909092	0.126422
output69_reverse_paired	40.294410782933355	42.0	97.61972599705747	100	27.27272727272727	0.126422
output70_forward_paired	43.38337718619408	42.0	98.14562198365016	100	9.090909090909092	0.142142
output70_reverse_paired	40.297026916745224	41.0	98.04491986886353	100	27.27272727272727	0.142142
output71_forward_paired	43.90958560066973	42.0	97.76696187937404	100	9.090909090909092	0.136173
output71_reverse_paired	41.34299751051971	42.0	97.64611560294625	100	27.27272727272727	0.136173
output72_forward_paired	36.827407557142756	41.0	97.91940120836422	100	0.0	0.133569
output72_reverse_paired	31.329125770201173	40.0	97.73068975585652	100	9.090909090909092	0.133569
output73_forward_paired	37.81376030819238	41.0	98.47495936916873	100	0.0	0.132904
output73_reverse_paired	31.901221934629504	40.0	98.3462950701258	100	9.090909090909092	0.132904
output74_forward_paired	34.53600952373024	40.0	98.20639605064893	100	0.0	0.12012099999999999
output74_reverse_paired	28.652775118422255	40.0	98.0313725326962	100	18.181818181818183	0.12012099999999999
