Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
output69_forward_paired	43.041114938533006	43.0	99.05806971526088	9.090909090909092	126572.0
output69_reverse_paired	41.11177827639604	42.0	98.95145845842683	27.27272727272727	126572.0
output70_forward_paired	43.907444894286996	42.0	99.13256297795772	9.090909090909092	142272.0
output70_reverse_paired	40.86397885739991	41.0	98.98165485829959	18.181818181818183	142272.0
output71_forward_paired	44.503789351665034	43.0	99.08618298936928	9.090909090909092	136303.0
output71_reverse_paired	41.97486482322472	42.0	98.92797664027938	18.181818181818183	136303.0
output72_forward_paired	37.484753930305814	41.0	99.12223045322918	0.0	133641.0
output72_reverse_paired	32.00290330063379	40.0	98.90365980499996	9.090909090909092	133641.0
output73_forward_paired	38.29484768710041	41.0	99.15043249341858	0.0	132950.0
output73_reverse_paired	32.40391124482889	40.0	99.00717562993607	9.090909090909092	132950.0
output74_forward_paired	35.0409290563024	41.0	99.11049181418873	0.0	120208.0
output74_reverse_paired	29.157793158525223	40.0	98.8970950352722	9.090909090909092	120208.0
