Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
output69_forward_paired - illumina_universal_adapter	(1, 0.02162009338217257)	(2, 0.030351284940357645)	(3, 0.03741939239222176)	(4, 0.054466004482011665)	(5, 0.09146962584765318)	(6, 0.17005034987131887)	(7, 0.2852189242340458)	(8, 0.3816778024006619)	(9, 0.42574953121816755)	(10, 0.4883230707184939)	(12, 0.5523518088118511)	(14, 0.61908305857798)	(16, 0.7055634321066702)	(18, 0.784144156130336)	(20, 0.9028467842189949)	(22, 1.030488489379129)	(24, 1.1970047855245158)	(26, 1.4192343992316552)	(28, 1.7846971315956877)	(30, 2.285285447598299)	(32, 2.757393448280163)	(34, 3.3051717757996317)	(36, 4.125280125729159)	(38, 4.980936898431296)	(40, 5.7605075732692494)	(42, 6.608680467492942)	(44, 7.891541970006278)	(46, 9.126589804462887)	(48, 10.42504272047298)	(50, 11.703746512720514)	(52, 13.066643937850547)	(54, 14.438272554538763)	(56, 15.824245271644001)	(58, 17.29898510292412)	(60, 19.552256181475737)	(62, 23.654668900742983)	(64, 27.064614975240836)	(66, 28.876752994590817)	(68, 30.675170570063656)	(70, 32.348856837562415)	(72, 33.72880087478224)	(74, 35.086085391053444)	(76, 36.44815127413031)	(78, 37.714797706607015)	(80, 39.00285634695261)	(82, 40.35140967166562)	(84, 41.85047210800068)	(86, 43.28301118008291)	(88, 44.55464686487858)
output69_reverse_paired - illumina_universal_adapter	(1, 0.019957009275851603)	(2, 0.027025116727715712)	(3, 0.03326168212641934)	(4, 0.04656635497698707)	(5, 0.08232266326288787)	(6, 0.15674567702075112)	(7, 0.2698353962505769)	(8, 0.3667100454437732)	(9, 0.41202908734101956)	(10, 0.47086068760212374)	(12, 0.5319790285094192)	(14, 0.5976708507090975)	(16, 0.6814487125650162)	(18, 0.7596136655621016)	(20, 0.8754058964646989)	(22, 1.0020081740583826)	(24, 1.1670692716107385)	(26, 1.3882594577514271)	(28, 1.7541379611420398)	(30, 2.254726277144651)	(32, 2.7233002241005835)	(34, 3.264634100708058)	(36, 4.084118794097714)	(38, 4.931252260754957)	(40, 5.704170599167626)	(42, 6.551511951338159)	(44, 7.827721117426211)	(46, 9.050295821085413)	(48, 10.323178818960821)	(50, 11.590448907977398)	(52, 12.946486111168857)	(54, 14.324767064282359)	(56, 15.718639430892619)	(58, 17.19940794205815)	(60, 19.43771126365288)	(62, 23.512475209652543)	(64, 26.90288004590112)	(66, 28.708365728825818)	(68, 30.49472594452783)	(70, 32.153652340582994)	(72, 33.519460162899094)	(74, 34.87695256468358)	(76, 36.246086555212315)	(78, 37.51481184282192)	(80, 38.801831055601056)	(82, 40.156828831226065)	(84, 41.66586977219906)	(86, 43.10194289800721)	(88, 44.38230977436106)
output70_forward_paired - illumina_universal_adapter	(1, 0.0502294757906079)	(2, 0.06319192115592606)	(3, 0.077774672191909)	(4, 0.10329448650487914)	(5, 0.15271380946015467)	(6, 0.2612742893946943)	(7, 0.42168455079050665)	(8, 0.5355110241547067)	(9, 0.5901963405396428)	(10, 0.6625024810930582)	(12, 0.7481761434294579)	(14, 0.8233178189065367)	(16, 0.920738697355256)	(18, 1.0248433366954677)	(20, 1.145556109159993)	(22, 1.297054689367149)	(24, 1.5012132038709103)	(26, 1.7774753207192537)	(28, 2.158247153325475)	(30, 2.6923404100183497)	(32, 3.2055722312014163)	(34, 3.80630055860038)	(36, 4.537868568905524)	(38, 5.317843211121778)	(40, 6.021460948607955)	(42, 6.784827457699896)	(44, 7.9729165907148385)	(46, 9.118877776292496)	(48, 10.334917182126407)	(50, 11.480473291286401)	(52, 12.676866490863501)	(54, 13.835790121806479)	(56, 14.99613152021129)	(58, 16.253893797064816)	(60, 18.240388549299823)	(62, 22.001725625539258)	(64, 25.0410139872887)	(66, 26.523998752364633)	(68, 28.035743943094865)	(70, 29.436093118966895)	(72, 30.551471035010756)	(74, 31.69662206775308)	(76, 32.861014230334554)	(78, 33.93608704282063)	(80, 34.997184718897216)	(82, 36.16866571878785)	(84, 37.449112275030686)	(86, 38.606415600302995)	(88, 39.726856971567685)
output70_reverse_paired - illumina_universal_adapter	(1, 0.04536855877861359)	(2, 0.056710698473266985)	(3, 0.06845791458558657)	(4, 0.08628127696289906)	(5, 0.1284092244001831)	(6, 0.22198187688107363)	(7, 0.3730753806705635)	(8, 0.479205402099106)	(9, 0.5286247250543815)	(10, 0.5966775632223018)	(12, 0.6783004613820397)	(14, 0.7508091401442882)	(16, 0.8457995600870104)	(18, 0.9497016612183888)	(20, 1.0691992044299157)	(22, 1.219077478966407)	(24, 1.4234385316790013)	(26, 1.7029412598686742)	(28, 2.0944476175430493)	(30, 2.633806867665585)	(32, 3.1454183831779865)	(34, 3.746956863412283)	(36, 4.479740102970426)	(38, 5.252018293251021)	(40, 5.953205572231202)	(42, 6.710495935058148)	(44, 7.887242928378439)	(46, 9.018013748293615)	(48, 10.21339425682655)	(50, 11.351456452259718)	(52, 12.55635625660781)	(54, 13.703330133229635)	(56, 14.85962076745778)	(58, 16.111104359837483)	(60, 18.07775036760685)	(62, 21.814175244159813)	(64, 24.817816881154627)	(66, 26.281560516391416)	(68, 27.781558491009328)	(70, 29.168742683307208)	(72, 30.272575921447583)	(74, 31.398485824350765)	(76, 32.56470083081173)	(78, 33.642001563594974)	(80, 34.70350431608923)	(82, 35.88774522313635)	(84, 37.180546610118)	(86, 38.340077855687476)	(88, 39.46902583172316)
output71_forward_paired - illumina_universal_adapter	(1, 0.06464579978608118)	(2, 0.08188467972903615)	(3, 0.10029893784991988)	(4, 0.12850801412020985)	(5, 0.2096091083972935)	(6, 0.3678933696916983)	(7, 0.5673158672136093)	(8, 0.7165888958105604)	(9, 0.7800593174187128)	(10, 0.8744813643789889)	(12, 0.9794818149406238)	(14, 1.0713572091820542)	(16, 1.1904621978788341)	(18, 1.314072802924341)	(20, 1.4574689406316481)	(22, 1.6570873345165475)	(24, 1.9015659955257271)	(26, 2.210886352683976)	(28, 2.7074836328588727)	(30, 3.346889361652112)	(32, 3.9706233814063006)	(34, 4.687995862668814)	(36, 5.63162864318261)	(38, 6.57075580734768)	(40, 7.404294831862152)	(42, 8.320110328831635)	(44, 9.755834773171602)	(46, 11.12848058862939)	(48, 12.506219709524872)	(50, 13.786402441652267)	(52, 15.175307655238072)	(54, 16.46058369280316)	(56, 17.729404435877242)	(58, 19.110277898580534)	(60, 21.39638845465195)	(62, 25.718645807621936)	(64, 29.13919220175758)	(66, 30.7241896746945)	(68, 32.30918714763142)	(70, 33.790359548184625)	(72, 34.95848956068282)	(74, 36.1119273459569)	(76, 37.244404220391246)	(78, 38.320854735011)	(80, 39.38907760238523)	(82, 40.567394225758804)	(84, 41.85619639785768)	(86, 43.03725557031308)	(88, 44.14328643574403)
output71_reverse_paired - illumina_universal_adapter	(1, 0.06347042160815242)	(2, 0.07796675246927366)	(3, 0.09442204696027613)	(4, 0.1179296105188511)	(5, 0.18962767937250477)	(6, 0.3392925006954321)	(7, 0.5316627291497706)	(8, 0.6785850013908642)	(9, 0.7365703248353491)	(10, 0.8282498227137916)	(12, 0.9310954132825571)	(14, 1.0178775020862962)	(16, 1.1358071126051472)	(18, 1.259221821287666)	(20, 1.401834373543021)	(22, 1.6010609747019435)	(24, 1.8488698738819216)	(26, 2.1591697128551113)	(28, 2.6655618111794137)	(30, 3.3088854672324155)	(32, 3.9328153833495927)	(34, 4.648424797345212)	(36, 5.584613516065461)	(38, 6.524328369319496)	(40, 7.352774088396274)	(42, 8.25879476721635)	(44, 9.682177740688067)	(46, 11.047379494352308)	(48, 12.392599818991762)	(50, 13.65671904935413)	(52, 15.039355579324315)	(54, 16.3164039696439)	(56, 17.58757546907384)	(58, 18.95689104636083)	(60, 21.230072442475034)	(62, 25.500221362890176)	(64, 28.86454550084823)	(66, 30.434458953835062)	(68, 32.00829033408166)	(70, 33.46987309833605)	(72, 34.61782578544647)	(74, 35.76166464893413)	(76, 36.886109772485966)	(78, 37.95805467075698)	(80, 39.026081641768236)	(82, 40.19715009971125)	(84, 41.4814466554614)	(86, 42.65956738247198)	(88, 43.77421768787441)
output72_forward_paired - illumina_universal_adapter	(1, 0.043102072092206505)	(2, 0.055074869895597206)	(3, 0.06824494747932697)	(4, 0.08819961048497812)	(5, 0.13968264103955813)	(6, 0.2458414482296223)	(7, 0.3655694262635293)	(8, 0.4493790108872641)	(9, 0.4956738290603748)	(10, 0.5559369113374413)	(12, 0.6367532965103285)	(14, 0.7024041377989209)	(16, 0.7967896938156509)	(18, 0.8977602886242457)	(20, 1.0264678650106958)	(22, 1.2068580185817823)	(24, 1.472055489926886)	(26, 1.8260512116471377)	(28, 2.2874030203377926)	(30, 2.839149452444047)	(32, 3.4571453657290636)	(34, 4.142787586603237)	(36, 4.995250790204655)	(38, 5.933319498100316)	(40, 6.894735161712589)	(42, 7.844377574151528)	(44, 9.073983908559752)	(46, 10.33432042399668)	(48, 11.617205708629992)	(50, 12.817678235049966)	(52, 14.233062482040804)	(54, 15.657825420644297)	(56, 17.09835254302225)	(58, 18.550253823313433)	(60, 20.145828677245298)	(62, 22.119743941764312)	(64, 23.93721464831902)	(66, 25.546558219724787)	(68, 27.143928993327158)	(70, 28.747485712461287)	(72, 30.34425784617349)	(74, 31.991116184029885)	(76, 33.64436001404808)	(78, 35.22556751061588)	(80, 36.8428929472239)	(82, 38.54283068867533)	(84, 40.310813830976024)	(86, 41.8682752785671)	(88, 43.33594074263274)
output72_reverse_paired - illumina_universal_adapter	(1, 0.03911113949107627)	(2, 0.050285750774240925)	(3, 0.06106126879729255)	(4, 0.0774240924619265)	(5, 0.11853069825356789)	(6, 0.21032214807956323)	(7, 0.3232655406915488)	(8, 0.4038823792343795)	(9, 0.4505762906676032)	(10, 0.5080457201238786)	(12, 0.5856693592158615)	(14, 0.6507215606142844)	(16, 0.7453066632610709)	(18, 0.8442817917691006)	(20, 0.9713929951150985)	(22, 1.1491890424954505)	(24, 1.4147856071006673)	(26, 1.7691804220810319)	(28, 2.247693240956547)	(30, 2.80522652533444)	(32, 3.421825612209061)	(34, 4.106470099932952)	(36, 4.95773602375403)	(38, 5.894607451869353)	(40, 6.8542271958111165)	(42, 7.803470514989943)	(44, 9.02210178474506)	(46, 10.281241020401648)	(48, 11.554747613422304)	(50, 12.74424507518917)	(52, 14.161824335110628)	(54, 15.577807221991634)	(56, 17.009354746017053)	(58, 18.467641518470035)	(60, 20.05842725328055)	(62, 22.022963826186903)	(64, 23.83464768046997)	(66, 25.43301618722263)	(68, 27.012228217489863)	(70, 28.59682800676862)	(72, 30.16825771846365)	(74, 31.793764566903995)	(76, 33.435833785639026)	(78, 34.9932952332301)	(80, 36.590865553462535)	(82, 38.27643593754989)	(84, 40.038831774208994)	(86, 41.58831135659781)	(88, 43.039813543628874)
output73_forward_paired - illumina_universal_adapter	(1, 0.029238187772140056)	(2, 0.035085825326568065)	(3, 0.043182554248083774)	(4, 0.05847637554428011)	(5, 0.09401201914426571)	(6, 0.16868185253157725)	(7, 0.2514484148404045)	(8, 0.2982295152758286)	(9, 0.33466479542264926)	(10, 0.37739753139731547)	(12, 0.43429954298463425)	(14, 0.4810806434200583)	(16, 0.554625931123826)	(18, 0.6236730360934183)	(20, 0.7185846917845191)	(22, 0.8481323545287704)	(24, 1.0447029400122352)	(26, 1.317292813703264)	(28, 1.6928910720069092)	(30, 2.1038000647738313)	(32, 2.580607434596423)	(34, 3.126686818525316)	(36, 3.8315520529705998)	(38, 4.584997660944978)	(40, 5.3627334556839035)	(42, 6.1388948864658675)	(44, 7.149186728561661)	(46, 8.239771132462485)	(48, 9.342950448019)	(50, 10.396424844362878)	(52, 11.592041815106697)	(54, 12.762693871675843)	(56, 14.00059376012091)	(58, 15.254462197272302)	(60, 16.655421209831225)	(62, 18.386996653352046)	(64, 19.910756054553957)	(66, 21.21410450178128)	(68, 22.549614955557956)	(70, 23.894571593076396)	(72, 25.255271870164453)	(74, 26.69109179891324)	(76, 28.207429198603762)	(78, 29.646847673539888)	(80, 31.077044873870953)	(82, 32.59203281874123)	(84, 34.181915506135525)	(86, 35.64337507646911)	(88, 37.02139335708374)
output73_reverse_paired - illumina_universal_adapter	(1, 0.028788369498722516)	(2, 0.034186188779732986)	(3, 0.040033826334161)	(4, 0.05127928316959948)	(5, 0.08051747094173954)	(6, 0.1452913023138652)	(7, 0.22715822807585737)	(8, 0.2712404188707762)	(9, 0.3054266076505092)	(10, 0.3468098888049228)	(12, 0.4039368095289503)	(14, 0.45026809169095683)	(16, 0.5238133793947246)	(18, 0.5924106660908992)	(20, 0.6837237755946597)	(22, 0.8087732556047357)	(24, 1.0028698405844039)	(26, 1.2783835330526467)	(28, 1.6587048832271762)	(30, 2.0714131490877685)	(32, 2.549120155457195)	(34, 3.094299902839253)	(36, 3.7957915002339053)	(38, 4.546988016841196)	(40, 5.31955090143582)	(42, 6.091888876893735)	(44, 7.096108172298392)	(46, 8.174547482816942)	(48, 9.261533340530427)	(50, 10.30623628054266)	(52, 11.490832703587749)	(54, 12.645066393177157)	(56, 13.873969916153873)	(58, 15.127613444168556)	(60, 16.527897729317356)	(62, 18.246653352045772)	(64, 19.763890388283134)	(66, 21.06251574363957)	(68, 22.390154377631436)	(70, 23.71891755730685)	(72, 25.055102738493648)	(74, 26.483050847457626)	(76, 27.98207024362158)	(78, 29.40417071503113)	(80, 30.816150275288784)	(82, 32.3322627658426)	(84, 33.925069272014106)	(86, 35.37505847637554)	(88, 36.74003202706107)
