Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
output69_forward_paired	(1, 32.38398948930845)	(2, 32.52625801918367)	(3, 32.601138381070776)	(4, 36.11173846339344)	(5, 36.162687044990584)	(6, 36.177076880220525)	(7, 36.15875385107913)	(8, 36.164262817181324)	(9, 37.90312119309654)	(10, 37.88973544489579)	(12, 37.9020193998761)	(14, 39.34283231538727)	(16, 39.384313790709186)	(18, 39.42954967840111)	(20, 39.462482901416536)	(22, 39.43272201133392)	(24, 39.427298278292184)	(26, 39.380099951354794)	(28, 39.37387585908688)	(30, 39.3460566196984)	(32, 39.35296673416016)	(34, 39.29432015200589)	(36, 39.31317328920616)	(38, 39.32800176286915)	(40, 39.28951799664888)	(42, 39.219951188481474)	(44, 39.05800629477334)	(46, 38.90518965395377)	(48, 38.68261495029458)	(50, 38.49632870222101)	(52, 38.319507384007636)	(54, 38.07449556752992)	(56, 37.815511817912494)	(58, 37.57421582320049)	(60, 37.27181435474267)	(62, 36.95185415888058)	(64, 36.68322045302364)	(66, 36.31171672662785)	(68, 35.85050740917091)	(70, 35.5094083623394)	(72, 35.14909914477563)	(74, 34.88951433209621)	(76, 34.64107993053568)	(78, 34.448595188567054)	(80, 34.31739210023319)	(82, 34.23234370960158)	(84, 34.150180805605004)	(86, 34.079059372961765)	(88, 34.043210620499536)	(90, 34.00925592637001)	(92, 33.953481858195246)	(94, 33.90690615437272)	(96, 33.92989209587802)	(98, 34.00748974275482)	(100, 34.07125430314751)
output69_reverse_paired	(1, 31.8314672143757)	(2, 32.04029237018589)	(3, 32.169788414124575)	(4, 35.73232661308764)	(5, 35.68857918567087)	(6, 35.95892182257387)	(7, 36.04775130240274)	(8, 36.12094779163219)	(9, 37.950477513024026)	(10, 37.948872636861424)	(12, 37.95277880565615)	(14, 39.36388903902842)	(16, 39.41375661595646)	(18, 39.408073026023104)	(20, 39.387469492800925)	(22, 39.340770091095436)	(24, 39.44829263627935)	(26, 39.41651941442809)	(28, 39.398531080963096)	(30, 39.42690537467206)	(32, 39.39760806928409)	(34, 39.304780951034644)	(36, 39.302101306768336)	(38, 39.34979855893762)	(40, 39.3038870433275)	(42, 39.22078273053464)	(44, 39.11047451947263)	(46, 38.71706989526728)	(48, 38.68797008111693)	(50, 38.65319638695614)	(52, 38.481127929993804)	(54, 38.22046988677724)	(56, 37.87890307183664)	(58, 37.564429586514834)	(60, 37.15367972411685)	(62, 36.89889514012562)	(64, 36.63069931051997)	(66, 36.398083208842024)	(68, 36.0689858669959)	(70, 35.668439109275916)	(72, 35.449779035418715)	(74, 35.20423865063618)	(76, 34.89439726055987)	(78, 34.65643925549689)	(80, 34.49005243227087)	(82, 34.3829182561353)	(84, 34.2897275667286)	(86, 34.16143720721202)	(88, 34.10006555385834)	(90, 34.06139450783253)	(92, 34.02351355245553)	(94, 34.023119075469175)	(96, 34.05354203051769)	(98, 34.074817322997)	(100, 34.12855416322117)
output70_forward_paired	(1, 32.41504534830496)	(2, 32.55293741164271)	(3, 32.63039612422884)	(4, 36.12884670693126)	(5, 36.17402487979357)	(6, 36.19397489336363)	(7, 36.18119068162209)	(8, 36.18488092778703)	(9, 37.92707814329173)	(10, 37.906453677486255)	(12, 37.91942624976202)	(14, 39.376937784313014)	(16, 39.41648944573394)	(18, 39.45775255501951)	(20, 39.49290913730876)	(22, 39.46179521766781)	(24, 39.45332101901023)	(26, 39.41720238022903)	(28, 39.41878217825793)	(30, 39.38705254246213)	(32, 39.385424135263115)	(34, 39.334767303851876)	(36, 39.34226729372496)	(38, 39.36435813616238)	(40, 39.333957151016534)	(42, 39.26741524788652)	(44, 39.11893651237306)	(46, 38.97006080197029)	(48, 38.78215800410747)	(50, 38.605052550516376)	(52, 38.45317133420303)	(54, 38.21312307447866)	(56, 37.98090378334858)	(58, 37.73774222857057)	(60, 37.436053298534944)	(62, 37.119567483778624)	(64, 36.84144709435854)	(66, 36.473510878087254)	(68, 36.00712475000019)	(70, 35.66093042942232)	(72, 35.290949718915485)	(74, 35.01658988579653)	(76, 34.778368891457966)	(78, 34.582955680574315)	(80, 34.44739935117714)	(82, 34.35399454847398)	(84, 34.29054857943781)	(86, 34.21550936373248)	(88, 34.174452150746916)	(90, 34.13550595687701)	(92, 34.11110582142051)	(94, 34.11653166077173)	(96, 34.13682137069281)	(98, 34.16537148736174)	(100, 34.222586677426776)
output70_reverse_paired	(1, 31.881458437134164)	(2, 32.07932611487157)	(3, 32.14332818886283)	(4, 35.741014392365116)	(5, 35.76058768486675)	(6, 35.95476511643922)	(7, 36.041824140124035)	(8, 36.13154451587292)	(9, 37.94581292760879)	(10, 37.95661631566795)	(12, 37.9645416357796)	(14, 39.38467879465461)	(16, 39.42828324563429)	(18, 39.413994175001115)	(20, 39.41500078989901)	(22, 39.36556728926912)	(24, 39.45573527445953)	(26, 39.429044789299496)	(28, 39.405301235078)	(30, 39.43216185233344)	(32, 39.40065298318528)	(34, 39.32370669226749)	(36, 39.31723559649528)	(38, 39.35918531030879)	(40, 39.31543300643666)	(42, 39.23555598763707)	(44, 39.129083676635595)	(46, 38.76287231586238)	(48, 38.72963782117496)	(50, 38.68770890511226)	(52, 38.5222675244856)	(54, 38.26260820446416)	(56, 37.943593054653064)	(58, 37.64533090397747)	(60, 37.26107918928773)	(62, 36.996680808004946)	(64, 36.730438219700126)	(66, 36.49239276982209)	(68, 36.16664930968434)	(70, 35.757712300555056)	(72, 35.54363127878153)	(74, 35.29281331401802)	(76, 34.98052128808834)	(78, 34.74436883920996)	(80, 34.58223377463317)	(82, 34.463754313238944)	(84, 34.36489495604971)	(86, 34.23619570034691)	(88, 34.17684613933797)	(90, 34.12852371012481)	(92, 34.084111212694516)	(94, 34.08472030862717)	(96, 34.1142919420606)	(98, 34.12850599297764)	(100, 34.169119047935524)
output71_forward_paired	(1, 32.397650027229595)	(2, 32.54984974748959)	(3, 32.62484671109596)	(4, 36.12293280362957)	(5, 36.16892535173192)	(6, 36.19117526064011)	(7, 36.16878038842331)	(8, 36.17953901667862)	(9, 37.9247326994127)	(10, 37.90071776427399)	(12, 37.91381539510337)	(14, 39.35914267915702)	(16, 39.39256651661005)	(18, 39.44984269522052)	(20, 39.47925261619592)	(22, 39.443335018042056)	(24, 39.44577000983399)	(26, 39.39273302851859)	(28, 39.398188742227816)	(30, 39.366708196695626)	(32, 39.37263797960327)	(34, 39.318617598545664)	(36, 39.327928552678486)	(38, 39.35335002370346)	(40, 39.32182442200778)	(42, 39.25902788388831)	(44, 39.06511007416636)	(46, 38.92360041843463)	(48, 38.72109255319566)	(50, 38.52755678049124)	(52, 38.358478189945984)	(54, 38.104274947144916)	(56, 37.86376263652765)	(58, 37.62440466280487)	(60, 37.32628510885913)	(62, 37.00427673250148)	(64, 36.723867687683885)	(66, 36.34366811753681)	(68, 35.88735292003985)	(70, 35.55386007869237)	(72, 35.18997173316525)	(74, 34.92346369113439)	(76, 34.701678206036)	(78, 34.52541951755385)	(80, 34.400375433623566)	(82, 34.296097367235205)	(84, 34.23102032510516)	(86, 34.17162011227173)	(88, 34.14403268032809)	(90, 34.10996669158076)	(92, 34.082712349331686)	(94, 34.09294388463502)	(96, 34.117078921205476)	(98, 34.11860812729945)	(100, 34.14071247786975)
output71_reverse_paired	(1, 31.804773602573295)	(2, 31.919380810775866)	(3, 32.02248890247104)	(4, 35.68934754757343)	(5, 35.73282870430228)	(6, 35.953102410700644)	(7, 36.02426372351971)	(8, 36.10796240357001)	(9, 37.920587532371876)	(10, 37.91552948827952)	(12, 37.922818791946305)	(14, 39.32442004881737)	(16, 39.370263715683855)	(18, 39.35920144806592)	(20, 39.348865955954665)	(22, 39.296667411072846)	(24, 39.39282901773646)	(26, 39.364204641176634)	(28, 39.344979372112974)	(30, 39.37773716193185)	(32, 39.34218588997676)	(34, 39.26310644616572)	(36, 39.243796941665984)	(38, 39.28755039433938)	(40, 39.24665506960198)	(42, 39.16153418195638)	(44, 39.03866406516297)	(46, 38.64820735238229)	(48, 38.59484518310433)	(50, 38.550633653096845)	(52, 38.37843559218236)	(54, 38.11764498631846)	(56, 37.77223165622398)	(58, 37.45204467356707)	(60, 37.03994756290926)	(62, 36.78152931139873)	(64, 36.531261910232644)	(66, 36.295474255799746)	(68, 35.97704040129578)	(70, 35.58173977009511)	(72, 35.38054012369907)	(74, 35.13050047928054)	(76, 34.83723028505021)	(78, 34.6057443893843)	(80, 34.44512816200982)	(82, 34.345970455549875)	(84, 34.27044393720176)	(86, 34.15406141228465)	(88, 34.090218862626344)	(90, 34.042974278603964)	(92, 33.99897187350362)	(94, 34.00992471113488)	(96, 34.04545475186003)	(98, 34.070235887955036)	(100, 34.11521514300861)
output72_forward_paired	(1, 32.41886034928642)	(2, 32.560606302480764)	(3, 32.65589380926535)	(4, 36.15039829507359)	(5, 36.176518948947994)	(6, 36.19347243063759)	(7, 36.1655837936209)	(8, 36.15944573928036)	(9, 37.91660946329938)	(10, 37.935999409341974)	(12, 37.91503703585454)	(14, 39.32448876153379)	(16, 39.37059201494205)	(18, 39.41499712652853)	(20, 39.453894751125446)	(22, 39.43779333354618)	(24, 39.45027697072252)	(26, 39.44048122665305)	(28, 39.422128923086746)	(30, 39.38207791896811)	(32, 39.37127446441684)	(34, 39.370627933335456)	(36, 39.347278982152545)	(38, 39.31865202260464)	(40, 39.27750750295329)	(42, 39.21234754637464)	(44, 39.13400354394815)	(46, 39.066315331566685)	(48, 38.976144200376744)	(50, 38.85886089288604)	(52, 38.706652892248826)	(54, 38.53101576068596)	(56, 38.307437428154344)	(58, 38.0426821323477)	(60, 37.67401766651878)	(62, 37.334104663054546)	(64, 37.00355310634434)	(66, 36.61719384741171)	(68, 36.21855690884894)	(70, 35.83002038998725)	(72, 35.46677467848046)	(74, 35.14594230319102)	(76, 34.8741482031445)	(78, 34.65839705953392)	(80, 34.50610056464171)	(82, 34.37525974784742)	(84, 34.28849786173569)	(86, 34.21273856314386)	(88, 34.18306249448)	(90, 34.16391874555218)	(92, 34.140933956861915)	(94, 34.12902045000207)	(96, 34.13409977269464)	(98, 34.15401550666974)	(100, 34.21501639456247)
output72_reverse_paired	(1, 31.829758788033587)	(2, 32.056523578429804)	(3, 31.988075093387824)	(4, 35.54526515756202)	(5, 35.629864946840776)	(6, 35.90861562529932)	(7, 36.01158567734108)	(8, 36.12384262954567)	(9, 37.93265301235593)	(10, 37.93297827336292)	(12, 37.92170787969733)	(14, 39.365154369273014)	(16, 39.362380671115226)	(18, 39.37225024743782)	(20, 39.403684828070624)	(22, 39.363787474857126)	(24, 39.39106749465215)	(26, 39.343661201749626)	(28, 39.31104730053319)	(30, 39.312114875003985)	(32, 39.27768310398774)	(34, 39.212970131860416)	(36, 39.205493119632195)	(38, 39.21024831582644)	(40, 39.17499840362696)	(42, 39.12954567223269)	(44, 39.09069793429329)	(46, 38.98098520162192)	(48, 38.94500295329013)	(50, 38.85919885350632)	(52, 38.75709703029818)	(54, 38.5513654090286)	(56, 38.37711051104593)	(58, 38.19392191898913)	(60, 37.89416727865724)	(62, 37.61949180020051)	(64, 37.28594985673999)	(66, 36.906378356655395)	(68, 36.53225703767633)	(70, 36.117995628141394)	(72, 35.7408292320783)	(74, 35.41564035326478)	(76, 35.082392357827786)	(78, 34.806760820325536)	(80, 34.588783896732004)	(82, 34.40142730038403)	(84, 34.267692613671784)	(86, 34.15789649744141)	(88, 34.102717683955476)	(90, 34.05484758793911)	(92, 34.031495556674344)	(94, 34.01134041380705)	(96, 34.00957084817813)	(98, 34.01348173887911)	(100, 34.061825945327286)
output73_forward_paired	(1, 32.45464932167404)	(2, 32.59535247759905)	(3, 32.690291122386554)	(4, 36.17275270790601)	(5, 36.20450088164382)	(6, 36.21797743711541)	(7, 36.19294505019972)	(8, 36.18127676418727)	(9, 37.94899510597718)	(10, 37.96943259922991)	(12, 37.94582838533232)	(14, 39.35871882759365)	(16, 39.4034689985246)	(18, 39.44257395012416)	(20, 39.4846791896074)	(22, 39.46723748605564)	(24, 39.48144724531289)	(26, 39.473107614523734)	(28, 39.4588753643528)	(30, 39.42230963690669)	(32, 39.40770853575155)	(34, 39.4006328943107)	(36, 39.38272787793731)	(38, 39.35446804490985)	(40, 39.315297869660654)	(42, 39.26848078376336)	(44, 39.19620173449927)	(46, 39.127170373169236)	(48, 39.03739114397783)	(50, 38.928013828659914)	(52, 38.78357836710288)	(54, 38.61589587499263)	(56, 38.39076753374796)	(58, 38.13281730050808)	(60, 37.76985296226569)	(62, 37.4367575377175)	(64, 37.10514643770774)	(66, 36.718750748806336)	(68, 36.31452242152212)	(70, 35.92868134875215)	(72, 35.56818583479743)	(74, 35.24319159444612)	(76, 34.967346831878785)	(78, 34.75231185649746)	(80, 34.59045113985511)	(82, 34.45764543215445)	(84, 34.36548565143942)	(86, 34.27766899679482)	(88, 34.245308512474914)	(90, 34.22002691401741)	(92, 34.20348463681757)	(94, 34.19297534111824)	(96, 34.19568783412237)	(98, 34.214410042091245)	(100, 34.26483174896345)
output73_reverse_paired	(1, 31.622696930440103)	(2, 31.791819604879628)	(3, 31.97889452661125)	(4, 35.56030263773435)	(5, 35.66916315808413)	(6, 35.91238439670373)	(7, 36.02558116520925)	(8, 36.1506126524884)	(9, 37.96998362661485)	(10, 37.96941685559034)	(12, 37.96309915794019)	(14, 39.413061373205224)	(16, 39.41402623340171)	(18, 39.43487531037461)	(20, 39.460375508294646)	(22, 39.41439508438591)	(24, 39.44351407031559)	(26, 39.4056483680593)	(28, 39.373814728849545)	(30, 39.37093589189968)	(32, 39.34006036561229)	(34, 39.277252240095)	(36, 39.27413275036885)	(38, 39.28549291086401)	(40, 39.25289008240671)	(42, 39.19331839936666)	(44, 39.160906743675554)	(46, 39.06293182554248)	(48, 39.03139506639317)	(50, 38.96098600802259)	(52, 38.868427401383684)	(54, 38.6710765168613)	(56, 38.510505091464246)	(58, 38.32931043117958)	(60, 38.0489753974438)	(62, 37.77727224139407)	(64, 37.44719557348676)	(66, 37.06989390728954)	(68, 36.69874664443668)	(70, 36.28267652286693)	(72, 35.90623426553199)	(74, 35.58333639884681)	(76, 35.24037969283012)	(78, 34.93595140836946)	(80, 34.70860958568663)	(82, 34.5102632291692)	(84, 34.37194575948372)	(86, 34.25272534084681)	(88, 34.188135214438915)	(90, 34.130389434138664)	(92, 34.10127111348639)	(94, 34.0795052833848)	(96, 34.08081313596205)	(98, 34.07981547258908)	(100, 34.12047539494124)
