Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
output69_forward_paired	(0.0, 1.0)	(1.0, 0.5)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 1.5)	(17.0, 3.0)	(18.0, 4.5)	(19.0, 14.0)	(20.0, 26.0)	(21.0, 26.0)	(22.0, 26.5)	(23.0, 38.0)	(24.0, 76.0)	(25.0, 132.0)	(26.0, 185.5)	(27.0, 261.5)	(28.0, 438.0)	(29.0, 631.5)	(30.0, 784.5)	(31.0, 1101.0)	(32.0, 1604.0)	(33.0, 2196.5)	(34.0, 2804.0)	(35.0, 3690.0)	(36.0, 4596.5)	(37.0, 5531.5)	(38.0, 6835.5)	(39.0, 8394.0)	(40.0, 10026.0)	(41.0, 11167.5)	(42.0, 12675.0)	(43.0, 13858.0)	(44.0, 13853.0)	(45.0, 13667.0)	(46.0, 13701.5)	(47.0, 13674.5)	(48.0, 14382.5)	(49.0, 15574.5)	(50.0, 14738.5)	(51.0, 17800.0)	(52.0, 18477.5)	(53.0, 11535.0)	(54.0, 5674.0)	(55.0, 2232.0)	(56.0, 916.5)	(57.0, 533.0)	(58.0, 391.0)	(59.0, 263.5)	(60.0, 146.0)	(61.0, 53.5)	(62.0, 21.5)	(63.0, 13.5)	(64.0, 9.5)	(65.0, 5.0)	(66.0, 2.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
output69_reverse_paired	(0.0, 1.0)	(1.0, 0.5)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.5)	(14.0, 0.5)	(15.0, 0.5)	(16.0, 2.5)	(17.0, 3.5)	(18.0, 6.0)	(19.0, 17.5)	(20.0, 34.0)	(21.0, 45.5)	(22.0, 62.0)	(23.0, 82.0)	(24.0, 117.5)	(25.0, 175.5)	(26.0, 244.5)	(27.0, 345.5)	(28.0, 502.5)	(29.0, 690.0)	(30.0, 954.5)	(31.0, 1349.5)	(32.0, 1859.5)	(33.0, 2487.5)	(34.0, 3214.0)	(35.0, 4036.0)	(36.0, 4902.0)	(37.0, 5873.5)	(38.0, 6939.5)	(39.0, 8394.5)	(40.0, 10623.5)	(41.0, 13211.0)	(42.0, 14161.0)	(43.0, 13186.0)	(44.0, 12468.5)	(45.0, 12628.0)	(46.0, 12637.0)	(47.0, 13775.0)	(48.0, 16818.0)	(49.0, 17566.5)	(50.0, 15646.0)	(51.0, 14950.5)	(52.0, 14310.0)	(53.0, 10228.0)	(54.0, 5204.5)	(55.0, 2671.5)	(56.0, 1447.0)	(57.0, 729.0)	(58.0, 521.0)	(59.0, 380.5)	(60.0, 236.5)	(61.0, 112.5)	(62.0, 42.5)	(63.0, 19.0)	(64.0, 9.0)	(65.0, 6.0)	(66.0, 2.0)	(67.0, 1.0)	(68.0, 1.0)	(69.0, 0.5)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.5)
output70_forward_paired	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 2.0)	(17.0, 4.0)	(18.0, 7.0)	(19.0, 16.0)	(20.0, 26.0)	(21.0, 24.0)	(22.0, 30.0)	(23.0, 61.0)	(24.0, 107.5)	(25.0, 153.0)	(26.0, 206.5)	(27.0, 317.0)	(28.0, 523.0)	(29.0, 753.5)	(30.0, 966.0)	(31.0, 1229.0)	(32.0, 1778.5)	(33.0, 2504.5)	(34.0, 3179.5)	(35.0, 4201.5)	(36.0, 5284.5)	(37.0, 6254.5)	(38.0, 7661.5)	(39.0, 9288.0)	(40.0, 10605.0)	(41.0, 11737.5)	(42.0, 13189.0)	(43.0, 14408.5)	(44.0, 14567.0)	(45.0, 14132.0)	(46.0, 14032.0)	(47.0, 13940.0)	(48.0, 14401.0)	(49.0, 15305.5)	(50.0, 13726.0)	(51.0, 15618.0)	(52.0, 16201.0)	(53.0, 11625.0)	(54.0, 7192.0)	(55.0, 2852.5)	(56.0, 1086.0)	(57.0, 654.0)	(58.0, 495.5)	(59.0, 309.5)	(60.0, 171.0)	(61.0, 72.5)	(62.0, 31.0)	(63.0, 11.0)	(64.0, 7.0)	(65.0, 4.5)	(66.0, 2.5)	(67.0, 1.0)	(68.0, 1.0)	(69.0, 0.5)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
output70_reverse_paired	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.5)	(11.0, 0.5)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 3.5)	(18.0, 7.0)	(19.0, 19.0)	(20.0, 38.5)	(21.0, 56.5)	(22.0, 82.5)	(23.0, 112.0)	(24.0, 133.0)	(25.0, 187.5)	(26.0, 321.0)	(27.0, 429.5)	(28.0, 572.0)	(29.0, 805.0)	(30.0, 1111.0)	(31.0, 1531.5)	(32.0, 2139.5)	(33.0, 2909.0)	(34.0, 3720.0)	(35.0, 4608.5)	(36.0, 5542.0)	(37.0, 6580.5)	(38.0, 7784.5)	(39.0, 9400.0)	(40.0, 11840.5)	(41.0, 14638.5)	(42.0, 15198.5)	(43.0, 13709.5)	(44.0, 12711.0)	(45.0, 12808.5)	(46.0, 12943.5)	(47.0, 14001.5)	(48.0, 16918.5)	(49.0, 17257.5)	(50.0, 14976.0)	(51.0, 13984.5)	(52.0, 13037.0)	(53.0, 9115.5)	(54.0, 4709.0)	(55.0, 2564.0)	(56.0, 1410.5)	(57.0, 810.5)	(58.0, 632.0)	(59.0, 512.5)	(60.0, 311.5)	(61.0, 138.5)	(62.0, 60.5)	(63.0, 22.5)	(64.0, 10.5)	(65.0, 6.5)	(66.0, 3.0)	(67.0, 3.5)	(68.0, 2.5)	(69.0, 0.5)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.5)
output71_forward_paired	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.5)	(16.0, 1.5)	(17.0, 1.0)	(18.0, 4.0)	(19.0, 21.0)	(20.0, 33.0)	(21.0, 30.5)	(22.0, 39.0)	(23.0, 48.5)	(24.0, 81.5)	(25.0, 141.5)	(26.0, 187.0)	(27.0, 256.5)	(28.0, 442.0)	(29.0, 642.5)	(30.0, 835.5)	(31.0, 1145.0)	(32.0, 1633.0)	(33.0, 2240.5)	(34.0, 2891.0)	(35.0, 3787.0)	(36.0, 4777.5)	(37.0, 5702.5)	(38.0, 7002.0)	(39.0, 8724.5)	(40.0, 10332.0)	(41.0, 11484.5)	(42.0, 12964.0)	(43.0, 14410.0)	(44.0, 14787.5)	(45.0, 14547.0)	(46.0, 14508.0)	(47.0, 14611.5)	(48.0, 15420.5)	(49.0, 16612.0)	(50.0, 15183.5)	(51.0, 17533.0)	(52.0, 19193.5)	(53.0, 13808.5)	(54.0, 7543.0)	(55.0, 2958.0)	(56.0, 1263.5)	(57.0, 731.5)	(58.0, 557.0)	(59.0, 387.5)	(60.0, 201.5)	(61.0, 76.0)	(62.0, 31.0)	(63.0, 15.5)	(64.0, 8.0)	(65.0, 5.0)	(66.0, 2.0)	(67.0, 1.0)	(68.0, 0.5)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
output71_reverse_paired	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.5)	(13.0, 1.0)	(14.0, 1.5)	(15.0, 2.0)	(16.0, 1.0)	(17.0, 1.0)	(18.0, 7.5)	(19.0, 22.0)	(20.0, 42.0)	(21.0, 60.5)	(22.0, 81.5)	(23.0, 111.5)	(24.0, 138.0)	(25.0, 180.0)	(26.0, 275.0)	(27.0, 378.0)	(28.0, 514.0)	(29.0, 708.5)	(30.0, 1026.5)	(31.0, 1439.5)	(32.0, 1982.5)	(33.0, 2670.0)	(34.0, 3373.0)	(35.0, 4285.0)	(36.0, 5201.0)	(37.0, 6068.0)	(38.0, 7185.0)	(39.0, 8794.0)	(40.0, 11454.0)	(41.0, 14395.0)	(42.0, 15052.0)	(43.0, 13834.0)	(44.0, 12915.5)	(45.0, 13018.0)	(46.0, 13293.0)	(47.0, 14609.0)	(48.0, 17970.0)	(49.0, 18627.5)	(50.0, 16556.0)	(51.0, 16071.5)	(52.0, 15196.5)	(53.0, 10708.5)	(54.0, 5716.5)	(55.0, 3152.0)	(56.0, 1742.5)	(57.0, 1004.0)	(58.0, 783.5)	(59.0, 623.5)	(60.0, 374.0)	(61.0, 173.0)	(62.0, 81.5)	(63.0, 39.0)	(64.0, 18.5)	(65.0, 9.0)	(66.0, 5.0)	(67.0, 3.5)	(68.0, 1.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.5)	(73.0, 0.5)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
output72_forward_paired	(0.0, 1.0)	(1.0, 0.5)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.5)	(18.0, 3.5)	(19.0, 9.0)	(20.0, 13.5)	(21.0, 16.0)	(22.0, 25.0)	(23.0, 49.5)	(24.0, 93.5)	(25.0, 165.5)	(26.0, 228.0)	(27.0, 353.5)	(28.0, 525.0)	(29.0, 707.5)	(30.0, 976.0)	(31.0, 1331.0)	(32.0, 1837.0)	(33.0, 2758.0)	(34.0, 3786.0)	(35.0, 5005.0)	(36.0, 6111.0)	(37.0, 7643.0)	(38.0, 10208.0)	(39.0, 12527.5)	(40.0, 14519.0)	(41.0, 16328.5)	(42.0, 17923.0)	(43.0, 19250.0)	(44.0, 19922.5)	(45.0, 19956.5)	(46.0, 18830.0)	(47.0, 16547.5)	(48.0, 14114.5)	(49.0, 11942.5)	(50.0, 9107.0)	(51.0, 6923.5)	(52.0, 5596.0)	(53.0, 3682.5)	(54.0, 2189.0)	(55.0, 1235.0)	(56.0, 757.0)	(57.0, 556.0)	(58.0, 351.5)	(59.0, 214.5)	(60.0, 127.5)	(61.0, 70.0)	(62.0, 46.5)	(63.0, 24.5)	(64.0, 11.0)	(65.0, 5.0)	(66.0, 2.0)	(67.0, 1.5)	(68.0, 0.5)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
output72_reverse_paired	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.5)	(11.0, 0.5)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.5)	(16.0, 1.5)	(17.0, 4.0)	(18.0, 6.5)	(19.0, 11.0)	(20.0, 16.0)	(21.0, 19.0)	(22.0, 41.0)	(23.0, 83.0)	(24.0, 153.5)	(25.0, 290.5)	(26.0, 425.0)	(27.0, 511.5)	(28.0, 604.0)	(29.0, 816.0)	(30.0, 1167.5)	(31.0, 1601.5)	(32.0, 2259.5)	(33.0, 3129.5)	(34.0, 4068.5)	(35.0, 5101.0)	(36.0, 6450.5)	(37.0, 8047.0)	(38.0, 9950.5)	(39.0, 12660.5)	(40.0, 15492.0)	(41.0, 17221.5)	(42.0, 18090.5)	(43.0, 18705.0)	(44.0, 18917.5)	(45.0, 18312.5)	(46.0, 16744.0)	(47.0, 14936.5)	(48.0, 13539.0)	(49.0, 11972.0)	(50.0, 9778.0)	(51.0, 7689.0)	(52.0, 5916.0)	(53.0, 4085.0)	(54.0, 2539.5)	(55.0, 1607.0)	(56.0, 1078.5)	(57.0, 778.0)	(58.0, 615.5)	(59.0, 499.5)	(60.0, 337.0)	(61.0, 158.5)	(62.0, 74.5)	(63.0, 35.5)	(64.0, 12.0)	(65.0, 6.0)	(66.0, 4.5)	(67.0, 2.5)	(68.0, 1.5)	(69.0, 0.5)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
output73_forward_paired	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 1.0)	(19.0, 6.0)	(20.0, 14.0)	(21.0, 22.5)	(22.0, 27.5)	(23.0, 52.5)	(24.0, 111.5)	(25.0, 158.0)	(26.0, 205.5)	(27.0, 388.5)	(28.0, 549.0)	(29.0, 719.5)	(30.0, 971.0)	(31.0, 1313.0)	(32.0, 1891.5)	(33.0, 2853.0)	(34.0, 3925.5)	(35.0, 5063.5)	(36.0, 5969.0)	(37.0, 7481.0)	(38.0, 10096.5)	(39.0, 12198.5)	(40.0, 13801.0)	(41.0, 15127.0)	(42.0, 16285.0)	(43.0, 17154.5)	(44.0, 17194.5)	(45.0, 16643.5)	(46.0, 15433.0)	(47.0, 13672.0)	(48.0, 11644.0)	(49.0, 9909.0)	(50.0, 7514.0)	(51.0, 5321.0)	(52.0, 4295.0)	(53.0, 3032.0)	(54.0, 1815.5)	(55.0, 988.5)	(56.0, 594.5)	(57.0, 415.0)	(58.0, 269.0)	(59.0, 157.5)	(60.0, 114.0)	(61.0, 65.0)	(62.0, 32.0)	(63.0, 21.5)	(64.0, 12.5)	(65.0, 4.0)	(66.0, 0.5)	(67.0, 0.5)	(68.0, 1.0)	(69.0, 1.0)	(70.0, 0.5)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
output73_reverse_paired	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.5)	(13.0, 0.5)	(14.0, 0.0)	(15.0, 0.5)	(16.0, 0.5)	(17.0, 1.5)	(18.0, 5.0)	(19.0, 9.5)	(20.0, 15.5)	(21.0, 22.5)	(22.0, 46.0)	(23.0, 91.0)	(24.0, 165.0)	(25.0, 292.0)	(26.0, 416.5)	(27.0, 523.5)	(28.0, 635.0)	(29.0, 833.5)	(30.0, 1172.0)	(31.0, 1621.5)	(32.0, 2223.5)	(33.0, 3068.5)	(34.0, 4064.5)	(35.0, 5168.0)	(36.0, 6490.0)	(37.0, 7834.5)	(38.0, 9546.5)	(39.0, 12208.0)	(40.0, 14826.5)	(41.0, 16351.0)	(42.0, 16620.5)	(43.0, 16648.0)	(44.0, 16653.5)	(45.0, 15865.5)	(46.0, 14172.5)	(47.0, 12184.0)	(48.0, 10755.0)	(49.0, 9309.0)	(50.0, 7571.0)	(51.0, 6002.5)	(52.0, 4578.0)	(53.0, 3091.5)	(54.0, 1922.5)	(55.0, 1251.0)	(56.0, 845.5)	(57.0, 638.5)	(58.0, 481.5)	(59.0, 340.0)	(60.0, 222.5)	(61.0, 105.0)	(62.0, 45.5)	(63.0, 19.5)	(64.0, 9.5)	(65.0, 5.0)	(66.0, 2.5)	(67.0, 2.0)	(68.0, 1.0)	(69.0, 1.0)	(70.0, 0.5)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
