Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
output69_forward_paired	(25.0, 1.0)	(26.0, 4.0)	(27.0, 13.0)	(28.0, 153.0)	(29.0, 602.0)	(30.0, 1688.0)	(31.0, 3477.0)	(32.0, 5703.0)	(33.0, 8643.0)	(34.0, 12311.0)	(35.0, 18827.0)	(36.0, 37989.0)	(37.0, 75842.0)	(38.0, 69844.0)	(39.0, 5409.0)	(40.0, 11.0)	
output69_reverse_paired	(25.0, 1.0)	(26.0, 25.0)	(27.0, 125.0)	(28.0, 342.0)	(29.0, 936.0)	(30.0, 1871.0)	(31.0, 3749.0)	(32.0, 6065.0)	(33.0, 8970.0)	(34.0, 12655.0)	(35.0, 18101.0)	(36.0, 33267.0)	(37.0, 76607.0)	(38.0, 65836.0)	(39.0, 11941.0)	(40.0, 26.0)	
output70_forward_paired	(26.0, 1.0)	(27.0, 21.0)	(28.0, 137.0)	(29.0, 592.0)	(30.0, 1604.0)	(31.0, 3174.0)	(32.0, 5484.0)	(33.0, 8341.0)	(34.0, 12067.0)	(35.0, 17913.0)	(36.0, 35111.0)	(37.0, 78691.0)	(38.0, 77416.0)	(39.0, 6308.0)	(40.0, 7.0)		
output70_reverse_paired	(25.0, 3.0)	(26.0, 28.0)	(27.0, 127.0)	(28.0, 343.0)	(29.0, 954.0)	(30.0, 1990.0)	(31.0, 3644.0)	(32.0, 6048.0)	(33.0, 8955.0)	(34.0, 12603.0)	(35.0, 18071.0)	(36.0, 32815.0)	(37.0, 77499.0)	(38.0, 70454.0)	(39.0, 13295.0)	(40.0, 38.0)	
output71_forward_paired	(26.0, 1.0)	(27.0, 24.0)	(28.0, 144.0)	(29.0, 618.0)	(30.0, 1703.0)	(31.0, 3446.0)	(32.0, 5924.0)	(33.0, 8632.0)	(34.0, 12920.0)	(35.0, 19131.0)	(36.0, 37585.0)	(37.0, 82661.0)	(38.0, 76565.0)	(39.0, 5869.0)	(40.0, 14.0)		
output71_reverse_paired	(25.0, 4.0)	(26.0, 25.0)	(27.0, 148.0)	(28.0, 430.0)	(29.0, 1044.0)	(30.0, 2225.0)	(31.0, 4194.0)	(32.0, 6831.0)	(33.0, 10066.0)	(34.0, 13713.0)	(35.0, 19499.0)	(36.0, 36477.0)	(37.0, 80918.0)	(38.0, 67616.0)	(39.0, 12023.0)	(40.0, 24.0)	
output72_forward_paired	(26.0, 1.0)	(27.0, 23.0)	(28.0, 140.0)	(29.0, 525.0)	(30.0, 1534.0)	(31.0, 3173.0)	(32.0, 5435.0)	(33.0, 8252.0)	(34.0, 11982.0)	(35.0, 17511.0)	(36.0, 33102.0)	(37.0, 78912.0)	(38.0, 82822.0)	(39.0, 7148.0)	(40.0, 8.0)		
output72_reverse_paired	(25.0, 3.0)	(26.0, 35.0)	(27.0, 119.0)	(28.0, 370.0)	(29.0, 947.0)	(30.0, 2053.0)	(31.0, 3872.0)	(32.0, 6222.0)	(33.0, 9257.0)	(34.0, 12599.0)	(35.0, 17782.0)	(36.0, 30445.0)	(37.0, 69137.0)	(38.0, 83665.0)	(39.0, 14041.0)	(40.0, 21.0)	
output73_forward_paired	(26.0, 3.0)	(27.0, 12.0)	(28.0, 111.0)	(29.0, 476.0)	(30.0, 1295.0)	(31.0, 2762.0)	(32.0, 4510.0)	(33.0, 7155.0)	(34.0, 9983.0)	(35.0, 15163.0)	(36.0, 27910.0)	(37.0, 68574.0)	(38.0, 77122.0)	(39.0, 7227.0)	(40.0, 9.0)		
output73_reverse_paired	(24.0, 2.0)	(25.0, 2.0)	(26.0, 18.0)	(27.0, 126.0)	(28.0, 290.0)	(29.0, 763.0)	(30.0, 1649.0)	(31.0, 3150.0)	(32.0, 4996.0)	(33.0, 7577.0)	(34.0, 10639.0)	(35.0, 15005.0)	(36.0, 26188.0)	(37.0, 60468.0)	(38.0, 77910.0)	(39.0, 13512.0)	(40.0, 17.0)
output74_forward_paired	(26.0, 1.0)	(27.0, 11.0)	(28.0, 89.0)	(29.0, 458.0)	(30.0, 1180.0)	(31.0, 2579.0)	(32.0, 4600.0)	(33.0, 6924.0)	(34.0, 9993.0)	(35.0, 15131.0)	(36.0, 27590.0)	(37.0, 66606.0)	(38.0, 72677.0)	(39.0, 6623.0)	(40.0, 15.0)		
output74_reverse_paired	(25.0, 1.0)	(26.0, 23.0)	(27.0, 127.0)	(28.0, 329.0)	(29.0, 826.0)	(30.0, 1848.0)	(31.0, 3493.0)	(32.0, 5634.0)	(33.0, 7992.0)	(34.0, 10827.0)	(35.0, 15551.0)	(36.0, 26429.0)	(37.0, 58741.0)	(38.0, 70915.0)	(39.0, 11726.0)	(40.0, 15.0)	
