Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
output69_forward_paired	(1.0, 37.50180922748687)	(2.0, 9.906879615144016)	(3.0, 5.0461440031392035)	(4.0, 3.0496373889940176)	(5.0, 2.343374816161302)	(6.0, 1.6143927489068561)	(7.0, 1.320533155948969)	(8.0, 1.1560033867900752)	(9.0, 0.9325155937651449)	('>10', 10.84264269860659)	('>50', 3.0396198377735817)	('>100', 7.5790704362217465)	('>500', 4.586378388667537)	('>1k', 5.062625764656213)	('>5k', 0.0)	('>10k+', 6.01837293773788)
output69_reverse_paired	(1.0, 38.844309432525584)	(2.0, 9.692205613897515)	(3.0, 4.556333113801787)	(4.0, 2.824331775061041)	(5.0, 2.0133454801548236)	(6.0, 1.5632879993630076)	(7.0, 1.0716712530398378)	(8.0, 1.0023608574735583)	(9.0, 0.7334003078413205)	('>10', 7.659016702312056)	('>50', 2.1662864584214727)	('>100', 7.042432885379308)	('>500', 4.480006633191265)	('>1k', 16.351011487537416)	('>5k', 0.0)	('>10k+', 0.0)
output70_forward_paired	(1.0, 36.581936070052265)	(2.0, 9.774965681176848)	(3.0, 5.165205138823701)	(4.0, 3.276310440668068)	(5.0, 2.2826349423558616)	(6.0, 1.7299163764459908)	(7.0, 1.5229872635973782)	(8.0, 1.2150345691849742)	(9.0, 1.009792243309134)	('>10', 11.354461561508984)	('>50', 3.0918616158051577)	('>100', 8.581409691897631)	('>500', 3.3481864761212075)	('>1k', 5.334476096541839)	('>5k', 0.0)	('>10k+', 5.730821832510961)
output70_reverse_paired	(1.0, 38.45746849630814)	(2.0, 10.07455122327511)	(3.0, 4.759101676292043)	(4.0, 2.8878458144218513)	(5.0, 2.1736496214280794)	(6.0, 1.5617034548865225)	(7.0, 1.2327969739794078)	(8.0, 0.9466781838910011)	(9.0, 0.7860441540740628)	('>10', 8.01304867937508)	('>50', 2.233229388755223)	('>100', 7.17676155965829)	('>500', 5.136051945795759)	('>1k', 14.561068827859433)	('>5k', 0.0)	('>10k+', 0.0)
output71_forward_paired	(1.0, 35.31410893852205)	(2.0, 9.498444207394614)	(3.0, 4.919374828219268)	(4.0, 3.1656516125364984)	(5.0, 2.229516955903823)	(6.0, 1.8289577026530803)	(7.0, 1.5529328300241267)	(8.0, 1.1889856594931618)	(9.0, 0.972445615423747)	('>10', 11.368572822854127)	('>50', 3.5140347681162885)	('>100', 8.202060569456167)	('>500', 4.270822376310007)	('>1k', 5.281195575827379)	('>5k', 0.0)	('>10k+', 6.692895537265661)
output71_reverse_paired	(1.0, 36.8870171993057)	(2.0, 9.637040658287152)	(3.0, 4.843322421506176)	(4.0, 2.9152169395299583)	(5.0, 2.1560144624874376)	(6.0, 1.4979856955239397)	(7.0, 1.2184135293742233)	(8.0, 0.9004773559793624)	(9.0, 0.7322798865604043)	('>10', 8.557278106466057)	('>50', 2.3591164987399695)	('>100', 7.457954227382785)	('>500', 5.256594321488236)	('>1k', 15.581288697368603)	('>5k', 0.0)	('>10k+', 0.0)
output72_forward_paired	(1.0, 49.514637954180316)	(2.0, 10.57256809288104)	(3.0, 5.408908080577941)	(4.0, 3.68341041998159)	(5.0, 2.7106319931894696)	(6.0, 2.013994886853122)	(7.0, 1.5841402492744807)	(8.0, 1.4884006381560428)	(9.0, 1.154486599116508)	('>10', 13.46207674588763)	('>50', 3.313399545075986)	('>100', 3.9077834237922904)	('>500', 0.48135875815123497)	('>1k', 0.7042026128823645)	('>5k', 0.0)	('>10k+', 0.0)
output72_reverse_paired	(1.0, 54.636955192363686)	(2.0, 10.802965573080172)	(3.0, 5.364386735823743)	(4.0, 3.4749428211928954)	(5.0, 2.595402377198946)	(6.0, 1.8397949978653052)	(7.0, 1.599749834098047)	(8.0, 1.108064207223421)	(9.0, 1.0909160789127994)	('>10', 11.304913232428556)	('>50', 2.7940741052512323)	('>100', 2.551371904065271)	('>500', 0.8364629404959328)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
output73_forward_paired	(1.0, 41.1866868766024)	(2.0, 12.313076200276736)	(3.0, 6.191548769788989)	(4.0, 4.064463044615536)	(5.0, 2.9712670982483593)	(6.0, 2.386516538288288)	(7.0, 2.045208055429967)	(8.0, 1.5399092685065439)	(9.0, 1.3688686202461768)	('>10', 15.750380664602655)	('>50', 3.834930019632201)	('>100', 4.666740606494437)	('>500', 0.9382781462147166)	('>1k', 0.7421260910530039)	('>5k', 0.0)	('>10k+', 0.0)
output73_reverse_paired	(1.0, 44.214746276225654)	(2.0, 13.51158846256673)	(3.0, 6.674797948434455)	(4.0, 4.277734361784523)	(5.0, 3.0147836974645488)	(6.0, 2.255171245325987)	(7.0, 1.7845120486040558)	(8.0, 1.5345348744990024)	(9.0, 1.2544380155603059)	('>10', 13.891428020211455)	('>50', 3.334879300782765)	('>100', 4.251385748540516)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
