Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
output69_forward_paired	(50, 259.0)	(52, 285.0)	(54, 277.0)	(56, 325.0)	(58, 293.0)	(60, 475.0)	(62, 362.0)	(64, 395.0)	(66, 451.0)	(68, 403.0)	(70, 447.0)	(72, 469.0)	(74, 579.0)	(76, 674.0)	(78, 805.0)	(80, 883.0)	(82, 748.0)	(84, 759.0)	(86, 764.0)	(88, 756.0)	(90, 838.0)	(92, 998.0)	(94, 1092.0)	(96, 1251.0)	(98, 2546.0)	(100, 223383.0)
output69_reverse_paired	(50, 381.0)	(52, 344.0)	(54, 368.0)	(56, 395.0)	(58, 455.0)	(60, 438.0)	(62, 470.0)	(64, 409.0)	(66, 506.0)	(68, 549.0)	(70, 689.0)	(72, 803.0)	(74, 898.0)	(76, 827.0)	(78, 855.0)	(80, 818.0)	(82, 734.0)	(84, 796.0)	(86, 822.0)	(88, 946.0)	(90, 1049.0)	(92, 1257.0)	(94, 1546.0)	(96, 1873.0)	(98, 2195.0)	(100, 220094.0)
output70_forward_paired	(50, 263.0)	(52, 254.0)	(54, 268.0)	(56, 275.0)	(58, 301.0)	(60, 502.0)	(62, 372.0)	(64, 376.0)	(66, 435.0)	(68, 376.0)	(70, 415.0)	(72, 443.0)	(74, 596.0)	(76, 585.0)	(78, 897.0)	(80, 805.0)	(82, 705.0)	(84, 713.0)	(86, 741.0)	(88, 714.0)	(90, 776.0)	(92, 862.0)	(94, 1007.0)	(96, 1253.0)	(98, 2452.0)	(100, 230481.0)
output70_reverse_paired	(50, 389.0)	(52, 355.0)	(54, 370.0)	(56, 382.0)	(58, 477.0)	(60, 420.0)	(62, 465.0)	(64, 488.0)	(66, 531.0)	(68, 563.0)	(70, 746.0)	(72, 917.0)	(74, 982.0)	(76, 885.0)	(78, 835.0)	(80, 880.0)	(82, 763.0)	(84, 799.0)	(86, 830.0)	(88, 972.0)	(90, 1089.0)	(92, 1339.0)	(94, 1603.0)	(96, 1886.0)	(98, 2202.0)	(100, 225699.0)
output71_forward_paired	(50, 279.0)	(52, 274.0)	(54, 292.0)	(56, 325.0)	(58, 287.0)	(60, 467.0)	(62, 383.0)	(64, 393.0)	(66, 461.0)	(68, 425.0)	(70, 409.0)	(72, 566.0)	(74, 704.0)	(76, 825.0)	(78, 1135.0)	(80, 1036.0)	(82, 807.0)	(84, 832.0)	(86, 786.0)	(88, 837.0)	(90, 910.0)	(92, 973.0)	(94, 1190.0)	(96, 1343.0)	(98, 2631.0)	(100, 236667.0)
output71_reverse_paired	(50, 456.0)	(52, 421.0)	(54, 448.0)	(56, 471.0)	(58, 564.0)	(60, 506.0)	(62, 552.0)	(64, 537.0)	(66, 562.0)	(68, 722.0)	(70, 904.0)	(72, 1180.0)	(74, 1192.0)	(76, 1002.0)	(78, 1065.0)	(80, 984.0)	(82, 918.0)	(84, 969.0)	(86, 959.0)	(88, 1153.0)	(90, 1359.0)	(92, 1627.0)	(94, 1841.0)	(96, 2216.0)	(98, 2503.0)	(100, 230126.0)
output72_forward_paired	(50, 266.0)	(52, 242.0)	(54, 263.0)	(56, 265.0)	(58, 303.0)	(60, 441.0)	(62, 372.0)	(64, 378.0)	(66, 442.0)	(68, 364.0)	(70, 396.0)	(72, 417.0)	(74, 560.0)	(76, 601.0)	(78, 809.0)	(80, 780.0)	(82, 692.0)	(84, 674.0)	(86, 650.0)	(88, 743.0)	(90, 868.0)	(92, 930.0)	(94, 1121.0)	(96, 1391.0)	(98, 2376.0)	(100, 234224.0)
output72_reverse_paired	(50, 388.0)	(52, 402.0)	(54, 394.0)	(56, 420.0)	(58, 473.0)	(60, 443.0)	(62, 532.0)	(64, 527.0)	(66, 534.0)	(68, 628.0)	(70, 788.0)	(72, 933.0)	(74, 901.0)	(76, 852.0)	(78, 856.0)	(80, 921.0)	(82, 888.0)	(84, 953.0)	(86, 936.0)	(88, 1190.0)	(90, 1403.0)	(92, 1615.0)	(94, 1822.0)	(96, 2117.0)	(98, 2482.0)	(100, 227170.0)
output73_forward_paired	(50, 226.0)	(52, 226.0)	(54, 232.0)	(56, 271.0)	(58, 262.0)	(60, 358.0)	(62, 306.0)	(64, 327.0)	(66, 385.0)	(68, 299.0)	(70, 295.0)	(72, 346.0)	(74, 408.0)	(76, 457.0)	(78, 580.0)	(80, 543.0)	(82, 478.0)	(84, 470.0)	(86, 504.0)	(88, 509.0)	(90, 590.0)	(92, 663.0)	(94, 765.0)	(96, 937.0)	(98, 1802.0)	(100, 210073.0)
output73_reverse_paired	(50, 302.0)	(52, 295.0)	(54, 353.0)	(56, 312.0)	(58, 357.0)	(60, 424.0)	(62, 382.0)	(64, 407.0)	(66, 466.0)	(68, 474.0)	(70, 580.0)	(72, 635.0)	(74, 621.0)	(76, 626.0)	(78, 625.0)	(80, 697.0)	(82, 646.0)	(84, 714.0)	(86, 681.0)	(88, 891.0)	(90, 1011.0)	(92, 1204.0)	(94, 1417.0)	(96, 1536.0)	(98, 1942.0)	(100, 204714.0)
