Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
output69_forward_paired	output69_forward_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	240517.0	0.0	50-100	44.0	46.75768072903667	99.19982579193986	100	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
output69_reverse_paired	output69_reverse_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	240517.0	0.0	50-100	44.0	47.43766619912072	98.89558950095004	100	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
output70_forward_paired	output70_forward_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	246867.0	0.0	50-100	44.0	45.94139133884709	99.28127088675278	100	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
output70_reverse_paired	output70_reverse_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	246867.0	0.0	50-100	44.0	47.41658105373548	98.87066922674963	100	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
output71_forward_paired	output71_forward_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	255237.0	0.0	50-100	45.0	44.43999941070593	99.17182265894051	100	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
output71_reverse_paired	output71_reverse_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	255237.0	0.0	50-100	44.0	45.65136308368129	98.61974752876738	100	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
output72_forward_paired	output72_forward_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	250568.0	0.0	50-100	43.0	59.743568847196315	99.32740014686632	100	pass	pass	warn	pass	warn	pass	pass	warn	warn	warn	fail
output72_reverse_paired	output72_reverse_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	250568.0	0.0	50-100	42.0	64.69702130710877	98.7793253727531	100	pass	pass	pass	pass	fail	pass	pass	warn	warn	warn	fail
output73_forward_paired	output73_forward_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	222312.0	0.0	50-100	42.0	52.994428167227035	99.45509913994746	100	pass	pass	warn	pass	warn	pass	pass	warn	warn	warn	fail
output73_reverse_paired	output73_reverse_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	222312.0	0.0	50-100	42.0	56.68336508146247	99.02931915506136	100	pass	pass	pass	pass	fail	pass	pass	warn	warn	warn	fail
output74_forward_paired	output74_forward_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	214477.0	0.0	50-100	43.0	55.782177068969766	99.2808482960877	100	pass	pass	warn	pass	warn	pass	pass	warn	warn	warn	fail
output74_reverse_paired	output74_reverse_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	214477.0	0.0	50-100	42.0	59.65062608288484	98.6925334651268	100	pass	pass	pass	pass	fail	pass	pass	warn	warn	warn	fail
