Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
output69_forward_paired	53.24231927096333	44.0	99.19982579193986	100	45.45454545454545	0.24051699999999998
output69_reverse_paired	52.56233380087928	44.0	98.89558950095004	100	45.45454545454545	0.24051699999999998
output70_forward_paired	54.05860866115291	44.0	99.28127088675278	100	45.45454545454545	0.24686699999999998
output70_reverse_paired	52.58341894626452	44.0	98.87066922674963	100	45.45454545454545	0.24686699999999998
output71_forward_paired	55.56000058929407	45.0	99.17182265894051	100	45.45454545454545	0.255237
output71_reverse_paired	54.34863691631871	44.0	98.61974752876738	100	45.45454545454545	0.255237
output72_forward_paired	40.256431152803685	43.0	99.32740014686632	100	9.090909090909092	0.250568
output72_reverse_paired	35.30297869289123	42.0	98.7793253727531	100	18.181818181818183	0.250568
output73_forward_paired	47.005571832772965	42.0	99.45509913994746	100	9.090909090909092	0.22231199999999998
output73_reverse_paired	43.31663491853753	42.0	99.02931915506136	100	18.181818181818183	0.22231199999999998
output74_forward_paired	44.217822931030234	43.0	99.2808482960877	100	9.090909090909092	0.214477
output74_reverse_paired	40.34937391711516	42.0	98.6925334651268	100	18.181818181818183	0.214477
